cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label,oracle_confusion_matrix,oracle_iterations
0,"['0.8599', '0.9363', '0.6498', '0.7132', '0.8261', '0.7443', '0.8523', '0.7260', '0.5577', '0.6024']","['0.8231', '0.7075', '0.8622', '0.7672', '0.7360', '0.7631', '0.6990', '0.6866', '0.8044', '0.6912']","['0.8599', '0.9363', '0.6498', '0.7132', '0.8261', '0.7443', '0.8523', '0.7260', '0.5577', '0.6024']","['0.8411', '0.8060', '0.7411', '0.7392', '0.7785', '0.7536', '0.7680', '0.7057', '0.6587', '0.6437']","['0.8599', '0.9363', '0.6498', '0.7132', '0.8261', '0.7443', '0.8523', '0.7260', '0.5577', '0.6024']","['0.9800', '0.9563', '0.9886', '0.9756', '0.9673', '0.9745', '0.9586', '0.9631', '0.9851', '0.9698']","[[2350, 12, 10, 55, 14, 69, 210, 3, 10, 0], [1, 2661, 1, 2, 2, 11, 34, 62, 39, 29], [99, 53, 1802, 25, 34, 13, 519, 157, 69, 2], [28, 25, 29, 2027, 47, 234, 30, 224, 10, 188], [17, 166, 10, 3, 2300, 16, 89, 25, 31, 127], [158, 52, 54, 159, 69, 2075, 99, 33, 52, 37], [184, 48, 87, 21, 20, 24, 2417, 13, 22, 0], [7, 300, 9, 145, 29, 20, 1, 2035, 92, 165], [5, 272, 85, 143, 74, 208, 58, 168, 1546, 213], [6, 172, 3, 62, 536, 49, 1, 244, 51, 1703]]",-1,-1,-1,-1
1,"['0.8606', '0.9279', '0.8933', '0.8413', '0.8240', '0.8368', '0.9231', '0.8912', '0.7327', '0.7902']","['0.9631', '0.9068', '0.8284', '0.8503', '0.8709', '0.8654', '0.8503', '0.7789', '0.8747', '0.7677']","['0.8606', '0.9279', '0.8933', '0.8413', '0.8240', '0.8368', '0.9231', '0.8912', '0.7327', '0.7902']","['0.9090', '0.9172', '0.8596', '0.8458', '0.8468', '0.8508', '0.8852', '0.8313', '0.7974', '0.7788']","['0.8606', '0.9279', '0.8933', '0.8413', '0.8240', '0.8368', '0.9231', '0.8912', '0.7327', '0.7902']","['0.9964', '0.9892', '0.9797', '0.9833', '0.9865', '0.9856', '0.9817', '0.9719', '0.9885', '0.9731']","[[2352, 13, 89, 33, 19, 52, 155, 9, 11, 0], [1, 2637, 12, 7, 4, 12, 5, 99, 55, 10], [13, 6, 2477, 11, 19, 6, 163, 48, 28, 2], [1, 3, 66, 2391, 7, 175, 7, 104, 39, 49], [16, 24, 34, 0, 2294, 2, 80, 3, 18, 313], [13, 20, 34, 219, 48, 2333, 41, 29, 30, 21], [30, 29, 88, 0, 2, 30, 2618, 0, 39, 0], [5, 59, 13, 3, 10, 4, 1, 2498, 37, 173], [3, 103, 172, 119, 33, 72, 8, 123, 2031, 108], [8, 14, 5, 29, 198, 10, 1, 294, 34, 2234]]","[3, 5, 6, 2, 3, 0, 1, 2, 3, 8, 3, 6, 0, 7, 7, 7]","[6, 5, 6, 8, 0, 6, 6, 6, 5, 8, 8, 5, 6, 4, 5, 3]","[[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
 [0. 0. 0. 1. 0. 1. 1. 1. 0. 0.]
 [2. 1. 1. 1. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 1. 1. 0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",16
2,"['0.9312', '0.9497', '0.9131', '0.8839', '0.8840', '0.9110', '0.9362', '0.8951', '0.8171', '0.7934']","['0.9503', '0.9094', '0.9128', '0.8914', '0.8808', '0.8729', '0.9165', '0.8473', '0.8924', '0.8426']","['0.9312', '0.9497', '0.9131', '0.8839', '0.8840', '0.9110', '0.9362', '0.8951', '0.8171', '0.7934']","['0.9407', '0.9291', '0.9129', '0.8876', '0.8824', '0.8915', '0.9262', '0.8706', '0.8531', '0.8173']","['0.9312', '0.9497', '0.9131', '0.8839', '0.8840', '0.9110', '0.9362', '0.8951', '0.8171', '0.7934']","['0.9947', '0.9893', '0.9904', '0.9878', '0.9868', '0.9853', '0.9904', '0.9821', '0.9892', '0.9834']","[[2545, 12, 41, 22, 11, 30, 53, 5, 14, 0], [2, 2699, 5, 3, 18, 12, 7, 47, 39, 10], [20, 12, 2532, 19, 10, 7, 93, 46, 31, 3], [1, 4, 33, 2512, 2, 183, 3, 47, 34, 23], [23, 17, 27, 0, 2461, 0, 61, 2, 25, 168], [8, 11, 10, 121, 37, 2540, 16, 14, 24, 7], [37, 32, 38, 0, 3, 49, 2655, 1, 21, 0], [17, 67, 12, 1, 22, 0, 1, 2509, 37, 137], [7, 96, 74, 117, 23, 70, 6, 43, 2265, 71], [18, 18, 2, 23, 207, 19, 2, 247, 48, 2243]]","[6, 7, 9, 3, 6, 1, 7, 3, 0, 4, 8, 6, 7, 6, 1, 4]","[2, 8, 1, 5, 8, 1, 0, 8, 2, 1, 3, 5, 1, 0, 3, 3]","[[0. 0. 0. 1. 0. 0. 1. 1. 0. 0.]
 [0. 1. 0. 0. 1. 0. 0. 1. 0. 1.]
 [1. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
 [0. 1. 0. 0. 1. 0. 0. 1. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
 [0. 0. 0. 2. 0. 1. 2. 1. 0. 0.]
 [2. 1. 1. 1. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 1. 2. 0. 0. 1. 1. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",32
3,"['0.9389', '0.9543', '0.9124', '0.9029', '0.8869', '0.9128', '0.9386', '0.9097', '0.8449', '0.8507']","['0.9596', '0.8986', '0.9370', '0.9010', '0.9101', '0.9076', '0.9500', '0.8621', '0.9088', '0.8276']","['0.9389', '0.9543', '0.9124', '0.9029', '0.8869', '0.9128', '0.9386', '0.9097', '0.8449', '0.8507']","['0.9491', '0.9256', '0.9245', '0.9019', '0.8983', '0.9102', '0.9443', '0.8853', '0.8757', '0.8390']","['0.9389', '0.9543', '0.9124', '0.9029', '0.8869', '0.9128', '0.9386', '0.9097', '0.8449', '0.8507']","['0.9957', '0.9878', '0.9933', '0.9888', '0.9903', '0.9897', '0.9944', '0.9838', '0.9907', '0.9801']","[[2566, 16, 31, 22, 11, 15, 32, 19, 21, 0], [0, 2712, 5, 2, 27, 7, 9, 47, 19, 14], [23, 18, 2530, 34, 16, 9, 46, 59, 33, 5], [1, 3, 30, 2566, 2, 132, 0, 41, 37, 30], [21, 25, 18, 0, 2469, 1, 34, 3, 23, 190], [8, 15, 10, 105, 27, 2545, 12, 17, 29, 20], [26, 72, 18, 0, 8, 30, 2662, 1, 19, 0], [12, 45, 10, 1, 14, 0, 1, 2550, 20, 150], [4, 99, 48, 100, 16, 42, 6, 23, 2342, 92], [13, 13, 0, 18, 123, 23, 0, 198, 34, 2405]]","[1, 1, 6, 9, 6, 1, 0, 5, 3, 1, 7, 8, 3, 9, 2, 9]","[8, 8, 8, 8, 8, 8, 0, 3, 0, 6, 6, 2, 0, 0, 0, 8]","[[1. 0. 1. 3. 0. 0. 1. 1. 0. 1.]
 [0. 1. 0. 0. 1. 0. 0. 1. 0. 1.]
 [1. 0. 0. 0. 0. 0. 1. 0. 1. 0.]
 [0. 1. 0. 0. 1. 1. 0. 1. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
 [0. 0. 0. 2. 0. 1. 2. 1. 0. 0.]
 [2. 2. 1. 1. 0. 0. 1. 1. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 3. 1. 2. 0. 0. 3. 1. 1. 2.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",48
4,"['0.9554', '0.9328', '0.9272', '0.9004', '0.9134', '0.9347', '0.9475', '0.9126', '0.8561', '0.8479']","['0.9519', '0.9394', '0.9308', '0.9418', '0.9118', '0.9125', '0.9512', '0.8564', '0.9183', '0.8223']","['0.9554', '0.9328', '0.9272', '0.9004', '0.9134', '0.9347', '0.9475', '0.9126', '0.8561', '0.8479']","['0.9536', '0.9361', '0.9290', '0.9207', '0.9126', '0.9235', '0.9493', '0.8836', '0.8861', '0.8349']","['0.9554', '0.9328', '0.9272', '0.9004', '0.9134', '0.9347', '0.9475', '0.9126', '0.8561', '0.8479']","['0.9948', '0.9932', '0.9924', '0.9937', '0.9902', '0.9901', '0.9945', '0.9830', '0.9916', '0.9794']","[[2611, 6, 34, 10, 9, 11, 23, 10, 18, 1], [1, 2651, 7, 3, 44, 6, 13, 73, 18, 26], [26, 10, 2571, 19, 10, 2, 47, 51, 32, 5], [2, 2, 42, 2559, 2, 110, 0, 36, 47, 42], [19, 8, 18, 0, 2543, 0, 27, 3, 10, 156], [7, 7, 11, 71, 15, 2606, 18, 13, 28, 12], [25, 43, 18, 0, 8, 44, 2687, 1, 10, 0], [24, 21, 11, 1, 19, 0, 1, 2558, 21, 147], [9, 66, 49, 44, 19, 51, 8, 24, 2373, 129], [19, 8, 1, 10, 120, 26, 1, 218, 27, 2397]]","[1, 8, 0, 7, 3, 2, 9, 7, 9, 7, 4, 8, 5, 6, 2, 2]","[5, 6, 5, 0, 0, 2, 8, 0, 8, 8, 9, 6, 0, 4, 8, 8]","[[1. 0. 1. 4. 0. 1. 1. 3. 0. 1.]
 [0. 1. 0. 0. 1. 0. 0. 1. 0. 1.]
 [1. 0. 1. 0. 0. 0. 1. 0. 1. 0.]
 [0. 1. 0. 0. 1. 1. 0. 1. 1. 0.]
 [0. 0. 0. 0. 0. 0. 1. 1. 0. 0.]
 [1. 1. 0. 2. 0. 1. 2. 1. 0. 0.]
 [2. 2. 1. 1. 0. 0. 1. 1. 2. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 3. 3. 2. 0. 0. 3. 2. 1. 4.]
 [0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]]",64
5,"['0.9601', '0.9588', '0.9268', '0.9064', '0.9246', '0.9329', '0.9640', '0.9058', '0.8564', '0.8610']","['0.9473', '0.9169', '0.9480', '0.9347', '0.9196', '0.9149', '0.9258', '0.8953', '0.9391', '0.8595']","['0.9601', '0.9588', '0.9268', '0.9064', '0.9246', '0.9329', '0.9640', '0.9058', '0.8564', '0.8610']","['0.9537', '0.9374', '0.9373', '0.9203', '0.9221', '0.9238', '0.9446', '0.9005', '0.8958', '0.8602']","['0.9601', '0.9588', '0.9268', '0.9064', '0.9246', '0.9329', '0.9640', '0.9058', '0.8564', '0.8610']","['0.9942', '0.9902', '0.9944', '0.9928', '0.9911', '0.9904', '0.9913', '0.9882', '0.9939', '0.9842']","[[2624, 9, 22, 11, 8, 5, 23, 8, 19, 4], [2, 2725, 7, 1, 35, 4, 15, 27, 18, 8], [28, 15, 2570, 27, 8, 2, 69, 35, 13, 6], [5, 2, 42, 2576, 4, 121, 7, 23, 30, 32], [21, 16, 7, 0, 2574, 1, 45, 2, 11, 107], [18, 8, 7, 68, 11, 2601, 32, 10, 16, 17], [27, 34, 2, 0, 6, 25, 2734, 0, 8, 0], [17, 61, 11, 3, 21, 0, 1, 2539, 16, 134], [9, 86, 42, 57, 21, 57, 24, 12, 2374, 90], [19, 16, 1, 13, 111, 27, 3, 180, 23, 2434]]","[9, 1, 8, 5, 5, 7, 8, 9, 3, 4, 2, 5, 8, 4, 8, 1]","[2, 0, 8, 8, 0, 0, 8, 0, 0, 8, 0, 4, 8, 4, 0, 1]","[[1. 1. 2. 5. 0. 2. 1. 4. 1. 2.]
 [0. 2. 0. 0. 1. 0. 0. 1. 0. 1.]
 [1. 0. 1. 0. 0. 0. 1. 0. 1. 1.]
 [0. 1. 0. 0. 1. 1. 0. 1. 1. 0.]
 [0. 0. 0. 0. 1. 1. 1. 1. 0. 0.]
 [1. 1. 0. 2. 0. 1. 2. 1. 0. 0.]
 [2. 2. 1. 1. 0. 0. 1. 1. 2. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 3. 3. 2. 1. 1. 3. 2. 4. 4.]
 [0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]]",80
6,"['0.9502', '0.9567', '0.9243', '0.8885', '0.9217', '0.9487', '0.9647', '0.9176', '0.8510', '0.8741']","['0.9513', '0.9305', '0.9500', '0.9432', '0.9345', '0.8948', '0.9297', '0.8848', '0.9432', '0.8462']","['0.9502', '0.9567', '0.9243', '0.8885', '0.9217', '0.9487', '0.9647', '0.9176', '0.8510', '0.8741']","['0.9508', '0.9434', '0.9369', '0.9150', '0.9280', '0.9210', '0.9469', '0.9009', '0.8947', '0.8599']","['0.9502', '0.9567', '0.9243', '0.8885', '0.9217', '0.9487', '0.9647', '0.9176', '0.8510', '0.8741']","['0.9947', '0.9919', '0.9946', '0.9940', '0.9929', '0.9877', '0.9918', '0.9867', '0.9944', '0.9822']","[[2597, 13, 19, 10, 7, 9, 48, 16, 11, 3], [1, 2719, 7, 1, 35, 6, 14, 28, 16, 15], [31, 10, 2563, 24, 9, 4, 52, 49, 26, 5], [5, 2, 37, 2525, 4, 162, 2, 25, 31, 49], [18, 16, 9, 1, 2566, 1, 42, 2, 9, 120], [14, 4, 9, 48, 11, 2645, 20, 10, 13, 14], [16, 31, 5, 0, 6, 36, 2736, 0, 6, 0], [24, 39, 10, 4, 14, 1, 1, 2572, 13, 125], [6, 74, 38, 54, 24, 59, 26, 14, 2359, 118], [18, 14, 1, 10, 70, 33, 2, 191, 17, 2471]]","[8, 8, 3, 5, 3, 0, 4, 5, 3, 4, 0, 6, 4, 6, 4, 6]","[4, 8, 0, 2, 8, 8, 8, 0, 8, 8, 3, 4, 8, 0, 0, 0]","[[1. 1. 2. 6. 1. 3. 3. 4. 1. 2.]
 [0. 2. 0. 0. 1. 0. 0. 1. 0. 1.]
 [1. 0. 1. 0. 0. 1. 1. 0. 1. 1.]
 [1. 1. 0. 0. 1. 1. 0. 1. 1. 0.]
 [0. 0. 0. 0. 1. 1. 2. 1. 1. 0.]
 [1. 1. 0. 2. 0. 1. 2. 1. 0. 0.]
 [2. 2. 1. 1. 0. 0. 1. 1. 2. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 3. 3. 4. 4. 1. 3. 2. 5. 4.]
 [0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]]",96
7,"['0.9576', '0.9514', '0.9300', '0.8804', '0.9246', '0.9473', '0.9644', '0.9365', '0.8615', '0.8557']","['0.9475', '0.9402', '0.9496', '0.9564', '0.9302', '0.8931', '0.9376', '0.8528', '0.9476', '0.8667']","['0.9576', '0.9514', '0.9300', '0.8804', '0.9246', '0.9473', '0.9644', '0.9365', '0.8615', '0.8557']","['0.9525', '0.9458', '0.9397', '0.9168', '0.9274', '0.9194', '0.9508', '0.8927', '0.9025', '0.8612']","['0.9576', '0.9514', '0.9300', '0.8804', '0.9246', '0.9473', '0.9644', '0.9365', '0.8615', '0.8557']","['0.9943', '0.9932', '0.9946', '0.9955', '0.9923', '0.9875', '0.9928', '0.9820', '0.9948', '0.9852']","[[2617, 7, 25, 10, 5, 5, 29, 22, 10, 3], [4, 2704, 7, 1, 34, 5, 16, 40, 16, 15], [28, 9, 2579, 19, 7, 3, 36, 73, 14, 5], [9, 3, 40, 2502, 6, 166, 3, 45, 33, 35], [22, 16, 12, 0, 2574, 1, 46, 4, 8, 101], [21, 4, 6, 38, 12, 2641, 22, 18, 16, 10], [23, 25, 5, 0, 5, 37, 2735, 2, 4, 0], [19, 33, 9, 2, 11, 1, 1, 2625, 10, 92], [8, 63, 32, 33, 23, 65, 27, 22, 2388, 111], [11, 12, 1, 11, 90, 33, 2, 227, 21, 2419]]","[2, 6, 1, 2, 0, 3, 2, 4, 1, 0, 6, 5, 2, 9, 6, 3]","[4, 0, 2, 0, 0, 0, 2, 7, 8, 2, 0, 8, 8, 7, 4, 2]","[[2. 1. 3. 7. 1. 3. 5. 4. 1. 2.]
 [0. 2. 0. 0. 1. 0. 0. 1. 0. 1.]
 [2. 1. 2. 1. 0. 1. 1. 0. 1. 1.]
 [1. 1. 0. 0. 1. 1. 0. 1. 1. 0.]
 [0. 0. 1. 0. 1. 1. 3. 1. 1. 0.]
 [1. 1. 0. 2. 0. 1. 2. 1. 0. 0.]
 [2. 2. 1. 1. 0. 0. 1. 1. 2. 0.]
 [0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
 [1. 4. 4. 4. 4. 2. 3. 2. 5. 4.]
 [0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]]",112
8,"['0.9418', '0.9514', '0.9502', '0.8765', '0.9292', '0.9358', '0.9669', '0.9379', '0.8402', '0.8826']","['0.9590', '0.9468', '0.9324', '0.9529', '0.9220', '0.9203', '0.9248', '0.8731', '0.9491', '0.8460']","['0.9418', '0.9514', '0.9502', '0.8765', '0.9292', '0.9358', '0.9669', '0.9379', '0.8402', '0.8826']","['0.9503', '0.9491', '0.9412', '0.9131', '0.9256', '0.9280', '0.9454', '0.9044', '0.8913', '0.8639']","['0.9418', '0.9514', '0.9502', '0.8765', '0.9292', '0.9358', '0.9669', '0.9379', '0.8402', '0.8826']","['0.9956', '0.9940', '0.9924', '0.9951', '0.9913', '0.9910', '0.9911', '0.9848', '0.9950', '0.9820']","[[2574, 7, 50, 5, 7, 3, 51, 16, 15, 5], [1, 2704, 7, 1, 37, 4, 18, 45, 13, 12], [23, 6, 2635, 17, 9, 2, 29, 33, 16, 3], [9, 2, 50, 2491, 9, 136, 7, 45, 34, 59], [15, 13, 13, 0, 2587, 0, 43, 6, 6, 101], [18, 2, 11, 49, 19, 2609, 29, 16, 16, 19], [20, 23, 7, 0, 9, 27, 2742, 2, 6, 0], [11, 24, 12, 3, 15, 0, 1, 2629, 11, 97], [4, 64, 39, 42, 37, 37, 42, 20, 2329, 158], [9, 11, 2, 6, 77, 17, 3, 199, 8, 2495]]","[2, 6, 9, 7, 6, 6, 1, 9, 1, 4, 1, 0, 1, 1, 8, 8]","[0, 7, 0, 0, 8, 8, 8, 8, 0, 0, 2, 4, 4, 2, 0, 8]","[[2. 2. 4. 7. 2. 3. 5. 5. 2. 3.]
 [0. 2. 0. 0. 1. 0. 0. 1. 0. 1.]
 [2. 3. 2. 1. 0. 1. 1. 0. 1. 1.]
 [1. 1. 0. 0. 1. 1. 0. 1. 1. 0.]
 [1. 1. 1. 0. 1. 1. 3. 1. 1. 0.]
 [1. 1. 0. 2. 0. 1. 2. 1. 0. 0.]
 [2. 2. 1. 1. 0. 0. 1. 1. 2. 0.]
 [0. 0. 0. 0. 1. 0. 1. 0. 0. 1.]
 [1. 5. 4. 4. 4. 2. 5. 2. 6. 5.]
 [0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]]",128
9,"['0.9389', '0.9602', '0.9409', '0.9180', '0.9159', '0.9412', '0.9584', '0.9336', '0.8261', '0.8804']","['0.9589', '0.9324', '0.9415', '0.9206', '0.9508', '0.9023', '0.9369', '0.8820', '0.9514', '0.8504']","['0.9389', '0.9602', '0.9409', '0.9180', '0.9159', '0.9412', '0.9584', '0.9336', '0.8261', '0.8804']","['0.9488', '0.9461', '0.9412', '0.9193', '0.9330', '0.9213', '0.9475', '0.9071', '0.8843', '0.8651']","['0.9389', '0.9602', '0.9409', '0.9180', '0.9159', '0.9412', '0.9584', '0.9336', '0.8261', '0.8804']","['0.9956', '0.9921', '0.9936', '0.9911', '0.9948', '0.9887', '0.9927', '0.9861', '0.9954', '0.9826']","[[2566, 6, 40, 19, 3, 4, 46, 21, 21, 7], [9, 2729, 8, 2, 28, 6, 7, 23, 13, 17], [17, 9, 2609, 38, 5, 2, 41, 32, 15, 5], [3, 2, 26, 2609, 3, 127, 3, 21, 15, 33], [17, 24, 11, 1, 2550, 2, 41, 4, 7, 127], [17, 4, 12, 63, 8, 2624, 15, 20, 14, 11], [20, 38, 7, 0, 7, 37, 2718, 1, 8, 0], [11, 38, 11, 6, 8, 1, 1, 2617, 9, 101], [7, 65, 46, 83, 21, 77, 27, 19, 2290, 137], [9, 12, 1, 13, 49, 28, 2, 209, 15, 2489]]","[5, 2, 8, 7, 2, 9, 1, 3, 0, 2, 5, 6, 9, 1, 4, 5]","[0, 0, 0, 0, 0, 2, 4, 0, 8, 8, 0, 0, 0, 8, 0, 4]","[[2. 2. 6. 8. 3. 5. 6. 6. 3. 4.]
 [0. 2. 0. 0. 1. 0. 0. 1. 0. 1.]
 [2. 3. 2. 1. 0. 1. 1. 0. 1. 2.]
 [1. 1. 0. 0. 1. 1. 0. 1. 1. 0.]
 [1. 2. 1. 0. 1. 2. 3. 1. 1. 0.]
 [1. 1. 0. 2. 0. 1. 2. 1. 0. 0.]
 [2. 2. 1. 1. 0. 0. 1. 1. 2. 0.]
 [0. 0. 0. 0. 1. 0. 1. 0. 0. 1.]
 [2. 6. 5. 4. 4. 2. 5. 2. 6. 5.]
 [0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]]",144
