cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label
0,"['0.4017', '0.2867', '0.0520', '0.1587', '0.0324', '0.2562', '0.7817', '0.1509', '0.4571', '0.4025']","['0.4106', '0.3204', '0.2362', '0.2182', '0.1727', '0.3430', '0.2468', '0.4528', '0.3337', '0.3078']","['0.4017', '0.2867', '0.0520', '0.1587', '0.0324', '0.2562', '0.7817', '0.1509', '0.4571', '0.4025']","['0.4061', '0.3026', '0.0852', '0.1837', '0.0545', '0.2933', '0.3752', '0.2264', '0.3858', '0.3488']","['0.4017', '0.2867', '0.0520', '0.1587', '0.0324', '0.2562', '0.7817', '0.1509', '0.4571', '0.4025']","['0.9359', '0.9316', '0.9821', '0.9362', '0.9832', '0.9454', '0.7236', '0.9784', '0.8995', '0.9052']","[[241, 48, 17, 12, 4, 9, 44, 8, 175, 42], [20, 174, 1, 40, 2, 10, 56, 8, 139, 157], [75, 28, 30, 43, 23, 25, 279, 16, 24, 34], [26, 49, 18, 96, 7, 100, 228, 18, 17, 46], [28, 26, 10, 45, 19, 31, 352, 18, 25, 33], [20, 34, 19, 72, 8, 154, 234, 18, 14, 28], [5, 16, 7, 35, 4, 21, 487, 10, 1, 37], [31, 41, 20, 57, 35, 71, 216, 96, 23, 46], [112, 59, 2, 13, 6, 18, 13, 8, 272, 92], [29, 68, 3, 27, 2, 10, 64, 12, 125, 229]]",-1,-1
1,"['0.4600', '0.4843', '0.1023', '0.1537', '0.3458', '0.2945', '0.5730', '0.5189', '0.4235', '0.3743']","['0.4259', '0.4587', '0.2823', '0.2870', '0.2946', '0.3907', '0.3806', '0.3806', '0.3919', '0.3622']","['0.4600', '0.4843', '0.1023', '0.1537', '0.3458', '0.2945', '0.5730', '0.5189', '0.4235', '0.3743']","['0.4423', '0.4712', '0.1501', '0.2002', '0.3182', '0.3359', '0.4574', '0.4391', '0.4071', '0.3682']","['0.4600', '0.4843', '0.1023', '0.1537', '0.3458', '0.2945', '0.5730', '0.5189', '0.4235', '0.3743']","['0.9311', '0.9357', '0.9723', '0.9572', '0.9102', '0.9489', '0.8919', '0.8999', '0.9277', '0.9310']","[[276, 50, 18, 7, 11, 11, 15, 42, 144, 26], [26, 294, 0, 18, 5, 5, 16, 34, 79, 130], [69, 17, 59, 33, 162, 29, 89, 83, 20, 16], [20, 32, 34, 93, 40, 117, 146, 76, 6, 41], [38, 12, 33, 20, 203, 22, 126, 103, 12, 18], [11, 18, 30, 60, 66, 177, 105, 105, 9, 20], [3, 9, 10, 37, 112, 30, 357, 33, 3, 29], [43, 16, 20, 32, 80, 39, 42, 330, 8, 26], [134, 82, 2, 7, 3, 14, 9, 23, 252, 69], [28, 111, 3, 17, 7, 9, 33, 38, 110, 213]]","[3, 0, 0, 8, 4, 2, 0, 0, 0, 3, 0, 6, 4, 6, 6, 8, 5, 9, 6, 3, 5, 4, 0, 4, 5, 5, 4, 8, 9, 8, 6, 3, 4, 0, 7, 8, 0, 4, 3, 4, 3, 2, 4, 8, 4, 0, 2, 7, 7, 2, 4, 9, 4, 3, 3, 2, 5, 3, 2, 2, 8, 0, 3, 9, 3, 9, 4, 8, 5, 7, 4, 7, 4, 9, 0, 7, 3, 9, 0, 4, 2, 4, 3, 5, 2, 9, 0, 4, 9, 5, 8, 4, 9, 9, 0, 3, 6, 4, 5, 4, 7, 2, 1, 6, 9, 3, 4, 2, 8, 5, 0, 1, 1, 6, 3, 1, 4, 1, 1, 1, 5, 0, 7, 3, 9, 4, 9, 4]","[3, 0, 0, 8, 4, 2, 0, 0, 0, 3, 0, 6, 4, 6, 6, 8, 5, 9, 6, 3, 5, 4, 0, 3, 8, 5, 4, 8, 9, 8, 6, 3, 4, 5, 7, 8, 0, 4, 3, 3, 3, 5, 4, 8, 2, 0, 8, 7, 7, 2, 4, 2, 3, 3, 0, 2, 5, 3, 2, 2, 8, 2, 3, 9, 3, 9, 8, 8, 5, 7, 3, 7, 4, 5, 8, 7, 3, 3, 0, 4, 2, 4, 3, 5, 8, 2, 0, 4, 3, 6, 2, 7, 9, 9, 9, 3, 6, 4, 5, 4, 7, 3, 1, 7, 3, 8, 9, 2, 2, 5, 0, 2, 2, 6, 3, 8, 7, 1, 1, 1, 5, 0, 7, 3, 4, 4, 9, 0]"
2,"['0.4650', '0.6063', '0.2149', '0.1702', '0.2147', '0.4176', '0.5522', '0.5377', '0.3866', '0.4130']","['0.4810', '0.4450', '0.3062', '0.2543', '0.3471', '0.3724', '0.3968', '0.4777', '0.4475', '0.3621']","['0.4650', '0.6063', '0.2149', '0.1702', '0.2147', '0.4176', '0.5522', '0.5377', '0.3866', '0.4130']","['0.4729', '0.5132', '0.2525', '0.2040', '0.2653', '0.3937', '0.4617', '0.5059', '0.4148', '0.3859']","['0.4650', '0.6063', '0.2149', '0.1702', '0.2147', '0.4176', '0.5522', '0.5377', '0.3866', '0.4130']","['0.9443', '0.9149', '0.9482', '0.9440', '0.9562', '0.9217', '0.9027', '0.9303', '0.9475', '0.9238']","[[279, 69, 32, 9, 8, 12, 18, 24, 114, 35], [14, 368, 1, 15, 1, 6, 11, 21, 46, 124], [63, 21, 124, 39, 86, 56, 115, 44, 14, 15], [17, 32, 48, 103, 16, 176, 108, 57, 6, 42], [34, 18, 77, 37, 126, 39, 133, 86, 17, 20], [9, 16, 50, 66, 35, 251, 72, 73, 5, 24], [1, 15, 26, 71, 49, 51, 344, 30, 3, 33], [25, 25, 28, 40, 40, 60, 36, 342, 2, 38], [121, 106, 14, 7, 0, 13, 7, 14, 230, 83], [17, 157, 5, 18, 2, 10, 23, 25, 77, 235]]","[2, 9, 6, 7, 1, 3, 5, 0, 3, 6, 1, 5, 0, 4, 9, 0, 1, 9, 5, 4, 1, 9, 3, 6, 6, 6, 2, 6, 7, 4, 9, 0, 7, 1, 6, 6, 9, 4, 1, 2, 4, 6, 6, 3, 6, 0, 5, 0, 8, 1, 8, 4, 9, 6, 8, 0, 9, 9, 2, 1, 4, 1, 3, 6, 3, 9, 5, 9, 7, 3, 1, 3, 1, 0, 9, 7, 9, 8, 8, 0, 2, 6, 6, 0, 2, 9, 4, 4, 2, 4, 1, 6, 0, 9, 2, 8, 8, 3, 3, 5, 4, 0, 3, 9, 3, 1, 9, 4, 6, 9, 9, 3, 9, 1, 1, 9, 7, 6, 6, 0, 1, 2, 9, 9, 0, 8, 8, 1]","[3, 3, 2, 7, 1, 0, 2, 0, 4, 4, 2, 5, 0, 4, 9, 0, 1, 9, 5, 1, 1, 9, 5, 6, 6, 6, 2, 6, 8, 4, 9, 0, 7, 8, 7, 6, 9, 4, 1, 2, 4, 5, 5, 0, 4, 2, 5, 4, 8, 1, 5, 5, 9, 2, 2, 0, 9, 8, 2, 1, 8, 1, 3, 6, 4, 9, 8, 4, 7, 5, 7, 3, 1, 6, 9, 7, 1, 8, 8, 0, 2, 6, 5, 0, 2, 8, 7, 7, 6, 4, 1, 6, 0, 1, 2, 3, 8, 3, 2, 5, 8, 0, 5, 0, 3, 1, 3, 4, 6, 9, 9, 3, 9, 3, 1, 4, 7, 4, 6, 0, 8, 2, 4, 4, 0, 3, 0, 8]"
3,"['0.5067', '0.5222', '0.2582', '0.1636', '0.2351', '0.4476', '0.6019', '0.5252', '0.4353', '0.4323']","['0.4856', '0.5475', '0.3402', '0.2598', '0.3399', '0.3690', '0.3870', '0.4792', '0.4718', '0.3930']","['0.5067', '0.5222', '0.2582', '0.1636', '0.2351', '0.4476', '0.6019', '0.5252', '0.4353', '0.4323']","['0.4959', '0.5346', '0.2936', '0.2008', '0.2779', '0.4045', '0.4711', '0.5011', '0.4528', '0.4117']","['0.5067', '0.5222', '0.2582', '0.1636', '0.2351', '0.4476', '0.6019', '0.5252', '0.4353', '0.4323']","['0.9404', '0.9514', '0.9467', '0.9477', '0.9505', '0.9148', '0.8895', '0.9323', '0.9463', '0.9300']","[[304, 46, 29, 9, 17, 14, 15, 24, 109, 33], [16, 317, 0, 22, 3, 5, 21, 25, 50, 148], [63, 10, 149, 35, 76, 57, 123, 37, 13, 14], [20, 11, 50, 99, 13, 184, 127, 59, 7, 35], [36, 7, 80, 29, 138, 47, 143, 77, 13, 17], [9, 5, 55, 56, 30, 269, 82, 68, 9, 18], [1, 1, 28, 61, 61, 41, 375, 25, 4, 26], [23, 10, 26, 36, 59, 87, 36, 334, 4, 21], [134, 64, 15, 10, 4, 14, 10, 17, 259, 68], [20, 108, 6, 24, 5, 11, 37, 31, 81, 246]]","[9, 0, 6, 9, 0, 2, 4, 1, 6, 9, 1, 0, 9, 6, 1, 4, 9, 3, 5, 0, 1, 1, 6, 8, 4, 5, 1, 5, 3, 9, 9, 2, 5, 5, 3, 2, 3, 1, 3, 8, 0, 9, 2, 0, 7, 1, 3, 0, 1, 4, 2, 6, 0, 4, 0, 1, 5, 0, 1, 9, 8, 6, 9, 5, 9, 6, 0, 9, 4, 0, 9, 0, 8, 7, 4, 1, 9, 6, 5, 1, 2, 6, 1, 9, 3, 7, 4, 6, 1, 9, 9, 4, 4, 3, 9, 2, 8, 4, 3, 4, 0, 4, 7, 4, 2, 4, 7, 4, 4, 4, 3, 8, 2, 3, 3, 6, 9, 5, 4, 0, 7, 2, 5, 9, 8, 5, 8, 2]","[8, 0, 6, 3, 0, 2, 4, 1, 4, 7, 8, 4, 2, 6, 1, 4, 5, 3, 7, 4, 3, 1, 6, 2, 4, 0, 3, 7, 3, 9, 9, 2, 5, 0, 3, 3, 3, 2, 3, 8, 0, 9, 6, 0, 2, 8, 0, 0, 2, 2, 2, 6, 3, 4, 0, 8, 5, 4, 1, 7, 8, 0, 3, 5, 2, 6, 0, 1, 3, 0, 2, 8, 4, 7, 4, 1, 3, 1, 7, 1, 2, 6, 9, 5, 3, 7, 4, 9, 2, 6, 9, 4, 5, 5, 0, 2, 8, 4, 3, 7, 0, 2, 7, 4, 2, 4, 2, 8, 2, 1, 3, 8, 5, 0, 3, 8, 6, 2, 8, 6, 2, 2, 5, 7, 8, 0, 0, 2]"
4,"['0.4483', '0.6804', '0.1698', '0.1901', '0.2913', '0.4143', '0.6083', '0.5283', '0.5261', '0.4218']","['0.4891', '0.4758', '0.3920', '0.3212', '0.3455', '0.4164', '0.3932', '0.5385', '0.4735', '0.3797']","['0.4483', '0.6804', '0.1698', '0.1901', '0.2913', '0.4143', '0.6083', '0.5283', '0.5261', '0.4218']","['0.4678', '0.5600', '0.2370', '0.2388', '0.3161', '0.4153', '0.4776', '0.5333', '0.4984', '0.3997']","['0.4483', '0.6804', '0.1698', '0.1901', '0.2913', '0.4143', '0.6083', '0.5283', '0.5261', '0.4218']","['0.9480', '0.9156', '0.9720', '0.9550', '0.9401', '0.9354', '0.8912', '0.9463', '0.9356', '0.9278']","[[269, 70, 11, 4, 20, 7, 16, 16, 148, 39], [9, 413, 0, 13, 2, 3, 17, 11, 41, 98], [62, 23, 98, 34, 111, 46, 126, 34, 22, 21], [14, 26, 37, 115, 22, 156, 124, 47, 18, 46], [41, 19, 42, 17, 171, 37, 147, 71, 20, 22], [12, 18, 31, 67, 39, 249, 80, 63, 15, 27], [5, 13, 17, 49, 66, 33, 379, 23, 6, 32], [28, 26, 9, 33, 55, 52, 41, 336, 12, 44], [92, 91, 4, 6, 3, 8, 9, 6, 313, 63], [18, 169, 1, 20, 6, 7, 25, 17, 66, 240]]","[9, 9, 9, 4, 8, 8, 9, 1, 9, 0, 1, 3, 4, 9, 3, 0, 4, 0, 4, 2, 9, 6, 8, 1, 9, 3, 7, 1, 0, 1, 9, 1, 0, 5, 9, 4, 9, 2, 3, 2, 4, 0, 0, 0, 0, 2, 6, 3, 9, 1, 8, 0, 7, 7, 6, 6, 1, 8, 1, 8, 4, 9, 0, 1, 3, 1, 6, 1, 4, 4, 8, 8, 3, 6, 7, 3, 9, 4, 6, 0, 1, 5, 1, 4, 0, 9, 3, 4, 1, 4, 1, 7, 0, 4, 9, 9, 0, 8, 3, 2, 1, 9, 0, 5, 9, 2, 9, 2, 0, 4, 0, 0, 0, 9, 6, 6, 1, 1, 5, 9, 9, 1, 1, 9, 5, 0, 6, 1]","[3, 9, 9, 4, 8, 6, 7, 4, 9, 5, 7, 9, 5, 6, 3, 0, 4, 7, 3, 2, 7, 9, 2, 2, 9, 3, 7, 0, 0, 1, 5, 1, 2, 0, 9, 4, 9, 2, 3, 1, 7, 9, 2, 9, 0, 2, 5, 3, 7, 4, 8, 8, 2, 7, 6, 6, 2, 8, 1, 8, 4, 7, 0, 1, 3, 8, 6, 1, 4, 0, 8, 8, 3, 1, 2, 4, 7, 4, 9, 0, 1, 5, 1, 4, 0, 3, 0, 3, 3, 8, 8, 7, 0, 4, 5, 0, 5, 0, 5, 2, 1, 9, 5, 6, 1, 2, 4, 2, 7, 4, 0, 6, 5, 9, 6, 5, 1, 2, 5, 5, 7, 7, 1, 6, 5, 7, 5, 1]"
5,"['0.4983', '0.5865', '0.1993', '0.2066', '0.3254', '0.4260', '0.5650', '0.5550', '0.5261', '0.4921']","['0.5042', '0.5282', '0.4107', '0.2822', '0.3479', '0.4038', '0.4433', '0.5292', '0.4914', '0.3841']","['0.4983', '0.5865', '0.1993', '0.2066', '0.3254', '0.4260', '0.5650', '0.5550', '0.5261', '0.4921']","['0.5013', '0.5558', '0.2684', '0.2385', '0.3363', '0.4146', '0.4968', '0.5418', '0.5081', '0.4314']","['0.4983', '0.5865', '0.1993', '0.2066', '0.3254', '0.4260', '0.5650', '0.5550', '0.5261', '0.4921']","['0.9456', '0.9410', '0.9696', '0.9411', '0.9339', '0.9300', '0.9178', '0.9415', '0.9401', '0.9173']","[[299, 51, 14, 9, 18, 5, 13, 19, 137, 35], [11, 356, 0, 12, 6, 4, 12, 13, 53, 140], [58, 14, 115, 44, 118, 55, 92, 37, 21, 23], [17, 11, 36, 125, 24, 170, 100, 50, 12, 60], [38, 13, 43, 32, 191, 42, 110, 77, 17, 24], [11, 13, 33, 78, 43, 256, 56, 73, 10, 28], [7, 4, 18, 66, 81, 33, 352, 20, 7, 35], [19, 17, 14, 44, 55, 52, 28, 353, 9, 45], [109, 65, 7, 11, 8, 9, 9, 5, 313, 59], [24, 130, 0, 22, 5, 8, 22, 20, 58, 280]]","[3, 2, 0, 8, 3, 9, 3, 7, 9, 1, 1, 0, 7, 0, 3, 5, 9, 9, 3, 9, 3, 9, 0, 0, 6, 9, 9, 7, 4, 4, 8, 9, 7, 4, 1, 0, 7, 9, 6, 6, 5, 2, 8, 6, 3, 3, 2, 0, 2, 0, 1, 6, 0, 3, 6, 3, 8, 3, 9, 9, 9, 7, 4, 2, 6, 5, 7, 7, 8, 3, 1, 2, 7, 3, 3, 3, 9, 1, 6, 6, 7, 6, 4, 0, 3, 0, 1, 2, 4, 5, 9, 2, 0, 4, 3, 9, 4, 4, 4, 0, 4, 6, 6, 7, 1, 9, 9, 9, 3, 0, 9, 0, 9, 4, 1, 1, 6, 2, 1, 4, 3, 9, 9, 7, 4, 1, 9, 1]","[5, 5, 0, 8, 3, 9, 3, 3, 5, 7, 1, 6, 7, 4, 5, 7, 5, 7, 1, 7, 3, 9, 0, 0, 5, 5, 0, 7, 4, 4, 0, 9, 7, 4, 8, 0, 7, 9, 6, 5, 6, 2, 8, 5, 3, 8, 2, 5, 2, 6, 0, 2, 9, 6, 6, 2, 8, 3, 7, 3, 3, 7, 5, 2, 5, 8, 7, 7, 8, 0, 1, 2, 7, 3, 3, 3, 9, 8, 6, 6, 7, 6, 4, 0, 3, 2, 3, 2, 4, 8, 9, 2, 7, 7, 3, 9, 4, 4, 8, 8, 4, 6, 6, 7, 3, 4, 5, 9, 3, 8, 9, 0, 6, 5, 1, 1, 9, 2, 0, 4, 0, 9, 4, 5, 4, 6, 8, 3]"
6,"['0.5250', '0.6178', '0.2236', '0.2397', '0.3884', '0.3644', '0.5104', '0.5456', '0.4504', '0.5062']","['0.5105', '0.5130', '0.3933', '0.2854', '0.3449', '0.4140', '0.4622', '0.5298', '0.5492', '0.3623']","['0.5250', '0.6178', '0.2236', '0.2397', '0.3884', '0.3644', '0.5104', '0.5456', '0.4504', '0.5062']","['0.5177', '0.5605', '0.2851', '0.2606', '0.3654', '0.3876', '0.4851', '0.5376', '0.4949', '0.4223']","['0.5250', '0.6178', '0.2236', '0.2397', '0.3884', '0.3644', '0.5104', '0.5456', '0.4504', '0.5062']","['0.9441', '0.9340', '0.9633', '0.9327', '0.9200', '0.9426', '0.9312', '0.9426', '0.9593', '0.9066']","[[315, 59, 26, 6, 22, 3, 11, 19, 93, 46], [15, 375, 0, 14, 6, 3, 9, 9, 36, 140], [58, 15, 129, 52, 139, 44, 59, 36, 18, 27], [15, 10, 42, 145, 34, 144, 92, 52, 9, 62], [35, 17, 45, 34, 228, 29, 93, 66, 12, 28], [11, 10, 39, 100, 46, 219, 57, 76, 11, 32], [8, 10, 20, 71, 107, 24, 318, 21, 4, 40], [15, 20, 13, 46, 65, 46, 29, 347, 6, 49], [120, 69, 12, 12, 9, 11, 4, 7, 268, 83], [25, 146, 2, 28, 5, 6, 16, 22, 31, 288]]","[6, 3, 2, 4, 1, 9, 6, 0, 8, 2, 4, 4, 6, 9, 9, 2, 4, 1, 6, 9, 5, 1, 1, 4, 9, 9, 5, 1, 3, 9, 0, 1, 7, 6, 3, 2, 2, 3, 2, 6, 2, 9, 0, 9, 4, 9, 2, 1, 9, 9, 4, 6, 1, 9, 8, 8, 6, 1, 3, 0, 9, 2, 3, 4, 7, 9, 0, 7, 4, 9, 9, 1, 1, 6, 0, 3, 3, 9, 1, 1, 1, 6, 8, 0, 9, 9, 0, 7, 2, 8, 1, 3, 3, 3, 2, 0, 2, 3, 1, 9, 0, 8, 0, 6, 7, 0, 3, 7, 1, 1, 8, 1, 7, 4, 4, 9, 9, 1, 0, 3, 2, 9, 3, 3, 4, 2, 7, 8]","[6, 7, 2, 4, 1, 2, 4, 5, 8, 2, 6, 2, 6, 9, 5, 4, 4, 7, 6, 9, 5, 1, 3, 4, 9, 9, 5, 7, 2, 3, 5, 1, 7, 6, 3, 2, 2, 5, 2, 2, 2, 0, 5, 9, 4, 0, 7, 2, 2, 6, 4, 7, 7, 8, 8, 8, 2, 1, 3, 4, 9, 2, 0, 4, 7, 4, 8, 7, 3, 9, 8, 1, 1, 2, 0, 3, 9, 5, 5, 2, 0, 6, 8, 5, 5, 6, 0, 7, 5, 8, 5, 5, 4, 3, 6, 0, 2, 7, 4, 6, 2, 8, 0, 6, 2, 2, 2, 8, 1, 8, 2, 5, 1, 4, 4, 9, 4, 2, 0, 2, 2, 3, 3, 3, 7, 2, 7, 8]"
7,"['0.5550', '0.5964', '0.2496', '0.2430', '0.3322', '0.3478', '0.5634', '0.4984', '0.4824', '0.5378']","['0.4904', '0.5194', '0.3861', '0.3050', '0.3439', '0.4634', '0.4547', '0.5419', '0.5335', '0.3575']","['0.5550', '0.5964', '0.2496', '0.2430', '0.3322', '0.3478', '0.5634', '0.4984', '0.4824', '0.5378']","['0.5207', '0.5552', '0.3032', '0.2705', '0.3380', '0.3973', '0.5032', '0.5192', '0.5066', '0.4295']","['0.5550', '0.5964', '0.2496', '0.2430', '0.3322', '0.3478', '0.5634', '0.4984', '0.4824', '0.5378']","['0.9359', '0.9379', '0.9578', '0.9379', '0.9313', '0.9552', '0.9217', '0.9500', '0.9536', '0.8987']","[[333, 53, 23, 8, 20, 2, 10, 13, 90, 48], [16, 362, 0, 11, 8, 3, 10, 9, 44, 144], [66, 17, 144, 45, 111, 33, 81, 29, 20, 31], [23, 11, 42, 147, 34, 116, 100, 47, 14, 71], [45, 19, 61, 31, 195, 24, 104, 60, 13, 35], [13, 10, 40, 100, 40, 209, 64, 69, 13, 43], [10, 16, 30, 58, 77, 14, 351, 20, 8, 39], [24, 18, 20, 46, 66, 39, 31, 317, 7, 68], [127, 62, 11, 14, 7, 5, 6, 5, 287, 71], [22, 129, 2, 22, 9, 6, 15, 16, 42, 306]]","[1, 6, 2, 7, 0, 0, 2, 7, 4, 9, 1, 0, 1, 9, 9, 6, 9, 7, 6, 7, 4, 3, 3, 9, 4, 7, 4, 3, 9, 0, 3, 0, 2, 6, 2, 0, 3, 4, 2, 4, 8, 9, 2, 2, 9, 3, 8, 3, 0, 1, 0, 9, 3, 2, 3, 7, 0, 9, 8, 3, 9, 1, 1, 2, 0, 2, 9, 6, 4, 9, 0, 1, 9, 2, 3, 6, 3, 2, 3, 3, 4, 4, 1, 0, 4, 9, 3, 9, 9, 9, 2, 9, 1, 1, 3, 4, 9, 2, 0, 2, 3, 9, 9, 4, 9, 0, 4, 4, 3, 6, 5, 1, 6, 1, 4, 1, 2, 8, 0, 9, 3, 9, 6, 9, 1, 7, 3, 3]","[8, 6, 2, 2, 4, 0, 2, 7, 4, 9, 1, 0, 2, 5, 9, 6, 9, 2, 6, 7, 4, 3, 3, 5, 4, 2, 4, 3, 9, 0, 3, 1, 2, 6, 2, 0, 3, 2, 2, 3, 2, 8, 6, 2, 5, 3, 7, 7, 4, 6, 6, 3, 7, 2, 3, 7, 4, 5, 8, 3, 9, 0, 2, 2, 2, 2, 0, 2, 4, 5, 0, 1, 7, 2, 3, 6, 5, 7, 3, 9, 2, 4, 4, 2, 2, 8, 2, 9, 4, 6, 2, 7, 2, 2, 3, 2, 7, 6, 7, 6, 7, 0, 0, 4, 9, 0, 4, 5, 5, 6, 5, 3, 6, 1, 7, 5, 2, 8, 0, 9, 3, 7, 4, 9, 7, 2, 2, 6]"
