cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label,oracle_confusion_matrix,oracle_iterations,training_loss
0,"['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1000']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1818']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000']","['1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.0000']","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 700], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700]]",-1,-1,-1,-1,2.3012804985046387
1,"['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1000']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1818']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000']","['1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.0000']","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 700], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700]]","[3, 3, 6, 6, 0, 2, 3, 0, 6, 6, 0, 3, 3, 6, 4, 6]","[3, 3, 6, 6, 0, 2, 3, 0, 6, 6, 0, 3, 3, 6, 4, 6]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2842648029327393
2,"['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0029', '0.0000', '0.0000', '1.0000']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1111', '0.0000', '0.0000', '0.1003']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0029', '0.0000', '0.0000', '1.0000']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0056', '0.0000', '0.0000', '0.1822']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0029', '0.0000', '0.0000', '1.0000']","['1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.9975', '1.0000', '1.0000', '0.0029']","[[0, 0, 0, 0, 0, 0, 5, 0, 0, 695], [0, 0, 0, 0, 0, 0, 7, 0, 0, 693], [0, 0, 0, 0, 0, 0, 1, 0, 0, 699], [0, 0, 0, 0, 0, 0, 2, 0, 0, 698], [0, 0, 0, 0, 0, 0, 1, 0, 0, 699], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700], [0, 0, 0, 0, 0, 0, 2, 0, 0, 698], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700]]","[6, 4, 3, 3, 0, 0, 3, 3, 3, 6, 6, 0, 0, 0, 3, 6]","[6, 4, 3, 3, 0, 0, 3, 3, 3, 6, 6, 0, 0, 0, 3, 6]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.276259422302246
3,"['0.0014', '0.0000', '0.0000', '0.0729', '0.0000', '0.0000', '0.3614', '0.0000', '0.0000', '1.0000']","['1.0000', '0.0000', '0.0000', '0.2965', '0.0000', '0.0000', '0.1593', '0.0000', '0.0000', '0.1336']","['0.0014', '0.0000', '0.0000', '0.0729', '0.0000', '0.0000', '0.3614', '0.0000', '0.0000', '1.0000']","['0.0029', '0.0000', '0.0000', '0.1170', '0.0000', '0.0000', '0.2212', '0.0000', '0.0000', '0.2357']","['0.0014', '0.0000', '0.0000', '0.0729', '0.0000', '0.0000', '0.3614', '0.0000', '0.0000', '1.0000']","['1.0000', '1.0000', '1.0000', '0.9808', '1.0000', '1.0000', '0.7881', '1.0000', '1.0000', '0.2795']","[[1, 0, 0, 2, 0, 0, 511, 0, 0, 186], [0, 0, 0, 108, 0, 0, 128, 0, 0, 464], [0, 0, 0, 0, 0, 0, 163, 0, 0, 537], [0, 0, 0, 51, 0, 0, 236, 0, 0, 413], [0, 0, 0, 9, 0, 0, 294, 0, 0, 397], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700], [0, 0, 0, 2, 0, 0, 253, 0, 0, 445], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700], [0, 0, 0, 0, 0, 0, 3, 0, 0, 697], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700]]","[3, 0, 0, 3, 3, 0, 0, 3, 3, 3, 0, 3, 3, 0, 0, 3]","[3, 0, 0, 3, 3, 0, 0, 3, 3, 3, 0, 3, 3, 0, 0, 3]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2752532958984375
4,"['0.1857', '0.0000', '0.0000', '0.7657', '0.0000', '0.0000', '0.6429', '0.0000', '0.0000', '1.0000']","['0.3858', '0.0000', '0.0000', '0.3756', '0.0000', '0.0000', '0.2063', '0.0000', '0.0000', '0.2291']","['0.1857', '0.0000', '0.0000', '0.7657', '0.0000', '0.0000', '0.6429', '0.0000', '0.0000', '1.0000']","['0.2507', '0.0000', '0.0000', '0.5040', '0.0000', '0.0000', '0.3124', '0.0000', '0.0000', '0.3728']","['0.1857', '0.0000', '0.0000', '0.7657', '0.0000', '0.0000', '0.6429', '0.0000', '0.0000', '1.0000']","['0.9671', '1.0000', '1.0000', '0.8586', '1.0000', '1.0000', '0.7252', '1.0000', '1.0000', '0.6262']","[[130, 0, 0, 130, 0, 0, 427, 0, 0, 13], [17, 0, 0, 629, 0, 0, 48, 0, 0, 6], [38, 0, 0, 4, 0, 0, 541, 0, 0, 117], [47, 0, 0, 536, 0, 0, 106, 0, 0, 11], [17, 0, 0, 45, 0, 0, 594, 0, 0, 44], [1, 0, 0, 0, 0, 0, 0, 0, 0, 699], [80, 0, 0, 69, 0, 0, 450, 0, 0, 101], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700], [7, 0, 0, 14, 0, 0, 15, 0, 0, 664], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700]]","[8, 6, 2, 0, 6, 0, 6, 0, 6, 0, 2, 0, 4, 6, 0, 6]","[8, 6, 2, 0, 6, 0, 6, 0, 6, 0, 2, 0, 4, 6, 0, 6]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2521283626556396
5,"['0.2643', '0.0000', '0.0000', '0.8200', '0.0000', '0.0000', '0.6457', '0.0000', '0.0000', '0.9971']","['0.3426', '0.0000', '0.0000', '0.3502', '0.0000', '0.0000', '0.2179', '0.0000', '0.0000', '0.2541']","['0.2643', '0.0000', '0.0000', '0.8200', '0.0000', '0.0000', '0.6457', '0.0000', '0.0000', '0.9971']","['0.2984', '0.0000', '0.0000', '0.4908', '0.0000', '0.0000', '0.3259', '0.0000', '0.0000', '0.4050']","['0.2643', '0.0000', '0.0000', '0.8200', '0.0000', '0.0000', '0.6457', '0.0000', '0.0000', '0.9971']","['0.9437', '1.0000', '1.0000', '0.8310', '1.0000', '1.0000', '0.7425', '1.0000', '1.0000', '0.6748']","[[185, 0, 0, 241, 0, 0, 267, 0, 0, 7], [35, 0, 0, 625, 0, 0, 36, 0, 0, 4], [67, 0, 0, 10, 0, 0, 606, 0, 0, 17], [55, 0, 0, 574, 0, 0, 71, 0, 0, 0], [31, 0, 0, 60, 0, 0, 603, 0, 0, 6], [11, 0, 0, 1, 0, 0, 0, 0, 0, 688], [141, 0, 0, 86, 0, 0, 452, 0, 0, 21], [0, 0, 0, 0, 0, 0, 0, 0, 0, 700], [15, 0, 0, 40, 0, 0, 39, 0, 0, 606], [0, 0, 0, 2, 0, 0, 0, 0, 0, 698]]","[2, 2, 2, 6, 2, 2, 2, 2, 2, 1, 2, 8, 8, 8, 6, 6]","[2, 2, 2, 6, 2, 2, 2, 2, 2, 1, 2, 8, 8, 8, 6, 6]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2377517223358154
6,"['0.2671', '0.0000', '0.0000', '0.8586', '0.0000', '0.0057', '0.6014', '0.0000', '0.0000', '0.9943']","['0.3502', '0.0000', '0.0000', '0.3256', '0.0000', '0.6667', '0.2132', '0.0000', '0.0000', '0.2637']","['0.2671', '0.0000', '0.0000', '0.8586', '0.0000', '0.0057', '0.6014', '0.0000', '0.0000', '0.9943']","['0.3031', '0.0000', '0.0000', '0.4721', '0.0000', '0.0113', '0.3148', '0.0000', '0.0000', '0.4169']","['0.2671', '0.0000', '0.0000', '0.8586', '0.0000', '0.0057', '0.6014', '0.0000', '0.0000', '0.9943']","['0.9449', '1.0000', '1.0000', '0.8024', '1.0000', '0.9997', '0.7533', '1.0000', '1.0000', '0.6916']","[[187, 0, 0, 311, 0, 0, 198, 0, 0, 4], [13, 0, 0, 657, 0, 0, 28, 0, 0, 2], [65, 0, 0, 16, 0, 1, 613, 0, 0, 5], [42, 0, 0, 601, 0, 0, 57, 0, 0, 0], [24, 0, 0, 79, 0, 0, 595, 0, 0, 2], [35, 0, 0, 3, 0, 4, 0, 0, 0, 658], [145, 0, 0, 124, 0, 0, 421, 0, 0, 10], [2, 0, 0, 0, 0, 0, 0, 0, 0, 698], [21, 0, 0, 51, 0, 1, 63, 0, 0, 564], [0, 0, 0, 4, 0, 0, 0, 0, 0, 696]]","[6, 4, 2, 8, 8, 6, 6, 4, 2, 8, 8, 4, 2, 2, 1, 2]","[6, 4, 2, 8, 8, 6, 6, 4, 2, 8, 8, 4, 2, 2, 1, 2]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2133073806762695
7,"['0.1686', '0.0000', '0.0000', '0.9043', '0.0000', '0.2186', '0.6157', '0.0000', '0.0000', '0.9943']","['0.4097', '0.0000', '0.0000', '0.3033', '0.0000', '0.8053', '0.2231', '0.0000', '0.0000', '0.2781']","['0.1686', '0.0000', '0.0000', '0.9043', '0.0000', '0.2186', '0.6157', '0.0000', '0.0000', '0.9943']","['0.2389', '0.0000', '0.0000', '0.4543', '0.0000', '0.3438', '0.3275', '0.0000', '0.0000', '0.4346']","['0.1686', '0.0000', '0.0000', '0.9043', '0.0000', '0.2186', '0.6157', '0.0000', '0.0000', '0.9943']","['0.9730', '1.0000', '1.0000', '0.7692', '1.0000', '0.9941', '0.7617', '1.0000', '1.0000', '0.7132']","[[118, 0, 0, 437, 0, 1, 141, 0, 0, 3], [4, 0, 0, 668, 0, 0, 27, 0, 0, 1], [36, 0, 0, 23, 0, 7, 631, 0, 0, 3], [22, 0, 0, 633, 0, 0, 45, 0, 0, 0], [14, 0, 0, 97, 0, 4, 584, 0, 0, 1], [2, 0, 0, 3, 0, 153, 1, 0, 0, 541], [79, 0, 0, 172, 0, 12, 431, 0, 0, 6], [0, 0, 0, 0, 0, 5, 0, 0, 0, 695], [13, 0, 0, 50, 0, 8, 72, 0, 0, 557], [0, 0, 0, 4, 0, 0, 0, 0, 0, 696]]","[8, 6, 2, 6, 6, 2, 2, 8, 2, 8, 2, 2, 8, 6, 6, 0]","[8, 6, 2, 6, 6, 2, 2, 8, 2, 8, 2, 2, 8, 6, 6, 0]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2739405632019043
8,"['0.0786', '0.0000', '0.0000', '0.8429', '0.0000', '0.3000', '0.8243', '0.0000', '0.0000', '0.9829']","['0.8730', '0.0000', '0.0000', '0.3379', '0.0000', '0.8400', '0.2161', '0.0000', '0.0000', '0.3030']","['0.0786', '0.0000', '0.0000', '0.8429', '0.0000', '0.3000', '0.8243', '0.0000', '0.0000', '0.9829']","['0.1442', '0.0000', '0.0000', '0.4824', '0.0000', '0.4421', '0.3424', '0.0000', '0.0000', '0.4631']","['0.0786', '0.0000', '0.0000', '0.8429', '0.0000', '0.3000', '0.8243', '0.0000', '0.0000', '0.9829']","['0.9987', '1.0000', '1.0000', '0.8165', '1.0000', '0.9937', '0.6678', '1.0000', '1.0000', '0.7487']","[[55, 0, 0, 309, 0, 1, 334, 0, 0, 1], [0, 0, 0, 656, 0, 0, 44, 0, 0, 0], [0, 0, 0, 5, 0, 4, 691, 0, 0, 0], [1, 0, 0, 590, 0, 0, 109, 0, 0, 0], [0, 0, 0, 48, 0, 1, 651, 0, 0, 0], [0, 0, 0, 3, 0, 210, 23, 0, 0, 464], [7, 0, 0, 113, 0, 3, 577, 0, 0, 0], [0, 0, 0, 0, 0, 22, 0, 0, 0, 678], [0, 0, 0, 19, 0, 9, 232, 0, 0, 440], [0, 0, 0, 3, 0, 0, 9, 0, 0, 688]]","[2, 8, 6, 8, 8, 8, 8, 6, 8, 7, 8, 8, 8, 6, 8, 6]","[2, 8, 6, 8, 8, 8, 8, 6, 8, 7, 8, 8, 8, 6, 8, 6]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.1881009340286255
9,"['0.0329', '0.0000', '0.0000', '0.7571', '0.0000', '0.2900', '0.9129', '0.0000', '0.0014', '0.9871']","['0.9200', '0.0000', '0.0000', '0.3805', '0.0000', '0.8529', '0.2083', '0.0000', '1.0000', '0.3036']","['0.0329', '0.0000', '0.0000', '0.7571', '0.0000', '0.2900', '0.9129', '0.0000', '0.0014', '0.9871']","['0.0634', '0.0000', '0.0000', '0.5065', '0.0000', '0.4328', '0.3393', '0.0000', '0.0029', '0.4644']","['0.0329', '0.0000', '0.0000', '0.7571', '0.0000', '0.2900', '0.9129', '0.0000', '0.0014', '0.9871']","['0.9997', '1.0000', '1.0000', '0.8630', '1.0000', '0.9944', '0.6146', '1.0000', '1.0000', '0.7484']","[[23, 0, 0, 135, 0, 1, 540, 0, 0, 1], [0, 0, 0, 623, 0, 0, 77, 0, 0, 0], [0, 0, 0, 2, 0, 1, 697, 0, 0, 0], [0, 0, 0, 530, 0, 0, 170, 0, 0, 0], [0, 0, 0, 29, 0, 1, 670, 0, 0, 0], [0, 0, 0, 2, 0, 203, 38, 0, 0, 457], [2, 0, 0, 56, 0, 3, 639, 0, 0, 0], [0, 0, 0, 0, 0, 23, 0, 0, 0, 677], [0, 0, 0, 14, 0, 6, 229, 0, 1, 450], [0, 0, 0, 2, 0, 0, 7, 0, 0, 691]]","[8, 6, 8, 8, 5, 6, 8, 8, 8, 2, 8, 8, 8, 2, 8, 5]","[8, 6, 8, 8, 5, 6, 8, 8, 8, 2, 8, 8, 8, 2, 8, 5]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.1647050380706787
