cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label
68,"['0.8032', '0.7902', '0.7244', '0.6845']","['0.6014', '0.5787', '0.3372', '0.4175']","['0.6401', '0.5719', '0.0833', '0.7217']","['0.6201', '0.5753', '0.1336', '0.5290']","['0.6401', '0.5719', '0.0833', '0.7217']","['0.8579', '0.8624', '0.9439', '0.6724']","[[1542, 380, 121, 366], [444, 1364, 110, 467], [401, 304, 204, 1540], [177, 309, 170, 1701]]",0,0
69,"['0.7989', '0.7810', '0.7232', '0.6952']","['0.5905', '0.5553', '0.3462', '0.4236']","['0.6476', '0.5954', '0.0955', '0.6695']","['0.6177', '0.5747', '0.1498', '0.5189']","['0.6476', '0.5954', '0.0955', '0.6695']","['0.8495', '0.8424', '0.9382', '0.7036']","[[1560, 410, 111, 328], [462, 1420, 115, 388], [427, 357, 234, 1431], [193, 370, 216, 1578]]",2,2
70,"['0.8092', '0.7908', '0.7310', '0.6775']","['0.6245', '0.5751', '0.3606', '0.4140']","['0.6007', '0.6050', '0.0702', '0.7548']","['0.6124', '0.5897', '0.1176', '0.5347']","['0.6007', '0.6050', '0.0702', '0.7548']","['0.8790', '0.8523', '0.9573', '0.6524']","[[1447, 460, 99, 403], [335, 1443, 94, 513], [377, 298, 172, 1602], [158, 308, 112, 1779]]",3,3
71,"['0.8040', '0.7764', '0.7277', '0.6907']","['0.6067', '0.5443', '0.3446', '0.4218']","['0.6218', '0.6134', '0.0747', '0.7000']","['0.6142', '0.5768', '0.1228', '0.5264']","['0.6218', '0.6134', '0.0747', '0.7000']","['0.8650', '0.8302', '0.9513', '0.6877']","[[1498, 445, 104, 362], [405, 1463, 94, 423], [398, 391, 183, 1477], [168, 389, 150, 1650]]",3,3
72,"['0.8073', '0.7867', '0.7175', '0.6927']","['0.6216', '0.5663', '0.3657', '0.4216']","['0.5932', '0.6034', '0.1462', '0.6763']","['0.6071', '0.5842', '0.2089', '0.5194']","['0.5932', '0.6034', '0.1462', '0.6763']","['0.8790', '0.8473', '0.9132', '0.6981']","[[1429, 453, 159, 368], [356, 1439, 178, 412], [360, 324, 358, 1407], [154, 325, 284, 1594]]",0,0
73,"['0.8067', '0.7930', '0.7262', '0.6691']","['0.6207', '0.5863', '0.3352', '0.4081']","['0.5903', '0.5669', '0.0743', '0.7722']","['0.6051', '0.5764', '0.1217', '0.5340']","['0.5903', '0.5669', '0.0743', '0.7722']","['0.8792', '0.8678', '0.9495', '0.6355']","[[1422, 410, 137, 440], [365, 1352, 106, 562], [356, 273, 182, 1638], [148, 271, 118, 1820]]",2,2
74,"['0.8019', '0.7835', '0.7130', '0.6941']","['0.6020', '0.5622', '0.3461', '0.4206']","['0.6210', '0.5820', '0.1405', '0.6517']","['0.6114', '0.5719', '0.1998', '0.5112']","['0.6210', '0.5820', '0.1405', '0.6517']","['0.8625', '0.8502', '0.9091', '0.7079']","[[1496, 378, 193, 342], [447, 1388, 156, 394], [379, 346, 344, 1380], [163, 357, 301, 1536]]",3,3
75,"['0.8060', '0.7785', '0.7206', '0.6892']","['0.6195', '0.5479', '0.3309', '0.4200']","['0.5886', '0.6205', '0.0931', '0.6988']","['0.6037', '0.5820', '0.1453', '0.5247']","['0.5886', '0.6205', '0.0931', '0.6988']","['0.8789', '0.8308', '0.9355', '0.6860']","[[1418, 455, 170, 366], [362, 1480, 120, 423], [356, 380, 228, 1485], [153, 386, 171, 1647]]",0,0
76,"['0.8025', '0.7800', '0.7226', '0.6943']","['0.5997', '0.5521', '0.3467', '0.4221']","['0.6405', '0.6067', '0.0988', '0.6640']","['0.6194', '0.5781', '0.1538', '0.5161']","['0.6405', '0.6067', '0.0988', '0.6640']","['0.8568', '0.8373', '0.9362', '0.7041']","[[1543, 409, 125, 332], [429, 1447, 118, 391], [417, 370, 242, 1420], [184, 395, 213, 1565]]",1,1
77,"['0.8076', '0.7757', '0.7246', '0.6898']","['0.6209', '0.5427', '0.3399', '0.4214']","['0.5990', '0.6180', '0.0845', '0.7064']","['0.6098', '0.5779', '0.1354', '0.5279']","['0.5990', '0.6180', '0.0845', '0.7064']","['0.8775', '0.8279', '0.9438', '0.6844']","[[1443, 440, 150, 376], [371, 1474, 120, 420], [358, 394, 207, 1490], [152, 408, 132, 1665]]",3,3
