cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label
0,"['0.7396', '0.2689', '0.7486', '0.7577']","['0.2242', '0.2580', '0.0000', '0.0000']","['0.0154', '0.9927', '0.0000', '0.0000']","['0.0287', '0.4095', '0.0000', '0.0000']","['0.0154', '0.9927', '0.0000', '0.0000']","['0.9822', '0.0206', '1.0000', '1.0000']","[[37, 2372, 0, 0], [18, 2434, 0, 0], [23, 2390, 0, 0], [87, 2239, 0, 0]]",-1,-1
1,"['0.7429', '0.2732', '0.7486', '0.7577']","['0.3575', '0.2591', '0.0000', '0.0000']","['0.0307', '0.9927', '0.0000', '0.0000']","['0.0566', '0.4110', '0.0000', '0.0000']","['0.0307', '0.9927', '0.0000', '0.0000']","['0.9815', '0.0264', '1.0000', '1.0000']","[[74, 2335, 0, 0], [18, 2434, 0, 0], [33, 2380, 0, 0], [82, 2244, 0, 0]]",0,0
2,"['0.7459', '0.2775', '0.7482', '0.7521']","['0.4007', '0.2576', '0.0000', '0.0000']","['0.0478', '0.9917', '0.0000', '0.0000']","['0.0855', '0.4089', '0.0000', '0.0000']","['0.0478', '0.9917', '0.0000', '0.0000']","['0.9764', '0.0368', '1.0000', '1.0000']","[[228, 4538, 0, 0], [40, 4799, 0, 0], [102, 4733, 0, 0], [199, 4561, 0, 0]]",3,3
