cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label
0,"['0.7491', '0.7446', '0.7486', '0.2423']","['0.0000', '0.0000', '0.0000', '0.2423']","['0.0000', '0.0000', '0.0000', '1.0000']","['0.0000', '0.0000', '0.0000', '0.3901']","['0.0000', '0.0000', '0.0000', '1.0000']","['1.0000', '1.0000', '1.0000', '0.0000']","[[0, 0, 0, 2409], [0, 0, 0, 2452], [0, 0, 0, 2413], [0, 0, 0, 2326]]",-1,-1
1,"['0.7491', '0.7446', '0.7486', '0.2423']","['0.0000', '0.0000', '0.0000', '0.2423']","['0.0000', '0.0000', '0.0000', '1.0000']","['0.0000', '0.0000', '0.0000', '0.3901']","['0.0000', '0.0000', '0.0000', '1.0000']","['1.0000', '1.0000', '1.0000', '0.0000']","[[0, 0, 0, 2409], [0, 0, 0, 2452], [0, 0, 0, 2413], [0, 0, 0, 2326]]",0,0
2,"['0.7520', '0.7480', '0.7482', '0.2481']","['1.0000', '0.0000', '0.0000', '0.2480']","['0.0008', '0.0000', '0.0000', '1.0000']","['0.0017', '0.0000', '0.0000', '0.3974']","['0.0008', '0.0000', '0.0000', '1.0000']","['1.0000', '1.0000', '1.0000', '0.0003']","[[4, 0, 0, 4762], [0, 0, 0, 4839], [0, 0, 0, 4835], [0, 0, 0, 4760]]",3,3
