cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label
41,"['0.7883', '0.7560', '0.7173', '0.6879']","['0.5636', '0.5124', '0.3136', '0.4250']","['0.6497', '0.4915', '0.1229', '0.6285']","['0.6036', '0.5017', '0.1766', '0.5071']","['0.6497', '0.4915', '0.1229', '0.6285']","['0.8340', '0.8442', '0.9119', '0.7083']","[[1547, 397, 157, 280], [566, 1179, 179, 475], [411, 336, 291, 1330], [221, 389, 301, 1541]]",1,1
42,"['0.7902', '0.7577', '0.7182', '0.6861']","['0.5679', '0.5162', '0.3158', '0.4247']","['0.6447', '0.4856', '0.1220', '0.6452']","['0.6039', '0.5004', '0.1761', '0.5122']","['0.6447', '0.4856', '0.1220', '0.6452']","['0.8382', '0.8484', '0.9134', '0.7002']","[[1535, 388, 171, 287], [563, 1165, 169, 502], [397, 328, 289, 1354], [208, 376, 286, 1582]]",0,0
43,"['0.7905', '0.7574', '0.7206', '0.6848']","['0.5691', '0.5153', '0.3187', '0.4238']","['0.6401', '0.4919', '0.1166', '0.6509']","['0.6025', '0.5033', '0.1707', '0.5133']","['0.6401', '0.4919', '0.1166', '0.6509']","['0.8401', '0.8459', '0.9184', '0.6964']","[[1524, 403, 162, 292], [549, 1180, 158, 512], [399, 327, 276, 1366], [206, 380, 270, 1596]]",2,2
44,"['0.7880', '0.7573', '0.7220', '0.6875']","['0.5636', '0.5149', '0.3219', '0.4264']","['0.6443', '0.4960', '0.1149', '0.6472']","['0.6012', '0.5053', '0.1693', '0.5141']","['0.6443', '0.4960', '0.1149', '0.6472']","['0.8354', '0.8443', '0.9208', '0.7013']","[[1534, 406, 154, 287], [563, 1190, 154, 492], [411, 329, 272, 1356], [214, 386, 265, 1587]]",3,3
45,"['0.7845', '0.7569', '0.7264', '0.6902']","['0.5545', '0.5140', '0.3325', '0.4285']","['0.6661', '0.4965', '0.1085', '0.6378']","['0.6052', '0.5051', '0.1636', '0.5126']","['0.6661', '0.4965', '0.1085', '0.6378']","['0.8235', '0.8436', '0.9287', '0.7082']","[[1586, 397, 125, 273], [591, 1191, 141, 476], [443, 331, 257, 1337], [240, 398, 250, 1564]]",3,3
46,"['0.7889', '0.7578', '0.7254', '0.6875']","['0.5650', '0.5157', '0.3286', '0.4268']","['0.6459', '0.5060', '0.1085', '0.6513']","['0.6028', '0.5108', '0.1632', '0.5157']","['0.6459', '0.5060', '0.1085', '0.6513']","['0.8360', '0.8417', '0.9274', '0.6999']","[[1538, 407, 150, 286], [560, 1214, 130, 495], [412, 335, 257, 1364], [212, 398, 245, 1597]]",3,3
47,"['0.7911', '0.7599', '0.7228', '0.6853']","['0.5714', '0.5200', '0.3237', '0.4250']","['0.6317', '0.5085', '0.1136', '0.6570']","['0.6000', '0.5142', '0.1682', '0.5161']","['0.6317', '0.5085', '0.1136', '0.6570']","['0.8437', '0.8436', '0.9223', '0.6950']","[[1504, 418, 165, 294], [534, 1220, 139, 506], [392, 327, 269, 1380], [202, 381, 258, 1611]]",3,3
48,"['0.7896', '0.7609', '0.7212', '0.6884']","['0.5675', '0.5225', '0.3274', '0.4275']","['0.6375', '0.5040', '0.1233', '0.6485']","['0.6005', '0.5130', '0.1791', '0.5153']","['0.6375', '0.5040', '0.1233', '0.6485']","['0.8397', '0.8465', '0.9170', '0.7022']","[[1518, 409, 169, 285], [548, 1209, 153, 489], [402, 319, 292, 1355], [207, 377, 278, 1590]]",2,2
49,"['0.7928', '0.7627', '0.7186', '0.6887']","['0.5753', '0.5259', '0.3253', '0.4278']","['0.6291', '0.5115', '0.1309', '0.6472']","['0.6010', '0.5186', '0.1867', '0.5151']","['0.6291', '0.5115', '0.1309', '0.6472']","['0.8468', '0.8464', '0.9111', '0.7030']","[[1498, 413, 183, 287], [529, 1227, 159, 484], [386, 320, 310, 1352], [191, 373, 301, 1587]]",0,0
50,"['0.7946', '0.7627', '0.7180', '0.6886']","['0.5816', '0.5256', '0.3272', '0.4284']","['0.6123', '0.5173', '0.1356', '0.6554']","['0.5966', '0.5214', '0.1917', '0.5181']","['0.6123', '0.5173', '0.1356', '0.6554']","['0.8547', '0.8445', '0.9087', '0.7001']","[[1458, 420, 216, 287], [514, 1241, 148, 496], [360, 326, 321, 1361], [175, 374, 296, 1607]]",3,3
51,"['0.7924', '0.7616', '0.7218', '0.6895']","['0.5739', '0.5234', '0.3300', '0.4291']","['0.6329', '0.5135', '0.1242', '0.6525']","['0.6020', '0.5184', '0.1804', '0.5177']","['0.6329', '0.5135', '0.1242', '0.6525']","['0.8450', '0.8442', '0.9175', '0.7022']","[[1507, 417, 173, 284], [539, 1232, 143, 485], [389, 325, 294, 1360], [191, 380, 281, 1600]]",0,0
52,"['0.7930', '0.7645', '0.7210', '0.6877']","['0.5754', '0.5298', '0.3315', '0.4272']","['0.6317', '0.5119', '0.1288', '0.6529']","['0.6022', '0.5207', '0.1855', '0.5165']","['0.6317', '0.5119', '0.1288', '0.6529']","['0.8462', '0.8486', '0.9150', '0.6996']","[[1504, 403, 182, 292], [536, 1228, 143, 492], [383, 317, 305, 1363], [191, 370, 290, 1601]]",1,1
53,"['0.7855', '0.7633', '0.7192', '0.6907']","['0.5565', '0.5277', '0.3202', '0.4270']","['0.6665', '0.5048', '0.1233', '0.6166']","['0.6065', '0.5160', '0.1780', '0.5046']","['0.6665', '0.5048', '0.1233', '0.6166']","['0.8248', '0.8495', '0.9143', '0.7161']","[[1587, 382, 149, 263], [590, 1211, 149, 449], [438, 321, 292, 1317], [237, 381, 322, 1512]]",0,0
54,"['0.7926', '0.7647', '0.7209', '0.6918']","['0.5741', '0.5299', '0.3319', '0.4315']","['0.6346', '0.5169', '0.1296', '0.6517']","['0.6028', '0.5233', '0.1865', '0.5193']","['0.6346', '0.5169', '0.1296', '0.6517']","['0.8447', '0.8472', '0.9145', '0.7055']","[[1511, 406, 186, 278], [544, 1240, 141, 474], [386, 322, 307, 1353], [191, 372, 291, 1598]]",3,3
55,"['0.7949', '0.7654', '0.7191', '0.6917']","['0.5804', '0.5308', '0.3320', '0.4308']","['0.6245', '0.5286', '0.1372', '0.6448']","['0.6017', '0.5297', '0.1942', '0.5165']","['0.6245', '0.5286', '0.1372', '0.6448']","['0.8511', '0.8443', '0.9096', '0.7078']","[[1487, 414, 198, 282], [521, 1268, 144, 466], [369, 333, 325, 1341], [185, 374, 312, 1581]]",3,3
56,"['0.7880', '0.7634', '0.7215', '0.6946']","['0.5628', '0.5266', '0.3344', '0.4317']","['0.6514', '0.5277', '0.1305', '0.6191']","['0.6039', '0.5272', '0.1877', '0.5087']","['0.6514', '0.5277', '0.1305', '0.6191']","['0.8331', '0.8420', '0.9150', '0.7205']","[[1551, 410, 162, 258], [567, 1266, 136, 430], [416, 333, 309, 1310], [222, 395, 317, 1518]]",1,1
57,"['0.7920', '0.7666', '0.7208', '0.6921']","['0.5728', '0.5333', '0.3293', '0.4315']","['0.6346', '0.5269', '0.1271', '0.6472']","['0.6021', '0.5301', '0.1834', '0.5178']","['0.6346', '0.5269', '0.1271', '0.6472']","['0.8439', '0.8464', '0.9152', '0.7075']","[[1511, 412, 179, 279], [535, 1264, 138, 462], [396, 321, 301, 1350], [196, 373, 296, 1587]]",3,3
58,"['0.7911', '0.7689', '0.7196', '0.6931']","['0.5704', '0.5383', '0.3298', '0.4319']","['0.6396', '0.5277', '0.1326', '0.6387']","['0.6030', '0.5329', '0.1892', '0.5153']","['0.6396', '0.5277', '0.1326', '0.6387']","['0.8411', '0.8492', '0.9118', '0.7118']","[[1523, 405, 179, 274], [540, 1266, 145, 448], [402, 314, 314, 1338], [205, 367, 314, 1566]]",3,3
59,"['0.7940', '0.7689', '0.7196', '0.6926']","['0.5779', '0.5378', '0.3302', '0.4321']","['0.6275', '0.5344', '0.1330', '0.6480']","['0.6017', '0.5361', '0.1896', '0.5185']","['0.6275', '0.5344', '0.1330', '0.6480']","['0.8489', '0.8470', '0.9116', '0.7079']","[[1494, 410, 199, 278], [524, 1282, 137, 456], [377, 322, 315, 1354], [190, 370, 303, 1589]]",3,3
60,"['0.7899', '0.7665', '0.7210', '0.6943']","['0.5664', '0.5326', '0.3351', '0.4312']","['0.6518', '0.5348', '0.1330', '0.6175']","['0.6061', '0.5337', '0.1904', '0.5078']","['0.6518', '0.5348', '0.1330', '0.6175']","['0.8354', '0.8436', '0.9136', '0.7206']","[[1552, 410, 158, 261], [553, 1283, 138, 425], [415, 327, 315, 1311], [220, 389, 329, 1514]]",0,0
61,"['0.7924', '0.7714', '0.7177', '0.6917']","['0.5728', '0.5436', '0.3300', '0.4292']","['0.6409', '0.5306', '0.1402', '0.6281']","['0.6050', '0.5370', '0.1968', '0.5099']","['0.6409', '0.5306', '0.1402', '0.6281']","['0.8424', '0.8515', '0.9068', '0.7135']","[[1526, 402, 180, 273], [532, 1273, 149, 445], [401, 305, 332, 1330], [205, 362, 345, 1540]]",3,3
62,"['0.7906', '0.7680', '0.7181', '0.6951']","['0.5688', '0.5354', '0.3289', '0.4319']","['0.6443', '0.5423', '0.1372', '0.6138']","['0.6042', '0.5388', '0.1937', '0.5070']","['0.6443', '0.5423', '0.1372', '0.6138']","['0.8389', '0.8432', '0.9083', '0.7230']","[[1534, 413, 175, 259], [540, 1301, 146, 412], [408, 326, 325, 1309], [215, 390, 342, 1505]]",3,3
63,"['0.7910', '0.7658', '0.7219', '0.6954']","['0.5691', '0.5305', '0.3366', '0.4323']","['0.6485', '0.5481', '0.1313', '0.6142']","['0.6062', '0.5392', '0.1889', '0.5074']","['0.6485', '0.5481', '0.1313', '0.6142']","['0.8381', '0.8384', '0.9152', '0.7233']","[[1544, 419, 163, 255], [543, 1315, 129, 412], [411, 335, 311, 1311], [215, 410, 321, 1506]]",1,1
64,"['0.7957', '0.7726', '0.7190', '0.6910']","['0.5827', '0.5455', '0.3323', '0.4306']","['0.6212', '0.5402', '0.1381', '0.6501']","['0.6013', '0.5428', '0.1951', '0.5180']","['0.6212', '0.5402', '0.1381', '0.6501']","['0.8533', '0.8500', '0.9092', '0.7051']","[[1479, 418, 206, 278], [501, 1296, 133, 469], [376, 304, 327, 1361], [182, 358, 318, 1594]]",3,3
