cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label,oracle_confusion_matrix,oracle_iterations,training_loss
0,"['0.0000', '0.0000', '0.1173', '0.7269', '0.0000', '0.0000', '0.0000', '0.0261', '0.0000', '0.0000']","['0.0000', '0.0000', '0.0667', '0.0943', '0.0000', '0.0000', '0.0000', '0.0728', '0.0000', '0.0000']","['0.0000', '0.0000', '0.1173', '0.7269', '0.0000', '0.0000', '0.0000', '0.0261', '0.0000', '0.0000']","['0.0000', '0.0000', '0.0851', '0.1669', '0.0000', '0.0000', '0.0000', '0.0384', '0.0000', '0.0000']","['0.0000', '0.0000', '0.1173', '0.7269', '0.0000', '0.0000', '0.0000', '0.0261', '0.0000', '0.0000']","['1.0000', '1.0000', '0.8178', '0.2061', '1.0000', '1.0000', '1.0000', '0.9614', '1.0000', '1.0000']","[[0, 0, 41, 633, 0, 0, 0, 16, 0, 0], [0, 0, 381, 404, 0, 0, 0, 2, 0, 0], [0, 0, 82, 607, 0, 0, 0, 10, 0, 0], [0, 0, 183, 519, 0, 0, 0, 12, 0, 0], [0, 0, 126, 516, 0, 0, 0, 40, 0, 0], [0, 0, 34, 591, 0, 0, 0, 6, 0, 0], [0, 0, 50, 539, 0, 0, 0, 98, 0, 0], [0, 0, 93, 617, 0, 0, 0, 19, 0, 0], [0, 0, 125, 532, 0, 0, 0, 25, 0, 0], [0, 0, 114, 548, 0, 0, 0, 33, 0, 0]]",-1,-1,-1,-1,2.2981479167938232
1,"['0.0000', '0.0000', '0.2890', '0.7731', '0.0000', '0.0000', '0.0000', '0.0754', '0.0000', '0.0000']","['0.0000', '0.0000', '0.1111', '0.1146', '0.0000', '0.0000', '0.0000', '0.1519', '0.0000', '0.0000']","['0.0000', '0.0000', '0.2890', '0.7731', '0.0000', '0.0000', '0.0000', '0.0754', '0.0000', '0.0000']","['0.0000', '0.0000', '0.1604', '0.1997', '0.0000', '0.0000', '0.0000', '0.1008', '0.0000', '0.0000']","['0.0000', '0.0000', '0.2890', '0.7731', '0.0000', '0.0000', '0.0000', '0.0754', '0.0000', '0.0000']","['1.0000', '1.0000', '0.7432', '0.3214', '1.0000', '1.0000', '1.0000', '0.9510', '1.0000', '1.0000']","[[0, 0, 50, 621, 0, 0, 0, 19, 0, 0], [0, 0, 455, 332, 0, 0, 0, 0, 0, 0], [0, 0, 202, 490, 0, 0, 0, 7, 0, 0], [0, 0, 158, 552, 0, 0, 0, 4, 0, 0], [0, 0, 240, 349, 0, 0, 0, 93, 0, 0], [0, 0, 78, 540, 0, 0, 0, 13, 0, 0], [0, 0, 123, 515, 0, 0, 0, 49, 0, 0], [0, 0, 267, 407, 0, 0, 0, 55, 0, 0], [0, 0, 125, 517, 0, 0, 0, 40, 0, 0], [0, 0, 121, 492, 0, 0, 0, 82, 0, 0]]","[0, 6, 9, 0, 6, 8, 9, 9, 4, 9, 9, 9, 4, 7, 6, 9]","[0, 6, 9, 0, 6, 8, 9, 9, 4, 9, 9, 9, 4, 7, 6, 9]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.302319049835205
2,"['0.0000', '0.0000', '0.0572', '0.9244', '0.0000', '0.0000', '0.0000', '0.6365', '0.0000', '0.0000']","['0.0000', '0.0000', '0.6250', '0.1364', '0.0000', '0.0000', '0.0000', '0.2215', '0.0000', '0.0000']","['0.0000', '0.0000', '0.0572', '0.9244', '0.0000', '0.0000', '0.0000', '0.6365', '0.0000', '0.0000']","['0.0000', '0.0000', '0.1048', '0.2378', '0.0000', '0.0000', '0.0000', '0.3286', '0.0000', '0.0000']","['0.0000', '0.0000', '0.0572', '0.9244', '0.0000', '0.0000', '0.0000', '0.6365', '0.0000', '0.0000']","['1.0000', '1.0000', '0.9962', '0.3351', '1.0000', '1.0000', '1.0000', '0.7397', '1.0000', '1.0000']","[[0, 0, 2, 613, 0, 0, 0, 75, 0, 0], [0, 0, 7, 693, 0, 0, 0, 87, 0, 0], [0, 0, 40, 604, 0, 0, 0, 55, 0, 0], [0, 0, 4, 660, 0, 0, 0, 50, 0, 0], [0, 0, 2, 234, 0, 0, 0, 446, 0, 0], [0, 0, 0, 551, 0, 0, 0, 80, 0, 0], [0, 0, 3, 400, 0, 0, 0, 284, 0, 0], [0, 0, 2, 263, 0, 0, 0, 464, 0, 0], [0, 0, 4, 526, 0, 0, 0, 152, 0, 0], [0, 0, 0, 293, 0, 0, 0, 402, 0, 0]]","[4, 6, 6, 4, 4, 4, 4, 4, 9, 4, 9, 6, 6, 6, 4, 4]","[4, 6, 6, 4, 4, 4, 4, 4, 9, 4, 9, 6, 6, 6, 4, 4]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.3011398315429688
3,"['0.0000', '0.0000', '0.0000', '0.8655', '0.0000', '0.0000', '0.0000', '0.7956', '0.0000', '0.0000']","['0.0000', '0.0000', '0.0000', '0.1603', '0.0000', '0.0000', '0.0000', '0.1847', '0.0000', '0.0000']","['0.0000', '0.0000', '0.0000', '0.8655', '0.0000', '0.0000', '0.0000', '0.7956', '0.0000', '0.0000']","['0.0000', '0.0000', '0.0000', '0.2705', '0.0000', '0.0000', '0.0000', '0.2998', '0.0000', '0.0000']","['0.0000', '0.0000', '0.0000', '0.8655', '0.0000', '0.0000', '0.0000', '0.7956', '0.0000', '0.0000']","['1.0000', '1.0000', '1.0000', '0.4846', '1.0000', '1.0000', '1.0000', '0.5915', '1.0000', '1.0000']","[[0, 0, 0, 568, 0, 0, 0, 122, 0, 0], [0, 0, 0, 463, 0, 0, 0, 324, 0, 0], [0, 0, 0, 500, 0, 0, 0, 199, 0, 0], [0, 0, 0, 618, 0, 0, 0, 96, 0, 0], [0, 0, 0, 120, 0, 0, 0, 562, 0, 0], [0, 0, 0, 503, 0, 0, 0, 128, 0, 0], [0, 0, 0, 201, 0, 0, 0, 486, 0, 0], [0, 0, 0, 149, 0, 0, 0, 580, 0, 0], [0, 0, 0, 493, 0, 0, 0, 189, 0, 0], [0, 0, 0, 241, 0, 0, 0, 454, 0, 0]]","[6, 0, 4, 2, 0, 2, 4, 6, 4, 4, 0, 3, 9, 9, 9, 4]","[6, 0, 4, 2, 0, 2, 4, 6, 4, 4, 0, 3, 9, 9, 9, 4]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.296631097793579
4,"['0.0000', '0.0000', '0.4034', '0.9272', '0.5616', '0.0000', '0.0000', '0.1989', '0.0000', '0.0000']","['0.0000', '0.0000', '0.4063', '0.1297', '0.4898', '0.0000', '0.0000', '0.3502', '0.0000', '0.0000']","['0.0000', '0.0000', '0.4034', '0.9272', '0.5616', '0.0000', '0.0000', '0.1989', '0.0000', '0.0000']","['0.0000', '0.0000', '0.4049', '0.2275', '0.5232', '0.0000', '0.0000', '0.2537', '0.0000', '0.0000']","['0.0000', '0.0000', '0.4034', '0.9272', '0.5616', '0.0000', '0.0000', '0.1989', '0.0000', '0.0000']","['1.0000', '1.0000', '0.9346', '0.2926', '0.9368', '1.0000', '1.0000', '0.9571', '1.0000', '1.0000']","[[0, 0, 30, 647, 3, 0, 0, 10, 0, 0], [0, 0, 176, 594, 0, 0, 0, 17, 0, 0], [0, 0, 282, 410, 4, 0, 0, 3, 0, 0], [0, 0, 52, 662, 0, 0, 0, 0, 0, 0], [0, 0, 23, 229, 383, 0, 0, 47, 0, 0], [0, 0, 6, 617, 3, 0, 0, 5, 0, 0], [0, 0, 49, 481, 18, 0, 0, 139, 0, 0], [0, 0, 54, 458, 72, 0, 0, 145, 0, 0], [0, 0, 14, 647, 3, 0, 0, 18, 0, 0], [0, 0, 8, 361, 296, 0, 0, 30, 0, 0]]","[7, 2, 0, 6, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2]","[7, 2, 0, 6, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2836952209472656
5,"['0.0000', '0.0000', '0.6323', '0.6961', '0.9663', '0.0000', '0.0000', '0.0069', '0.0000', '0.0000']","['0.0000', '0.0000', '0.3328', '0.2098', '0.2025', '0.0000', '0.0000', '0.1136', '0.0000', '0.0000']","['0.0000', '0.0000', '0.6323', '0.6961', '0.9663', '0.0000', '0.0000', '0.0069', '0.0000', '0.0000']","['0.0000', '0.0000', '0.4361', '0.3224', '0.3348', '0.0000', '0.0000', '0.0129', '0.0000', '0.0000']","['0.0000', '0.0000', '0.6323', '0.6961', '0.9663', '0.0000', '0.0000', '0.0069', '0.0000', '0.0000']","['1.0000', '1.0000', '0.8593', '0.7020', '0.5889', '1.0000', '1.0000', '0.9938', '1.0000', '1.0000']","[[0, 0, 87, 542, 60, 0, 0, 1, 0, 0], [0, 0, 425, 69, 291, 0, 0, 2, 0, 0], [0, 0, 442, 184, 70, 0, 0, 3, 0, 0], [0, 0, 145, 497, 72, 0, 0, 0, 0, 0], [0, 0, 20, 2, 659, 0, 0, 1, 0, 0], [0, 0, 41, 416, 173, 0, 0, 1, 0, 0], [0, 0, 61, 205, 392, 0, 0, 29, 0, 0], [0, 0, 65, 32, 627, 0, 0, 5, 0, 0], [0, 0, 36, 398, 247, 0, 0, 1, 0, 0], [0, 0, 6, 24, 664, 0, 0, 1, 0, 0]]","[6, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 9, 9, 4, 6, 6]","[6, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 9, 9, 4, 6, 6]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2817509174346924
6,"['0.0000', '0.0000', '0.4950', '0.2857', '0.9985', '0.0000', '0.0335', '0.0000', '0.0000', '0.0000']","['0.0000', '0.0000', '0.6990', '0.2494', '0.1204', '0.0000', '1.0000', '0.0000', '0.0000', '0.0000']","['0.0000', '0.0000', '0.4950', '0.2857', '0.9985', '0.0000', '0.0335', '0.0000', '0.0000', '0.0000']","['0.0000', '0.0000', '0.5796', '0.2663', '0.2148', '0.0000', '0.0648', '0.0000', '0.0000', '0.0000']","['0.0000', '0.0000', '0.4950', '0.2857', '0.9985', '0.0000', '0.0335', '0.0000', '0.0000', '0.0000']","['1.0000', '1.0000', '0.9763', '0.9023', '0.2118', '1.0000', '1.0000', '0.9997', '1.0000', '1.0000']","[[0, 0, 50, 308, 332, 0, 0, 0, 0, 0], [0, 0, 9, 1, 777, 0, 0, 0, 0, 0], [0, 0, 346, 118, 235, 0, 0, 0, 0, 0], [0, 0, 58, 204, 451, 0, 0, 1, 0, 0], [0, 0, 0, 1, 681, 0, 0, 0, 0, 0], [0, 0, 13, 144, 474, 0, 0, 0, 0, 0], [0, 0, 6, 7, 650, 0, 23, 1, 0, 0], [0, 0, 7, 0, 722, 0, 0, 0, 0, 0], [0, 0, 4, 35, 643, 0, 0, 0, 0, 0], [0, 0, 2, 0, 693, 0, 0, 0, 0, 0]]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.269413471221924
7,"['0.0000', '0.0000', '0.0901', '0.3571', '0.9927', '0.0000', '0.7918', '0.0000', '0.0000', '0.0000']","['0.0000', '0.0000', '0.9403', '0.2648', '0.1361', '0.0000', '0.5478', '0.0000', '0.0000', '0.0000']","['0.0000', '0.0000', '0.0901', '0.3571', '0.9927', '0.0000', '0.7918', '0.0000', '0.0000', '0.0000']","['0.0000', '0.0000', '0.1645', '0.3041', '0.2394', '0.0000', '0.6476', '0.0000', '0.0000', '0.0000']","['0.0000', '0.0000', '0.0901', '0.3571', '0.9927', '0.0000', '0.7918', '0.0000', '0.0000', '0.0000']","['1.0000', '1.0000', '0.9994', '0.8873', '0.3196', '1.0000', '0.9288', '1.0000', '1.0000', '1.0000']","[[0, 0, 2, 301, 248, 0, 139, 0, 0, 0], [0, 0, 0, 2, 762, 0, 23, 0, 0, 0], [0, 0, 63, 246, 262, 0, 128, 0, 0, 0], [0, 0, 2, 255, 431, 0, 26, 0, 0, 0], [0, 0, 0, 1, 677, 0, 4, 0, 0, 0], [0, 0, 0, 110, 412, 0, 109, 0, 0, 0], [0, 0, 0, 1, 142, 0, 544, 0, 0, 0], [0, 0, 0, 0, 728, 0, 1, 0, 0, 0], [0, 0, 0, 47, 616, 0, 19, 0, 0, 0], [0, 0, 0, 0, 695, 0, 0, 0, 0, 0]]","[0, 0, 0, 6, 6, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 6, 6, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 0]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.3178904056549072
8,"['0.0000', '0.0000', '0.3591', '0.0042', '0.1935', '0.0000', '0.9956', '0.0000', '0.0000', '0.0000']","['0.0000', '0.0000', '0.3904', '1.0000', '0.2888', '0.0000', '0.1161', '0.0000', '0.0000', '0.0000']","['0.0000', '0.0000', '0.3591', '0.0042', '0.1935', '0.0000', '0.9956', '0.0000', '0.0000', '0.0000']","['0.0000', '0.0000', '0.3741', '0.0084', '0.2318', '0.0000', '0.2079', '0.0000', '0.0000', '0.0000']","['0.0000', '0.0000', '0.3591', '0.0042', '0.1935', '0.0000', '0.9956', '0.0000', '0.0000', '0.0000']","['1.0000', '1.0000', '0.9377', '1.0000', '0.9485', '1.0000', '0.1744', '1.0000', '1.0000', '1.0000']","[[0, 0, 42, 0, 0, 0, 648, 0, 0, 0], [0, 0, 184, 0, 3, 0, 600, 0, 0, 0], [0, 0, 251, 0, 2, 0, 446, 0, 0, 0], [0, 0, 103, 3, 9, 0, 599, 0, 0, 0], [0, 0, 4, 0, 132, 0, 546, 0, 0, 0], [0, 0, 10, 0, 1, 0, 620, 0, 0, 0], [0, 0, 1, 0, 2, 0, 684, 0, 0, 0], [0, 0, 30, 0, 203, 0, 496, 0, 0, 0], [0, 0, 15, 0, 5, 0, 662, 0, 0, 0], [0, 0, 3, 0, 100, 0, 592, 0, 0, 0]]","[2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2559036016464233
9,"['0.0000', '0.0000', '0.0844', '0.0000', '0.0000', '0.0000', '0.9985', '0.0000', '0.0000', '0.0000']","['0.0000', '0.0000', '0.5960', '0.0000', '0.0000', '0.0000', '0.0995', '0.0000', '0.0000', '0.0000']","['0.0000', '0.0000', '0.0844', '0.0000', '0.0000', '0.0000', '0.9985', '0.0000', '0.0000', '0.0000']","['0.0000', '0.0000', '0.1479', '0.0000', '0.0000', '0.0000', '0.1809', '0.0000', '0.0000', '0.0000']","['0.0000', '0.0000', '0.0844', '0.0000', '0.0000', '0.0000', '0.9985', '0.0000', '0.0000', '0.0000']","['1.0000', '1.0000', '0.9936', '1.0000', '1.0000', '1.0000', '0.0155', '1.0000', '1.0000', '1.0000']","[[0, 0, 5, 0, 0, 0, 685, 0, 0, 0], [0, 0, 18, 0, 0, 0, 769, 0, 0, 0], [0, 0, 59, 0, 0, 0, 640, 0, 0, 0], [0, 0, 11, 0, 0, 0, 703, 0, 0, 0], [0, 0, 0, 0, 0, 0, 682, 0, 0, 0], [0, 0, 1, 0, 0, 0, 630, 0, 0, 0], [0, 0, 1, 0, 0, 0, 686, 0, 0, 0], [0, 0, 4, 0, 0, 0, 725, 0, 0, 0], [0, 0, 0, 0, 0, 0, 682, 0, 0, 0], [0, 0, 0, 0, 0, 0, 695, 0, 0, 0]]","[2, 3, 0, 3, 3, 3, 3, 0, 3, 3, 3, 2, 2, 3, 3, 3]","[2, 3, 0, 3, 3, 3, 3, 0, 3, 3, 3, 2, 2, 3, 3, 3]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.213807702064514
