cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label,oracle_confusion_matrix,oracle_iterations,training_loss
0,"['0.1417', '0.9967', '0.0017', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000']","['0.4087', '0.1044', '0.0769', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000']","['0.1417', '0.9967', '0.0017', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000']","['0.2104', '0.1890', '0.0033', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000']","['0.1417', '0.9967', '0.0017', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000']","['0.9772', '0.0498', '0.9978', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.9907']","[[85, 513, 0, 0, 0, 0, 0, 0, 0, 2], [1, 598, 1, 0, 0, 0, 0, 0, 0, 0], [29, 560, 1, 0, 0, 0, 0, 0, 0, 10], [19, 574, 1, 0, 0, 0, 0, 0, 0, 6], [13, 568, 5, 0, 0, 0, 0, 0, 0, 14], [21, 568, 2, 0, 0, 0, 0, 0, 0, 9], [3, 585, 3, 0, 0, 0, 0, 0, 0, 9], [13, 587, 0, 0, 0, 0, 0, 0, 0, 0], [20, 580, 0, 0, 0, 0, 0, 0, 0, 0], [4, 596, 0, 0, 0, 0, 0, 0, 0, 0]]",-1,-1,-1,-1,2.253704786300659
1,"['0.4717', '0.3583', '0.0583', '0.0417', '0.0017', '0.2817', '0.0033', '0.2867', '0.4350', '0.0650']","['0.2110', '0.1589', '0.2059', '0.2358', '0.0270', '0.1426', '0.4000', '0.3018', '0.2476', '0.2179']","['0.4717', '0.3583', '0.0583', '0.0417', '0.0017', '0.2817', '0.0033', '0.2867', '0.4350', '0.0650']","['0.2916', '0.2202', '0.0909', '0.0708', '0.0031', '0.1894', '0.0066', '0.2940', '0.3156', '0.1001']","['0.4717', '0.3583', '0.0583', '0.0417', '0.0017', '0.2817', '0.0033', '0.2867', '0.4350', '0.0650']","['0.8041', '0.7893', '0.9750', '0.9850', '0.9933', '0.8119', '0.9994', '0.9263', '0.8531', '0.9741']","[[283, 73, 1, 2, 2, 35, 1, 22, 166, 15], [61, 215, 2, 1, 2, 88, 1, 15, 206, 9], [182, 124, 35, 9, 2, 113, 0, 60, 55, 20], [110, 104, 19, 25, 10, 195, 0, 66, 50, 21], [119, 117, 47, 19, 1, 173, 0, 77, 35, 12], [124, 102, 16, 28, 11, 169, 1, 81, 49, 19], [62, 185, 37, 13, 1, 196, 2, 46, 42, 16], [127, 106, 11, 6, 3, 116, 0, 172, 41, 18], [170, 78, 2, 3, 2, 67, 0, 7, 261, 10], [103, 249, 0, 0, 3, 33, 0, 24, 149, 39]]","[3, 5, 4, 4, 4, 4, 5, 2, 7, 6, 4, 2, 4, 4, 5, 4]","[3, 5, 4, 4, 4, 4, 5, 2, 7, 6, 4, 2, 4, 4, 5, 4]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.151228427886963
2,"['0.3867', '0.3100', '0.0367', '0.3733', '0.0200', '0.0550', '0.1917', '0.4050', '0.4100', '0.0800']","['0.2516', '0.2022', '0.2056', '0.1761', '0.1644', '0.0938', '0.2889', '0.2580', '0.3018', '0.2412']","['0.3867', '0.3100', '0.0367', '0.3733', '0.0200', '0.0550', '0.1917', '0.4050', '0.4100', '0.0800']","['0.3049', '0.2447', '0.0622', '0.2393', '0.0357', '0.0693', '0.2305', '0.3152', '0.3477', '0.1202']","['0.3867', '0.3100', '0.0367', '0.3733', '0.0200', '0.0550', '0.1917', '0.4050', '0.4100', '0.0800']","['0.8722', '0.8641', '0.9843', '0.8059', '0.9887', '0.9409', '0.9476', '0.8706', '0.8946', '0.9720']","[[232, 75, 6, 32, 2, 15, 13, 28, 179, 18], [52, 186, 8, 53, 6, 57, 39, 30, 150, 19], [104, 75, 22, 137, 8, 33, 45, 113, 43, 20], [70, 56, 5, 224, 9, 48, 42, 113, 17, 16], [65, 61, 20, 174, 12, 42, 50, 146, 17, 13], [72, 44, 12, 244, 10, 33, 36, 123, 10, 16], [34, 71, 17, 185, 11, 57, 115, 95, 6, 9], [60, 49, 7, 131, 4, 27, 30, 243, 22, 27], [152, 84, 3, 58, 2, 27, 5, 10, 246, 13], [81, 219, 7, 34, 9, 13, 23, 41, 125, 48]]","[4, 5, 3, 3, 5, 4, 3, 0, 3, 2, 2, 3, 4, 6, 3, 6]","[4, 5, 3, 3, 5, 4, 3, 0, 3, 2, 2, 3, 4, 6, 3, 6]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.0209732055664062
3,"['0.4083', '0.3150', '0.0100', '0.2383', '0.1267', '0.1733', '0.3150', '0.2800', '0.3767', '0.1017']","['0.2756', '0.2121', '0.1875', '0.1930', '0.1529', '0.1438', '0.2610', '0.2852', '0.3280', '0.2711']","['0.4083', '0.3150', '0.0100', '0.2383', '0.1267', '0.1733', '0.3150', '0.2800', '0.3767', '0.1017']","['0.3291', '0.2535', '0.0190', '0.2133', '0.1386', '0.1572', '0.2855', '0.2826', '0.3507', '0.1479']","['0.4083', '0.3150', '0.0100', '0.2383', '0.1267', '0.1733', '0.3150', '0.2800', '0.3767', '0.1017']","['0.8807', '0.8700', '0.9952', '0.8893', '0.9220', '0.8854', '0.9009', '0.9220', '0.9143', '0.9696']","[[245, 74, 3, 14, 11, 32, 21, 21, 159, 20], [52, 189, 0, 12, 42, 107, 54, 15, 113, 16], [105, 62, 6, 82, 65, 55, 86, 79, 35, 25], [75, 50, 4, 143, 58, 99, 86, 60, 11, 14], [58, 48, 2, 116, 76, 67, 111, 100, 14, 8], [60, 40, 4, 156, 64, 104, 72, 76, 7, 17], [30, 51, 5, 101, 69, 93, 189, 45, 5, 12], [54, 68, 3, 78, 62, 72, 50, 168, 17, 28], [138, 84, 0, 33, 15, 61, 15, 4, 226, 24], [72, 225, 5, 6, 35, 33, 40, 21, 102, 61]]","[2, 4, 4, 5, 9, 1, 7, 3, 4, 5, 3, 4, 0, 3, 1, 3]","[2, 4, 4, 5, 9, 1, 7, 3, 4, 5, 3, 4, 0, 3, 1, 3]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,1.7731006145477295
4,"['0.3467', '0.2767', '0.1100', '0.1433', '0.1367', '0.2283', '0.1917', '0.3100', '0.3583', '0.3267']","['0.3072', '0.2423', '0.1315', '0.2240', '0.1670', '0.1655', '0.2868', '0.2711', '0.3496', '0.2681']","['0.3467', '0.2767', '0.1100', '0.1433', '0.1367', '0.2283', '0.1917', '0.3100', '0.3583', '0.3267']","['0.3258', '0.2584', '0.1198', '0.1748', '0.1503', '0.1919', '0.2298', '0.2893', '0.3539', '0.2945']","['0.3467', '0.2767', '0.1100', '0.1433', '0.1367', '0.2283', '0.1917', '0.3100', '0.3583', '0.3267']","['0.9131', '0.9039', '0.9193', '0.9448', '0.9243', '0.8720', '0.9470', '0.9074', '0.9259', '0.9009']","[[208, 63, 28, 5, 16, 26, 5, 28, 152, 69], [35, 166, 44, 2, 12, 107, 18, 20, 88, 108], [73, 41, 66, 41, 78, 69, 44, 96, 33, 59], [63, 42, 57, 86, 61, 118, 53, 69, 12, 39], [42, 26, 61, 56, 82, 80, 85, 116, 8, 44], [42, 32, 47, 75, 91, 137, 43, 89, 6, 38], [30, 44, 81, 67, 63, 107, 115, 52, 5, 36], [40, 40, 61, 32, 59, 85, 18, 186, 14, 65], [94, 88, 14, 16, 15, 66, 6, 9, 215, 77], [50, 143, 43, 4, 14, 33, 14, 21, 82, 196]]","[2, 2, 4, 9, 4, 3, 2, 6, 9, 3, 4, 2, 5, 2, 8, 5]","[2, 2, 4, 9, 4, 3, 2, 6, 9, 3, 4, 2, 5, 2, 8, 5]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,1.733573317527771
5,"['0.3117', '0.0867', '0.0800', '0.1383', '0.2233', '0.2050', '0.1367', '0.3200', '0.4567', '0.4533']","['0.3016', '0.2342', '0.1294', '0.1995', '0.1630', '0.1760', '0.3166', '0.2771', '0.3205', '0.2608']","['0.3117', '0.0867', '0.0800', '0.1383', '0.2233', '0.2050', '0.1367', '0.3200', '0.4567', '0.4533']","['0.3066', '0.1265', '0.0989', '0.1634', '0.1885', '0.1894', '0.1909', '0.2970', '0.3766', '0.3311']","['0.3117', '0.0867', '0.0800', '0.1383', '0.2233', '0.2050', '0.1367', '0.3200', '0.4567', '0.4533']","['0.9198', '0.9685', '0.9402', '0.9383', '0.8726', '0.8933', '0.9672', '0.9072', '0.8924', '0.8572']","[[187, 25, 16, 4, 34, 25, 4, 23, 192, 90], [40, 52, 41, 4, 42, 77, 14, 22, 139, 169], [62, 16, 48, 45, 134, 55, 32, 87, 49, 72], [60, 18, 39, 83, 98, 113, 34, 69, 18, 68], [39, 7, 43, 69, 134, 67, 44, 130, 15, 52], [39, 13, 38, 88, 118, 123, 23, 92, 9, 57], [29, 5, 62, 82, 123, 92, 82, 52, 9, 64], [46, 11, 41, 27, 73, 76, 12, 192, 24, 98], [75, 38, 11, 12, 25, 50, 5, 9, 274, 101], [43, 37, 32, 2, 41, 21, 9, 17, 126, 272]]","[2, 2, 2, 4, 0, 2, 8, 9, 6, 4, 2, 9, 5, 9, 4, 0]","[2, 2, 2, 4, 0, 2, 8, 9, 6, 4, 2, 9, 5, 9, 4, 0]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,1.637420415878296
6,"['0.3183', '0.1033', '0.0833', '0.2350', '0.3150', '0.0983', '0.1683', '0.2483', '0.4767', '0.3283']","['0.2957', '0.3039', '0.1048', '0.1924', '0.1598', '0.1634', '0.3098', '0.3035', '0.3192', '0.2884']","['0.3183', '0.1033', '0.0833', '0.2350', '0.3150', '0.0983', '0.1683', '0.2483', '0.4767', '0.3283']","['0.3066', '0.1542', '0.0929', '0.2116', '0.2120', '0.1228', '0.2181', '0.2731', '0.3824', '0.3071']","['0.3183', '0.1033', '0.0833', '0.2350', '0.3150', '0.0983', '0.1683', '0.2483', '0.4767', '0.3283']","['0.9157', '0.9737', '0.9209', '0.8904', '0.8159', '0.9441', '0.9583', '0.9367', '0.8870', '0.9100']","[[191, 20, 34, 7, 61, 15, 8, 20, 190, 54], [47, 62, 48, 21, 86, 47, 19, 12, 155, 103], [59, 10, 50, 85, 160, 27, 40, 73, 47, 49], [59, 12, 49, 141, 134, 55, 41, 44, 18, 47], [42, 3, 46, 97, 189, 39, 50, 88, 15, 31], [39, 9, 46, 159, 154, 59, 25, 59, 11, 39], [31, 5, 66, 127, 161, 31, 101, 32, 9, 37], [46, 9, 60, 51, 128, 49, 24, 149, 24, 60], [82, 28, 20, 29, 50, 30, 6, 3, 286, 66], [50, 46, 58, 16, 60, 9, 12, 11, 141, 197]]","[4, 5, 4, 0, 3, 6, 6, 2, 2, 8, 2, 8, 4, 6, 2, 2]","[4, 5, 4, 0, 3, 6, 6, 2, 2, 8, 2, 8, 4, 6, 2, 2]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,1.5487557649612427
7,"['0.2950', '0.1900', '0.1000', '0.2667', '0.2583', '0.1117', '0.1317', '0.3400', '0.3667', '0.3383']","['0.3155', '0.2639', '0.1263', '0.1923', '0.1685', '0.1444', '0.3511', '0.2927', '0.3537', '0.2630']","['0.2950', '0.1900', '0.1000', '0.2667', '0.2583', '0.1117', '0.1317', '0.3400', '0.3667', '0.3383']","['0.3049', '0.2209', '0.1116', '0.2235', '0.2039', '0.1259', '0.1915', '0.3146', '0.3601', '0.2959']","['0.2950', '0.1900', '0.1000', '0.2667', '0.2583', '0.1117', '0.1317', '0.3400', '0.3667', '0.3383']","['0.9289', '0.9411', '0.9231', '0.8756', '0.8583', '0.9265', '0.9730', '0.9087', '0.9256', '0.8946']","[[177, 48, 37, 10, 58, 17, 5, 29, 149, 70], [48, 114, 57, 25, 59, 57, 10, 19, 97, 114], [46, 24, 60, 97, 140, 39, 24, 90, 31, 49], [47, 23, 45, 160, 103, 69, 29, 62, 7, 55], [35, 6, 47, 101, 155, 56, 30, 127, 5, 38], [29, 12, 42, 170, 118, 67, 20, 92, 3, 47], [20, 9, 57, 157, 134, 42, 79, 49, 6, 47], [38, 19, 56, 64, 70, 53, 15, 204, 17, 64], [78, 69, 20, 30, 40, 46, 4, 8, 220, 85], [43, 108, 54, 18, 43, 18, 9, 17, 87, 203]]","[0, 2, 6, 8, 2, 2, 6, 9, 2, 5, 4, 7, 1, 2, 5, 9]","[0, 2, 6, 8, 2, 2, 6, 9, 2, 5, 4, 7, 1, 2, 5, 9]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,1.4204524755477905
8,"['0.2817', '0.1483', '0.1333', '0.2950', '0.3317', '0.1100', '0.1200', '0.3000', '0.4850', '0.2250']","['0.3101', '0.2825', '0.1347', '0.1832', '0.1761', '0.1886', '0.3090', '0.3455', '0.3194', '0.3103']","['0.2817', '0.1483', '0.1333', '0.2950', '0.3317', '0.1100', '0.1200', '0.3000', '0.4850', '0.2250']","['0.2952', '0.1945', '0.1340', '0.2261', '0.2301', '0.1389', '0.1729', '0.3211', '0.3852', '0.2609']","['0.2817', '0.1483', '0.1333', '0.2950', '0.3317', '0.1100', '0.1200', '0.3000', '0.4850', '0.2250']","['0.9304', '0.9581', '0.9048', '0.8539', '0.8276', '0.9474', '0.9702', '0.9369', '0.8852', '0.9444']","[[169, 34, 50, 15, 55, 12, 3, 24, 202, 36], [48, 89, 69, 29, 84, 38, 16, 12, 146, 69], [44, 16, 80, 111, 155, 32, 20, 69, 48, 25], [45, 15, 58, 177, 120, 59, 30, 46, 22, 28], [38, 5, 53, 122, 199, 32, 33, 86, 12, 20], [25, 15, 49, 196, 134, 66, 22, 61, 12, 20], [21, 10, 61, 191, 174, 15, 72, 30, 9, 17], [38, 13, 64, 73, 107, 43, 21, 180, 27, 34], [75, 45, 26, 28, 35, 40, 6, 3, 291, 51], [42, 73, 84, 24, 67, 13, 10, 10, 142, 135]]","[4, 0, 5, 6, 7, 4, 2, 2, 8, 4, 4, 9, 2, 7, 2, 9]","[4, 0, 5, 6, 7, 4, 2, 2, 8, 4, 4, 9, 2, 7, 2, 9]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,1.36101496219635
9,"['0.3417', '0.2700', '0.0717', '0.2100', '0.1817', '0.1167', '0.3867', '0.1617', '0.4533', '0.2350']","['0.2733', '0.2341', '0.1552', '0.1719', '0.1601', '0.2318', '0.2795', '0.3527', '0.3238', '0.2274']","['0.3417', '0.2700', '0.0717', '0.2100', '0.1817', '0.1167', '0.3867', '0.1617', '0.4533', '0.2350']","['0.3037', '0.2508', '0.0981', '0.1890', '0.1702', '0.1552', '0.3245', '0.2217', '0.3778', '0.2311']","['0.3417', '0.2700', '0.0717', '0.2100', '0.1817', '0.1167', '0.3867', '0.1617', '0.4533', '0.2350']","['0.8991', '0.9019', '0.9567', '0.8876', '0.8941', '0.9570', '0.8893', '0.9670', '0.8948', '0.9113']","[[205, 54, 20, 12, 41, 10, 12, 8, 179, 59], [57, 162, 12, 12, 55, 28, 41, 4, 142, 87], [70, 45, 43, 84, 106, 22, 99, 39, 42, 50], [69, 50, 24, 126, 71, 45, 128, 25, 16, 46], [58, 26, 47, 118, 109, 27, 115, 49, 14, 37], [57, 33, 32, 158, 78, 70, 93, 30, 9, 40], [29, 40, 22, 123, 78, 13, 232, 16, 9, 38], [75, 41, 46, 74, 74, 47, 60, 97, 21, 65], [89, 77, 9, 17, 30, 27, 21, 1, 272, 57], [41, 164, 22, 9, 39, 13, 29, 6, 136, 141]]","[4, 1, 7, 3, 0, 5, 5, 6, 4, 3, 3, 6, 9, 8, 6, 2]","[4, 1, 7, 3, 0, 5, 5, 6, 4, 3, 3, 6, 9, 8, 6, 2]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,1.541182816028595
