cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label,oracle_confusion_matrix,oracle_iterations,training_loss
0,"['0.0000', '0.0000', '0.8867', '0.1033', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000']","['0.0000', '0.0000', '0.0989', '0.0995', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000']","['0.0000', '0.0000', '0.8867', '0.1033', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000']","['0.0000', '0.0000', '0.1780', '0.1014', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000']","['0.0000', '0.0000', '0.8867', '0.1033', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000']","['1.0000', '1.0000', '0.1028', '0.8961', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000']","[[0, 0, 513, 87, 0, 0, 0, 0, 0, 0], [0, 0, 561, 39, 0, 0, 0, 0, 0, 0], [0, 0, 532, 68, 0, 0, 0, 0, 0, 0], [0, 0, 538, 62, 0, 0, 0, 0, 0, 0], [0, 0, 549, 51, 0, 0, 0, 0, 0, 0], [0, 0, 487, 113, 0, 0, 0, 0, 0, 0], [0, 0, 561, 39, 0, 0, 0, 0, 0, 0], [0, 0, 550, 50, 0, 0, 0, 0, 0, 0], [0, 0, 517, 83, 0, 0, 0, 0, 0, 0], [0, 0, 569, 31, 0, 0, 0, 0, 0, 0]]",-1,-1,-1,-1,2.2979578971862793
1,"['0.0000', '0.0000', '0.7733', '0.2200', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000']","['0.0000', '0.0000', '0.1002', '0.0966', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000']","['0.0000', '0.0000', '0.7733', '0.2200', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000']","['0.0000', '0.0000', '0.1773', '0.1342', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000']","['0.0000', '0.0000', '0.7733', '0.2200', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000']","['1.0000', '1.0000', '0.2280', '0.7713', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000']","[[0, 0, 405, 195, 0, 0, 0, 0, 0, 0], [0, 0, 502, 98, 0, 0, 0, 0, 0, 0], [0, 0, 464, 136, 0, 0, 0, 0, 0, 0], [0, 0, 468, 132, 0, 0, 0, 0, 0, 0], [0, 0, 508, 92, 0, 0, 0, 0, 0, 0], [0, 0, 414, 186, 0, 0, 0, 0, 0, 0], [0, 0, 516, 84, 0, 0, 0, 0, 0, 0], [0, 0, 484, 116, 0, 0, 0, 0, 0, 0], [0, 0, 396, 204, 0, 0, 0, 0, 0, 0], [0, 0, 476, 124, 0, 0, 0, 0, 0, 0]]","[0, 8, 8, 3, 1, 0, 0, 5, 2, 3, 9, 0, 2, 0, 7, 4]","[0, 8, 8, 3, 1, 0, 0, 5, 2, 3, 9, 0, 2, 0, 7, 4]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.3041107654571533
2,"['0.0000', '0.0000', '0.7767', '0.2150', '0.0000', '0.0000', '0.0000', '0.0000', '0.0267', '0.0000']","['0.0000', '0.0000', '0.1008', '0.0975', '0.0000', '0.0000', '0.0000', '0.0000', '0.2963', '0.0000']","['0.0000', '0.0000', '0.7767', '0.2150', '0.0000', '0.0000', '0.0000', '0.0000', '0.0267', '0.0000']","['0.0000', '0.0000', '0.1784', '0.1342', '0.0000', '0.0000', '0.0000', '0.0000', '0.0489', '0.0000']","['0.0000', '0.0000', '0.7767', '0.2150', '0.0000', '0.0000', '0.0000', '0.0000', '0.0267', '0.0000']","['1.0000', '1.0000', '0.2302', '0.7789', '1.0000', '1.0000', '1.0000', '1.0000', '0.9930', '1.0000']","[[0, 0, 384, 202, 0, 0, 0, 0, 14, 0], [0, 0, 509, 86, 0, 0, 0, 0, 5, 0], [0, 0, 466, 133, 0, 0, 0, 0, 1, 0], [0, 0, 471, 129, 0, 0, 0, 0, 0, 0], [0, 0, 511, 88, 0, 0, 0, 0, 1, 0], [0, 0, 414, 185, 0, 0, 0, 0, 1, 0], [0, 0, 519, 80, 0, 0, 0, 0, 1, 0], [0, 0, 476, 123, 0, 0, 0, 0, 1, 0], [0, 0, 385, 199, 0, 0, 0, 0, 16, 0], [0, 0, 488, 98, 0, 0, 0, 0, 14, 0]]","[2, 8, 8, 2, 8, 4, 7, 0, 1, 9, 0, 9, 7, 1, 1, 8]","[2, 8, 8, 2, 8, 4, 7, 0, 1, 9, 0, 9, 7, 1, 1, 8]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2969517707824707
3,"['0.0000', '0.0000', '0.7150', '0.1033', '0.0000', '0.0000', '0.0000', '0.0000', '0.4967', '0.0000']","['0.0000', '0.0000', '0.1108', '0.1084', '0.0000', '0.0000', '0.0000', '0.0000', '0.1916', '0.0000']","['0.0000', '0.0000', '0.7150', '0.1033', '0.0000', '0.0000', '0.0000', '0.0000', '0.4967', '0.0000']","['0.0000', '0.0000', '0.1918', '0.1058', '0.0000', '0.0000', '0.0000', '0.0000', '0.2766', '0.0000']","['0.0000', '0.0000', '0.7150', '0.1033', '0.0000', '0.0000', '0.0000', '0.0000', '0.4967', '0.0000']","['1.0000', '1.0000', '0.3622', '0.9056', '1.0000', '1.0000', '1.0000', '1.0000', '0.7672', '1.0000']","[[0, 0, 273, 74, 0, 0, 0, 0, 253, 0], [0, 0, 377, 24, 0, 0, 0, 0, 199, 0], [0, 0, 429, 81, 0, 0, 0, 0, 90, 0], [0, 0, 433, 62, 0, 0, 0, 0, 105, 0], [0, 0, 488, 54, 0, 0, 0, 0, 58, 0], [0, 0, 372, 100, 0, 0, 0, 0, 128, 0], [0, 0, 487, 45, 0, 0, 0, 0, 68, 0], [0, 0, 404, 69, 0, 0, 0, 0, 127, 0], [0, 0, 262, 40, 0, 0, 0, 0, 298, 0], [0, 0, 348, 23, 0, 0, 0, 0, 229, 0]]","[1, 8, 9, 1, 2, 0, 8, 0, 8, 0, 9, 0, 2, 8, 0, 0]","[1, 8, 9, 1, 2, 0, 8, 0, 8, 0, 9, 0, 2, 8, 0, 0]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2939507961273193
4,"['0.0000', '0.0000', '0.5367', '0.0217', '0.0000', '0.0000', '0.0000', '0.0000', '0.8367', '0.0000']","['0.0000', '0.0000', '0.1287', '0.1250', '0.0000', '0.0000', '0.0000', '0.0000', '0.1479', '0.0000']","['0.0000', '0.0000', '0.5367', '0.0217', '0.0000', '0.0000', '0.0000', '0.0000', '0.8367', '0.0000']","['0.0000', '0.0000', '0.2077', '0.0369', '0.0000', '0.0000', '0.0000', '0.0000', '0.2513', '0.0000']","['0.0000', '0.0000', '0.5367', '0.0217', '0.0000', '0.0000', '0.0000', '0.0000', '0.8367', '0.0000']","['1.0000', '1.0000', '0.5965', '0.9831', '1.0000', '1.0000', '1.0000', '1.0000', '0.4643', '1.0000']","[[0, 0, 123, 6, 0, 0, 0, 0, 471, 0], [0, 0, 162, 3, 0, 0, 0, 0, 435, 0], [0, 0, 322, 12, 0, 0, 0, 0, 266, 0], [0, 0, 301, 13, 0, 0, 0, 0, 286, 0], [0, 0, 379, 13, 0, 0, 0, 0, 208, 0], [0, 0, 265, 16, 0, 0, 0, 0, 319, 0], [0, 0, 385, 11, 0, 0, 0, 0, 204, 0], [0, 0, 299, 27, 0, 0, 0, 0, 274, 0], [0, 0, 97, 1, 0, 0, 0, 0, 502, 0], [0, 0, 168, 2, 0, 0, 0, 0, 430, 0]]","[2, 2, 0, 5, 9, 8, 9, 3, 8, 1, 7, 9, 2, 7, 0, 1]","[2, 2, 0, 5, 9, 8, 9, 3, 8, 1, 7, 9, 2, 7, 0, 1]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2743194103240967
5,"['0.0050', '0.0000', '0.1967', '0.0033', '0.0000', '0.0000', '0.0000', '0.0000', '0.9683', '0.0000']","['0.7500', '0.0000', '0.1332', '0.0500', '0.0000', '0.0000', '0.0000', '0.0000', '0.1146', '0.0000']","['0.0050', '0.0000', '0.1967', '0.0033', '0.0000', '0.0000', '0.0000', '0.0000', '0.9683', '0.0000']","['0.0099', '0.0000', '0.1588', '0.0063', '0.0000', '0.0000', '0.0000', '0.0000', '0.2049', '0.0000']","['0.0050', '0.0000', '0.1967', '0.0033', '0.0000', '0.0000', '0.0000', '0.0000', '0.9683', '0.0000']","['0.9998', '1.0000', '0.8578', '0.9930', '1.0000', '1.0000', '1.0000', '1.0000', '0.1687', '1.0000']","[[3, 0, 27, 2, 0, 0, 0, 0, 568, 0], [0, 0, 38, 1, 0, 0, 0, 0, 561, 0], [0, 0, 118, 8, 0, 0, 0, 0, 474, 0], [0, 0, 120, 2, 0, 0, 0, 0, 478, 0], [0, 0, 175, 6, 0, 0, 0, 0, 419, 0], [0, 0, 89, 3, 0, 0, 0, 0, 508, 0], [0, 0, 163, 4, 0, 0, 0, 0, 433, 0], [0, 0, 123, 10, 0, 0, 0, 0, 467, 0], [1, 0, 17, 1, 0, 0, 0, 0, 581, 0], [0, 0, 16, 3, 0, 0, 0, 0, 581, 0]]","[1, 9, 3, 6, 0, 0, 1, 3, 1, 0, 0, 0, 5, 9, 0, 3]","[1, 9, 3, 6, 0, 0, 1, 3, 1, 0, 0, 0, 5, 9, 0, 3]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.281803846359253
6,"['0.0933', '0.0000', '0.0500', '0.0033', '0.0000', '0.0000', '0.0000', '0.0000', '0.9633', '0.0017']","['0.4628', '0.0000', '0.1163', '0.0833', '0.0000', '0.0000', '0.0000', '0.0000', '0.1033', '1.0000']","['0.0933', '0.0000', '0.0500', '0.0033', '0.0000', '0.0000', '0.0000', '0.0000', '0.9633', '0.0017']","['0.1553', '0.0000', '0.0699', '0.0064', '0.0000', '0.0000', '0.0000', '0.0000', '0.1866', '0.0033']","['0.0933', '0.0000', '0.0500', '0.0033', '0.0000', '0.0000', '0.0000', '0.0000', '0.9633', '0.0017']","['0.9880', '1.0000', '0.9578', '0.9959', '1.0000', '1.0000', '1.0000', '1.0000', '0.0707', '1.0000']","[[56, 0, 6, 1, 0, 0, 0, 0, 537, 0], [1, 0, 7, 0, 0, 0, 0, 0, 592, 0], [20, 0, 30, 7, 0, 0, 0, 0, 543, 0], [5, 0, 31, 2, 0, 0, 0, 0, 562, 0], [5, 0, 65, 3, 0, 0, 0, 0, 527, 0], [11, 0, 22, 1, 0, 0, 0, 0, 566, 0], [0, 0, 64, 3, 0, 0, 0, 0, 533, 0], [4, 0, 29, 7, 0, 0, 0, 0, 560, 0], [19, 0, 3, 0, 0, 0, 0, 0, 578, 0], [0, 0, 1, 0, 0, 0, 0, 0, 598, 1]]","[0, 9, 0, 9, 8, 7, 2, 7, 7, 7, 5, 3, 4, 5, 0, 6]","[0, 9, 0, 9, 8, 7, 2, 7, 7, 7, 5, 3, 4, 5, 0, 6]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2593064308166504
7,"['0.2933', '0.0000', '0.0800', '0.0017', '0.0000', '0.0000', '0.0000', '0.0000', '0.8233', '0.0117']","['0.3527', '0.0000', '0.1277', '0.0476', '0.0000', '0.0000', '0.0000', '0.0000', '0.0976', '0.1556']","['0.2933', '0.0000', '0.0800', '0.0017', '0.0000', '0.0000', '0.0000', '0.0000', '0.8233', '0.0117']","['0.3203', '0.0000', '0.0984', '0.0032', '0.0000', '0.0000', '0.0000', '0.0000', '0.1746', '0.0217']","['0.2933', '0.0000', '0.0800', '0.0017', '0.0000', '0.0000', '0.0000', '0.0000', '0.8233', '0.0117']","['0.9402', '1.0000', '0.9393', '0.9963', '1.0000', '1.0000', '1.0000', '1.0000', '0.1546', '0.9930']","[[176, 0, 13, 0, 0, 0, 0, 0, 408, 3], [29, 0, 13, 0, 0, 0, 0, 0, 552, 6], [56, 0, 48, 5, 0, 0, 0, 0, 484, 7], [41, 0, 48, 1, 0, 0, 0, 0, 502, 8], [11, 0, 85, 3, 0, 0, 0, 0, 497, 4], [42, 0, 41, 2, 0, 0, 0, 0, 513, 2], [6, 0, 81, 2, 0, 0, 0, 0, 510, 1], [23, 0, 43, 8, 0, 0, 0, 0, 524, 2], [98, 0, 3, 0, 0, 0, 0, 0, 494, 5], [17, 0, 1, 0, 0, 0, 0, 0, 575, 7]]","[5, 4, 5, 6, 1, 2, 2, 3, 7, 2, 5, 2, 4, 5, 7, 0]","[5, 4, 5, 6, 1, 2, 2, 3, 7, 2, 5, 2, 4, 5, 7, 0]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.247474431991577
8,"['0.4850', '0.0000', '0.1533', '0.0200', '0.0000', '0.0000', '0.0000', '0.0000', '0.5883', '0.0533']","['0.2509', '0.0000', '0.1119', '0.1224', '0.0000', '0.0000', '0.0000', '0.0000', '0.0933', '0.2388']","['0.4850', '0.0000', '0.1533', '0.0200', '0.0000', '0.0000', '0.0000', '0.0000', '0.5883', '0.0533']","['0.3307', '0.0000', '0.1294', '0.0344', '0.0000', '0.0000', '0.0000', '0.0000', '0.1610', '0.0872']","['0.4850', '0.0000', '0.1533', '0.0200', '0.0000', '0.0000', '0.0000', '0.0000', '0.5883', '0.0533']","['0.8391', '1.0000', '0.8648', '0.9841', '1.0000', '1.0000', '1.0000', '0.9998', '0.3644', '0.9811']","[[291, 0, 18, 1, 0, 0, 0, 0, 284, 6], [92, 0, 38, 0, 0, 0, 0, 0, 450, 20], [120, 0, 92, 14, 0, 0, 0, 0, 361, 13], [86, 0, 111, 12, 0, 0, 0, 1, 374, 16], [49, 0, 168, 11, 0, 0, 0, 0, 363, 9], [122, 0, 92, 12, 0, 0, 0, 0, 368, 6], [30, 0, 157, 11, 0, 0, 0, 0, 394, 8], [73, 0, 106, 34, 0, 0, 0, 0, 376, 11], [219, 0, 15, 0, 0, 0, 0, 0, 353, 13], [78, 0, 25, 3, 0, 0, 0, 0, 462, 32]]","[2, 7, 4, 6, 0, 5, 7, 3, 1, 5, 7, 4, 6, 3, 2, 4]","[2, 7, 4, 6, 0, 5, 7, 3, 1, 5, 7, 4, 6, 3, 2, 4]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2447190284729004
9,"['0.6983', '0.0000', '0.1850', '0.0417', '0.0000', '0.0000', '0.0000', '0.0267', '0.2383', '0.1900']","['0.1842', '0.0000', '0.1213', '0.1488', '0.0000', '0.0000', '0.0000', '0.2963', '0.0689', '0.2222']","['0.6983', '0.0000', '0.1850', '0.0417', '0.0000', '0.0000', '0.0000', '0.0267', '0.2383', '0.1900']","['0.2915', '0.0000', '0.1465', '0.0651', '0.0000', '0.0000', '0.0000', '0.0489', '0.1069', '0.2049']","['0.6983', '0.0000', '0.1850', '0.0417', '0.0000', '0.0000', '0.0000', '0.0267', '0.2383', '0.1900']","['0.6563', '1.0000', '0.8511', '0.9735', '1.0000', '1.0000', '1.0000', '0.9930', '0.6422', '0.9261']","[[419, 0, 19, 4, 0, 0, 0, 1, 133, 24], [235, 0, 45, 2, 0, 0, 0, 2, 240, 76], [195, 0, 111, 21, 0, 0, 0, 7, 230, 36], [173, 0, 133, 25, 0, 0, 0, 9, 208, 52], [108, 0, 188, 26, 0, 0, 0, 4, 233, 41], [245, 0, 83, 29, 0, 0, 0, 12, 196, 35], [88, 0, 185, 9, 0, 0, 0, 1, 268, 49], [182, 0, 97, 50, 0, 0, 0, 16, 204, 51], [403, 0, 18, 0, 0, 0, 0, 1, 143, 35], [227, 0, 36, 2, 0, 0, 0, 1, 220, 114]]","[4, 1, 2, 7, 2, 4, 4, 5, 3, 5, 7, 7, 4, 5, 7, 5]","[4, 1, 2, 7, 2, 4, 4, 5, 3, 5, 7, 7, 4, 5, 7, 5]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.231037974357605
