cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label,oracle_confusion_matrix,oracle_iterations
0,"['0.9295', '1.0000', '0.0000', '0.8055', '0.0000', '0.0000', '0.6443', '0.0152', '0.0000', '0.7521']","['0.8869', '0.2655', '0.0000', '0.6103', '0.0000', '0.0000', '0.8262', '1.0000', '0.0000', '0.2982']","['0.9295', '1.0000', '0.0000', '0.8055', '0.0000', '0.0000', '0.6443', '0.0152', '0.0000', '0.7521']","['0.9077', '0.4196', '0.0000', '0.6944', '0.0000', '0.0000', '0.7240', '0.0300', '0.0000', '0.4270']","['0.9295', '1.0000', '0.0000', '0.8055', '0.0000', '0.0000', '0.6443', '0.0152', '0.0000', '0.7521']","['0.9866', '0.6456', '1.0000', '0.9434', '1.0000', '1.0000', '0.9853', '1.0000', '1.0000', '0.7989']","[[659, 17, 0, 1, 0, 0, 11, 0, 0, 21], [0, 795, 0, 0, 0, 0, 0, 0, 0, 0], [36, 619, 0, 13, 0, 0, 6, 0, 0, 45], [4, 113, 0, 559, 0, 0, 1, 0, 0, 17], [2, 170, 0, 13, 0, 0, 16, 0, 0, 463], [9, 261, 0, 290, 0, 0, 11, 0, 0, 38], [13, 151, 0, 2, 0, 0, 442, 0, 0, 78], [8, 197, 0, 2, 0, 0, 0, 11, 0, 504], [8, 520, 0, 21, 0, 0, 41, 0, 0, 98], [4, 151, 0, 15, 0, 0, 7, 0, 0, 537]]",-1,-1,-1,-1
1,"['0.9817', '0.9321', '0.5049', '0.8343', '0.0271', '0.6158', '0.6983', '0.2299', '0.4273', '0.7031']","['0.6712', '0.5075', '0.5567', '0.8773', '0.8182', '0.7239', '0.8662', '0.9071', '0.6592', '0.3417']","['0.9817', '0.9321', '0.5049', '0.8343', '0.0271', '0.6158', '0.6983', '0.2299', '0.4273', '0.7031']","['0.7973', '0.6572', '0.5295', '0.8552', '0.0525', '0.6655', '0.7732', '0.3669', '0.5185', '0.4599']","['0.9817', '0.9321', '0.5049', '0.8343', '0.0271', '0.6158', '0.6983', '0.2299', '0.4273', '0.7031']","['0.9458', '0.8841', '0.9540', '0.9872', '0.9994', '0.9776', '0.9883', '0.9973', '0.9759', '0.8462']","[[696, 2, 6, 0, 0, 0, 3, 0, 1, 1], [0, 741, 51, 2, 0, 1, 0, 0, 0, 0], [70, 154, 363, 13, 0, 4, 8, 6, 90, 11], [14, 34, 13, 579, 0, 18, 1, 2, 18, 15], [19, 69, 57, 10, 18, 22, 29, 0, 10, 430], [56, 80, 40, 41, 0, 375, 6, 0, 11, 0], [92, 48, 11, 0, 0, 14, 479, 0, 13, 29], [29, 54, 54, 0, 0, 11, 0, 166, 1, 407], [31, 189, 44, 7, 0, 25, 22, 2, 294, 74], [30, 89, 13, 8, 4, 48, 5, 7, 8, 502]]","[5, 5, 4, 2, 2, 8, 8, 5, 8, 2, 8, 8, 8, 8, 2, 9]","[5, 5, 4, 2, 2, 8, 8, 5, 8, 5, 8, 8, 8, 8, 2, 9]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 3. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 3. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 7. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]]",16
2,"['0.9690', '0.8428', '0.7163', '0.8948', '0.1852', '0.4319', '0.8455', '0.5554', '0.4273', '0.8011']","['0.8652', '0.6994', '0.5616', '0.7384', '0.5168', '0.9359', '0.8542', '0.7186', '0.8144', '0.4166']","['0.9690', '0.8428', '0.7163', '0.8948', '0.1852', '0.4319', '0.8455', '0.5554', '0.4273', '0.8011']","['0.9142', '0.7644', '0.6296', '0.8091', '0.2727', '0.5910', '0.8498', '0.6266', '0.5605', '0.5482']","['0.9690', '0.8428', '0.7163', '0.8948', '0.1852', '0.4319', '0.8455', '0.5554', '0.4273', '0.8011']","['0.9830', '0.9536', '0.9360', '0.9651', '0.9818', '0.9972', '0.9843', '0.9750', '0.9894', '0.8726']","[[687, 0, 10, 1, 0, 1, 8, 1, 1, 0], [0, 670, 123, 2, 0, 0, 0, 0, 0, 0], [29, 82, 515, 16, 5, 1, 13, 24, 24, 10], [5, 8, 15, 621, 0, 2, 1, 19, 15, 8], [2, 19, 30, 7, 123, 2, 24, 0, 8, 449], [28, 28, 64, 161, 3, 263, 25, 16, 11, 10], [15, 27, 12, 1, 34, 4, 580, 0, 5, 8], [9, 17, 38, 2, 3, 2, 0, 401, 0, 250], [9, 86, 108, 11, 41, 3, 26, 44, 294, 66], [10, 21, 2, 19, 29, 3, 2, 53, 3, 572]]","[8, 9, 9, 9, 9, 2, 2, 9, 4, 4, 9, 3, 9, 9, 8, 4]","[4, 9, 9, 9, 9, 4, 4, 9, 4, 4, 9, 3, 9, 9, 9, 4]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 3. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
 [0. 0. 2. 0. 4. 0. 0. 0. 1. 0.]
 [0. 0. 1. 0. 0. 3. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 7. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 1. 9.]]",32
3,"['0.9817', '0.9044', '0.6857', '0.8934', '0.4910', '0.6979', '0.8965', '0.6828', '0.5233', '0.7941']","['0.8416', '0.7307', '0.7739', '0.8516', '0.6653', '0.9081', '0.8060', '0.8258', '0.8200', '0.5314']","['0.9817', '0.9044', '0.6857', '0.8934', '0.4910', '0.6979', '0.8965', '0.6828', '0.5233', '0.7941']","['0.9062', '0.8083', '0.7271', '0.8720', '0.5650', '0.7892', '0.8489', '0.7475', '0.6389', '0.6367']","['0.9817', '0.9044', '0.6857', '0.8934', '0.4910', '0.6979', '0.8965', '0.6828', '0.5233', '0.7941']","['0.9792', '0.9573', '0.9771', '0.9829', '0.9741', '0.9933', '0.9766', '0.9834', '0.9875', '0.9205']","[[696, 1, 2, 0, 0, 2, 5, 1, 2, 0], [0, 719, 70, 2, 0, 0, 2, 0, 2, 0], [35, 92, 493, 14, 12, 2, 19, 20, 25, 7], [6, 10, 13, 620, 0, 13, 1, 13, 11, 7], [3, 9, 7, 7, 326, 0, 31, 0, 10, 271], [29, 27, 5, 60, 4, 425, 31, 3, 24, 1], [17, 10, 3, 0, 33, 6, 615, 0, 2, 0], [13, 21, 28, 0, 4, 4, 0, 493, 1, 158], [16, 77, 15, 7, 58, 8, 58, 33, 360, 56], [12, 18, 1, 18, 53, 8, 1, 34, 2, 567]]","[0, 5, 5, 0, 5, 5, 8, 2, 6, 0, 8, 3, 6, 8, 0, 9]","[0, 5, 5, 0, 5, 5, 5, 2, 6, 0, 5, 1, 5, 8, 0, 8]","[[4. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
 [0. 0. 4. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
 [0. 0. 2. 0. 4. 0. 0. 0. 1. 0.]
 [0. 0. 1. 0. 0. 7. 1. 0. 2. 0.]
 [0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 8. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 1. 9.]]",48
4,"['0.9831', '0.8453', '0.8039', '0.8761', '0.4759', '0.6716', '0.9169', '0.8033', '0.7471', '0.8473']","['0.8357', '0.8807', '0.7307', '0.8456', '0.8404', '0.9212', '0.8897', '0.8618', '0.7548', '0.5978']","['0.9831', '0.8453', '0.8039', '0.8761', '0.4759', '0.6716', '0.9169', '0.8033', '0.7471', '0.8473']","['0.9034', '0.8626', '0.7656', '0.8606', '0.6077', '0.7768', '0.9031', '0.8315', '0.7509', '0.7010']","['0.9831', '0.8453', '0.8039', '0.8761', '0.4759', '0.6716', '0.9169', '0.8033', '0.7471', '0.8473']","['0.9782', '0.9853', '0.9661', '0.9824', '0.9905', '0.9945', '0.9876', '0.9852', '0.9735', '0.9353']","[[697, 0, 6, 0, 0, 1, 3, 1, 1, 0], [0, 672, 88, 1, 0, 0, 1, 1, 32, 0], [26, 43, 578, 11, 4, 1, 9, 16, 30, 1], [14, 3, 30, 608, 0, 3, 1, 11, 19, 5], [6, 1, 12, 5, 316, 1, 25, 0, 19, 279], [32, 8, 16, 64, 1, 409, 22, 4, 53, 0], [21, 3, 7, 0, 18, 4, 629, 0, 4, 0], [18, 6, 32, 1, 2, 4, 0, 580, 6, 73], [4, 22, 21, 8, 14, 10, 17, 29, 514, 49], [16, 5, 1, 21, 21, 11, 0, 31, 3, 605]]","[9, 9, 3, 2, 9, 2, 2, 0, 9, 8, 8, 8, 8, 0, 8, 2]","[9, 5, 3, 2, 9, 2, 5, 0, 9, 5, 3, 8, 8, 4, 1, 3]","[[ 5.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  1.  0.]
 [ 0.  0.  6.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1.  2.  0.  0.  0.  0.  1.  0.]
 [ 1.  0.  2.  0.  4.  0.  0.  0.  1.  0.]
 [ 0.  0.  2.  0.  0.  7.  1.  0.  3.  1.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0. 10.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  1. 12.]]",64
5,"['0.9746', '0.8906', '0.7997', '0.9092', '0.5738', '0.7537', '0.9519', '0.8269', '0.7733', '0.9104']","['0.8939', '0.8795', '0.7834', '0.8825', '0.8965', '0.9329', '0.8730', '0.8884', '0.8378', '0.6494']","['0.9746', '0.8906', '0.7997', '0.9092', '0.5738', '0.7537', '0.9519', '0.8269', '0.7733', '0.9104']","['0.9325', '0.8850', '0.7915', '0.8957', '0.6997', '0.8338', '0.9107', '0.8565', '0.8042', '0.7580']","['0.9746', '0.8906', '0.7997', '0.9092', '0.5738', '0.7537', '0.9519', '0.8269', '0.7733', '0.9104']","['0.9870', '0.9844', '0.9747', '0.9867', '0.9931', '0.9948', '0.9850', '0.9881', '0.9837', '0.9442']","[[691, 0, 4, 0, 0, 2, 10, 1, 1, 0], [0, 708, 78, 2, 0, 0, 2, 1, 4, 0], [22, 52, 575, 14, 4, 1, 9, 20, 16, 6], [9, 2, 19, 631, 0, 6, 1, 11, 11, 4], [2, 0, 11, 1, 381, 0, 27, 0, 17, 225], [14, 7, 10, 46, 0, 459, 19, 5, 46, 3], [12, 3, 2, 0, 10, 5, 653, 0, 1, 0], [10, 6, 27, 1, 1, 2, 0, 597, 6, 72], [2, 25, 6, 11, 11, 10, 27, 23, 532, 41], [11, 2, 2, 9, 18, 7, 0, 14, 1, 650]]","[8, 9, 2, 8, 8, 8, 9, 9, 2, 9, 5, 9, 9, 9, 8, 4]","[5, 9, 4, 4, 8, 8, 9, 9, 9, 0, 4, 9, 9, 9, 8, 4]","[[ 5.  0.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  1.  0.]
 [ 0.  0.  6.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1.  2.  0.  0.  0.  0.  1.  0.]
 [ 1.  0.  3.  0.  5.  1.  0.  0.  2.  0.]
 [ 0.  0.  2.  0.  0.  7.  1.  0.  4.  1.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0. 13.  1.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  1. 18.]]",80
6,"['0.9788', '0.9233', '0.8679', '0.8689', '0.6687', '0.7997', '0.9329', '0.8726', '0.8154', '0.8908']","['0.8708', '0.9073', '0.7638', '0.9407', '0.9136', '0.9365', '0.8803', '0.9026', '0.8539', '0.7500']","['0.9788', '0.9233', '0.8679', '0.8689', '0.6687', '0.7997', '0.9329', '0.8726', '0.8154', '0.8908']","['0.9216', '0.9152', '0.8125', '0.9034', '0.7722', '0.8627', '0.9059', '0.8873', '0.8342', '0.8143']","['0.9788', '0.9233', '0.8679', '0.8689', '0.6687', '0.7997', '0.9329', '0.8726', '0.8154', '0.8908']","['0.9836', '0.9879', '0.9693', '0.9940', '0.9934', '0.9948', '0.9862', '0.9892', '0.9848', '0.9663']","[[694, 0, 7, 0, 0, 1, 5, 1, 1, 0], [0, 734, 35, 0, 0, 0, 1, 1, 24, 0], [15, 39, 624, 9, 5, 0, 9, 9, 8, 1], [12, 2, 44, 603, 0, 10, 0, 10, 11, 2], [3, 0, 21, 1, 444, 0, 21, 0, 12, 162], [23, 4, 22, 14, 0, 487, 26, 2, 31, 0], [20, 2, 4, 0, 17, 3, 640, 0, 0, 0], [17, 8, 32, 1, 1, 2, 0, 630, 6, 25], [3, 17, 20, 5, 6, 8, 25, 21, 561, 22], [10, 3, 8, 8, 13, 9, 0, 24, 3, 636]]","[8, 2, 4, 0, 9, 8, 2, 8, 5, 4, 6, 2, 5, 6, 9, 8]","[8, 2, 0, 0, 9, 5, 2, 9, 5, 4, 5, 5, 5, 5, 9, 5]","[[ 6.  0.  0.  0.  1.  0.  0.  0.  0.  1.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  1.  0.]
 [ 0.  0.  8.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1.  2.  0.  0.  0.  0.  1.  0.]
 [ 1.  0.  3.  0.  6.  1.  0.  0.  2.  0.]
 [ 0.  0.  3.  0.  0.  9.  3.  0.  6.  1.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0. 14.  1.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  2. 20.]]",96
7,"['0.9408', '0.9409', '0.9040', '0.8689', '0.8117', '0.7882', '0.9723', '0.8684', '0.7078', '0.8095']","['0.8905', '0.8884', '0.7692', '0.9451', '0.8305', '0.9430', '0.7711', '0.9344', '0.9206', '0.8222']","['0.9408', '0.9409', '0.9040', '0.8689', '0.8117', '0.7882', '0.9723', '0.8684', '0.7078', '0.8095']","['0.9150', '0.9139', '0.8312', '0.9054', '0.8210', '0.8587', '0.8601', '0.9002', '0.8003', '0.8158']","['0.9408', '0.9409', '0.9040', '0.8689', '0.8117', '0.7882', '0.9723', '0.8684', '0.7078', '0.8095']","['0.9870', '0.9849', '0.9690', '0.9944', '0.9826', '0.9955', '0.9686', '0.9930', '0.9933', '0.9801']","[[667, 0, 11, 0, 0, 1, 29, 1, 0, 0], [0, 748, 37, 0, 0, 0, 2, 0, 8, 0], [12, 28, 650, 5, 6, 1, 12, 2, 3, 0], [16, 2, 49, 603, 0, 9, 0, 7, 5, 3], [0, 0, 7, 0, 539, 0, 28, 0, 3, 87], [18, 7, 15, 15, 0, 480, 51, 1, 20, 2], [2, 0, 2, 0, 15, 0, 667, 0, 0, 0], [23, 11, 35, 1, 4, 0, 0, 627, 2, 19], [4, 43, 27, 8, 11, 6, 73, 15, 487, 14], [7, 3, 12, 6, 74, 12, 3, 18, 1, 578]]","[9, 5, 8, 9, 9, 0, 9, 2, 4, 9, 7, 8, 8, 7, 5, 5]","[9, 5, 8, 9, 9, 5, 9, 5, 4, 9, 7, 8, 8, 5, 5, 5]","[[ 6.  0.  0.  0.  1.  0.  0.  0.  0.  1.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  1.  0.]
 [ 0.  0.  8.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1.  2.  0.  0.  0.  0.  1.  0.]
 [ 1.  0.  3.  0.  7.  1.  0.  0.  2.  0.]
 [ 1.  0.  4.  0.  0. 12.  3.  1.  6.  1.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0. 17.  1.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  2. 25.]]",112
8,"['0.9760', '0.9346', '0.8581', '0.8703', '0.8373', '0.8456', '0.9665', '0.9044', '0.7762', '0.8992']","['0.9069', '0.9241', '0.8452', '0.9542', '0.9115', '0.9213', '0.8622', '0.8860', '0.8900', '0.8075']","['0.9760', '0.9346', '0.8581', '0.8703', '0.8373', '0.8456', '0.9665', '0.9044', '0.7762', '0.8992']","['0.9402', '0.9293', '0.8516', '0.9103', '0.8728', '0.8818', '0.9113', '0.8951', '0.8292', '0.8509']","['0.9760', '0.9346', '0.8581', '0.8703', '0.8373', '0.8456', '0.9665', '0.9044', '0.7762', '0.8992']","['0.9887', '0.9902', '0.9820', '0.9954', '0.9915', '0.9931', '0.9832', '0.9866', '0.9895', '0.9757']","[[692, 0, 5, 0, 0, 1, 8, 2, 1, 0], [0, 743, 27, 0, 0, 0, 0, 8, 17, 0], [12, 32, 617, 13, 4, 1, 5, 23, 6, 6], [11, 2, 33, 604, 0, 11, 0, 11, 13, 9], [4, 0, 10, 0, 556, 0, 27, 0, 3, 64], [14, 5, 7, 8, 0, 515, 30, 5, 23, 2], [10, 1, 2, 0, 6, 4, 663, 0, 0, 0], [8, 1, 16, 0, 3, 0, 0, 653, 3, 38], [2, 17, 13, 5, 10, 13, 36, 24, 534, 34], [10, 3, 0, 3, 31, 14, 0, 11, 0, 642]]","[0, 8, 8, 8, 9, 8, 8, 3, 4, 8, 9, 7, 8, 7, 8, 3]","[0, 8, 8, 8, 9, 8, 8, 3, 4, 8, 9, 8, 8, 7, 8, 3]","[[ 7.  0.  0.  0.  1.  0.  0.  0.  0.  1.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  1.  0.]
 [ 0.  0.  8.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1.  4.  0.  0.  0.  0.  1.  0.]
 [ 1.  0.  3.  0.  8.  1.  0.  0.  2.  0.]
 [ 1.  0.  4.  0.  0. 12.  3.  1.  6.  1.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  2.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  1. 25.  1.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  2. 27.]]",128
9,"['0.9746', '0.9283', '0.8637', '0.8963', '0.9096', '0.8571', '0.9446', '0.9183', '0.8808', '0.8852']","['0.9092', '0.9597', '0.8897', '0.9540', '0.8818', '0.9321', '0.9076', '0.9120', '0.8393', '0.8864']","['0.9746', '0.9283', '0.8637', '0.8963', '0.9096', '0.8571', '0.9446', '0.9183', '0.8808', '0.8852']","['0.9408', '0.9437', '0.8765', '0.9242', '0.8955', '0.8931', '0.9257', '0.9151', '0.8596', '0.8858']","['0.9746', '0.9283', '0.8637', '0.8963', '0.9096', '0.8571', '0.9446', '0.9183', '0.8808', '0.8852']","['0.9890', '0.9950', '0.9877', '0.9952', '0.9872', '0.9941', '0.9895', '0.9898', '0.9816', '0.9871']","[[691, 0, 5, 0, 0, 1, 8, 3, 1, 0], [0, 738, 7, 4, 1, 0, 0, 1, 44, 0], [14, 22, 621, 12, 11, 1, 5, 14, 18, 1], [10, 0, 28, 622, 1, 10, 0, 7, 15, 1], [1, 0, 2, 0, 604, 0, 4, 0, 2, 51], [16, 1, 9, 5, 4, 522, 25, 2, 23, 2], [9, 1, 0, 0, 23, 4, 648, 0, 1, 0], [9, 1, 21, 2, 2, 0, 0, 663, 7, 17], [2, 5, 4, 3, 11, 7, 24, 17, 606, 9], [8, 1, 1, 4, 28, 15, 0, 20, 5, 632]]","[4, 8, 8, 2, 2, 8, 9, 8, 9, 0, 3, 6, 2, 3, 9, 7]","[4, 8, 8, 3, 5, 8, 9, 9, 9, 0, 3, 5, 5, 3, 9, 9]","[[ 8.  0.  0.  0.  1.  0.  0.  0.  0.  1.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  1.  0.]
 [ 0.  0.  8.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  2.  6.  0.  0.  0.  0.  1.  0.]
 [ 1.  0.  3.  0.  9.  1.  0.  0.  2.  0.]
 [ 1.  0.  6.  0.  0. 12.  4.  1.  6.  1.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  2.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  1. 28.  1.]
 [ 0.  0.  1.  0.  0.  0.  0.  1.  3. 30.]]",144
