cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label,oracle_confusion_matrix,oracle_iterations
0,"['0.0000', '0.8078', '0.5652', '0.3006', '0.0000', '0.0434', '0.0000', '0.7482', '0.5391', '0.9175']","['0.0000', '0.9045', '0.2240', '0.2262', '0.0000', '0.7381', '0.0000', '0.3636', '0.2822', '0.7566']","['0.0000', '0.8078', '0.5652', '0.3006', '0.0000', '0.0434', '0.0000', '0.7482', '0.5391', '0.9175']","['0.0000', '0.8534', '0.3209', '0.2581', '0.0000', '0.0819', '0.0000', '0.4894', '0.3705', '0.8293']","['0.0000', '0.8078', '0.5652', '0.3006', '0.0000', '0.0434', '0.0000', '0.7482', '0.5391', '0.9175']","['1.0000', '0.9906', '0.7859', '0.8854', '1.0000', '0.9982', '0.9998', '0.8529', '0.8469', '0.9664']","[[0, 4, 275, 208, 0, 0, 1, 22, 184, 4], [0, 559, 22, 68, 0, 1, 0, 3, 39, 0], [0, 0, 390, 131, 0, 3, 0, 63, 102, 1], [0, 53, 73, 211, 0, 0, 0, 10, 355, 0], [0, 0, 477, 72, 0, 2, 0, 23, 102, 0], [0, 1, 0, 3, 0, 31, 0, 630, 11, 39], [0, 0, 302, 196, 0, 3, 0, 68, 132, 1], [0, 0, 0, 1, 0, 0, 0, 529, 23, 154], [0, 1, 192, 41, 0, 2, 0, 76, 379, 12], [0, 0, 10, 2, 0, 0, 0, 31, 16, 656]]",-1,-1,-1,-1
1,"['0.4742', '0.9624', '0.6507', '0.0228', '0.0000', '0.0685', '0.0000', '0.2390', '0.6757', '0.9902']","['0.5400', '0.4359', '0.3180', '0.1053', '0.0000', '0.2130', '0.0000', '0.3581', '0.5361', '0.4148']","['0.4742', '0.9624', '0.6507', '0.0228', '0.0000', '0.0685', '0.0000', '0.2390', '0.6757', '0.9902']","['0.5050', '0.6000', '0.4272', '0.0375', '0.0000', '0.1037', '0.0000', '0.2867', '0.5979', '0.5846']","['0.4742', '0.9624', '0.6507', '0.0228', '0.0000', '0.0685', '0.0000', '0.2390', '0.6757', '0.9902']","['0.9553', '0.8633', '0.8474', '0.9784', '1.0000', '0.9712', '1.0000', '0.9519', '0.9347', '0.8411']","[[331, 131, 69, 91, 0, 31, 0, 1, 31, 13], [6, 666, 14, 0, 0, 2, 0, 1, 2, 1], [12, 37, 449, 3, 0, 34, 0, 1, 150, 4], [104, 530, 23, 16, 0, 5, 0, 0, 21, 3], [58, 51, 479, 4, 0, 20, 0, 0, 62, 2], [0, 8, 0, 0, 0, 49, 0, 262, 5, 391], [100, 89, 269, 33, 0, 60, 0, 5, 137, 9], [0, 0, 0, 0, 0, 3, 0, 169, 2, 533], [1, 14, 109, 4, 0, 25, 0, 32, 475, 43], [1, 2, 0, 1, 0, 1, 0, 1, 1, 708]]","[3, 0, 3, 2, 8, 2, 2, 0, 8, 8, 8, 0, 2, 8, 3, 4]","[3, 0, 0, 2, 8, 2, 2, 2, 0, 1, 2, 2, 2, 2, 3, 4]","[[1. 0. 0. 1. 0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
 [2. 0. 4. 0. 0. 0. 0. 0. 2. 0.]
 [0. 0. 0. 2. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",16
2,"['0.3954', '0.9350', '0.8087', '0.2607', '0.0000', '0.8056', '0.0000', '0.5389', '0.8364', '0.9287']","['0.6202', '0.5925', '0.3039', '0.4169', '0.0000', '0.7111', '0.0000', '0.7921', '0.5720', '0.7641']","['0.3954', '0.9350', '0.8087', '0.2607', '0.0000', '0.8056', '0.0000', '0.5389', '0.8364', '0.9287']","['0.4829', '0.7253', '0.4418', '0.3208', '0.0000', '0.7554', '0.0000', '0.6414', '0.6794', '0.8384']","['0.3954', '0.9350', '0.8087', '0.2607', '0.0000', '0.8056', '0.0000', '0.5389', '0.8364', '0.9287']","['0.9732', '0.9295', '0.7975', '0.9594', '1.0000', '0.9628', '1.0000', '0.9841', '0.9301', '0.9674']","[[276, 28, 183, 129, 0, 12, 0, 0, 70, 0], [3, 647, 24, 14, 0, 2, 0, 0, 2, 0], [4, 6, 558, 7, 0, 0, 0, 0, 115, 0], [65, 371, 57, 183, 0, 1, 0, 0, 25, 0], [26, 12, 546, 25, 0, 1, 0, 0, 66, 0], [0, 5, 0, 0, 0, 576, 0, 90, 13, 31], [70, 17, 396, 72, 0, 4, 0, 0, 143, 0], [0, 0, 0, 0, 0, 155, 0, 381, 3, 168], [1, 4, 72, 7, 0, 22, 0, 3, 588, 6], [0, 2, 0, 2, 0, 37, 0, 7, 3, 664]]","[8, 2, 2, 8, 0, 8, 3, 8, 0, 3, 6, 4, 8, 8, 2, 6]","[8, 2, 2, 2, 4, 8, 0, 8, 0, 6, 6, 6, 8, 8, 2, 6]","[[2. 0. 0. 2. 0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
 [2. 0. 7. 0. 0. 0. 0. 0. 3. 0.]
 [0. 0. 0. 2. 0. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 1. 1. 0. 2. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 6. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",32
3,"['0.5587', '0.8988', '0.9087', '0.6809', '0.0089', '0.6881', '0.0527', '0.8359', '0.8521', '0.8476']","['0.6489', '0.9094', '0.3436', '0.5879', '0.7500', '0.8186', '0.2624', '0.6739', '0.7934', '0.8719']","['0.5587', '0.8988', '0.9087', '0.6809', '0.0089', '0.6881', '0.0527', '0.8359', '0.8521', '0.8476']","['0.6005', '0.9041', '0.4986', '0.6310', '0.0175', '0.7477', '0.0878', '0.7462', '0.8217', '0.8596']","['0.5587', '0.8988', '0.9087', '0.6809', '0.0089', '0.6881', '0.0527', '0.8359', '0.8521', '0.8476']","['0.9665', '0.9902', '0.8101', '0.9468', '0.9997', '0.9827', '0.9835', '0.9546', '0.9752', '0.9858']","[[390, 3, 90, 134, 0, 6, 45, 0, 30, 0], [4, 622, 19, 40, 0, 1, 4, 0, 2, 0], [5, 1, 627, 14, 1, 0, 10, 0, 32, 0], [86, 54, 54, 478, 0, 2, 22, 0, 6, 0], [20, 2, 561, 42, 6, 0, 22, 0, 23, 0], [0, 0, 0, 4, 0, 492, 0, 189, 5, 25], [96, 2, 427, 82, 1, 1, 37, 0, 56, 0], [0, 0, 0, 0, 0, 54, 0, 591, 0, 62], [0, 0, 47, 17, 0, 23, 1, 14, 599, 2], [0, 0, 0, 2, 0, 22, 0, 83, 2, 606]]","[6, 0, 0, 0, 0, 8, 0, 3, 3, 6, 6, 2, 0, 3, 3, 0]","[4, 0, 0, 0, 0, 0, 0, 6, 0, 6, 6, 0, 0, 6, 0, 0]","[[9. 0. 1. 4. 0. 0. 0. 0. 2. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
 [2. 0. 7. 0. 0. 0. 0. 0. 3. 0.]
 [0. 0. 0. 2. 0. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 1. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 3. 1. 0. 4. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 6. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",48
4,"['0.7851', '0.9191', '0.8319', '0.5071', '0.2234', '0.8112', '0.0100', '0.7949', '0.8236', '0.7720']","['0.5458', '0.8217', '0.3764', '0.6794', '0.5655', '0.7513', '0.2593', '0.6896', '0.8540', '0.8990']","['0.7851', '0.9191', '0.8319', '0.5071', '0.2234', '0.8112', '0.0100', '0.7949', '0.8236', '0.7720']","['0.6439', '0.8677', '0.5183', '0.5808', '0.3203', '0.7801', '0.0192', '0.7385', '0.8385', '0.8307']","['0.7851', '0.9191', '0.8319', '0.5071', '0.2234', '0.8112', '0.0100', '0.7949', '0.8236', '0.7720']","['0.9276', '0.9781', '0.8493', '0.9733', '0.9817', '0.9695', '0.9968', '0.9598', '0.9843', '0.9901']","[[548, 4, 49, 62, 5, 7, 3, 0, 20, 0], [10, 636, 13, 22, 6, 1, 2, 0, 2, 0], [28, 1, 574, 8, 58, 0, 4, 0, 17, 0], [168, 122, 30, 356, 15, 1, 5, 0, 4, 1], [46, 5, 422, 29, 151, 0, 5, 0, 18, 0], [0, 0, 0, 3, 0, 580, 0, 110, 2, 20], [196, 4, 395, 35, 27, 3, 7, 0, 35, 0], [0, 0, 0, 0, 0, 106, 0, 562, 0, 39], [8, 1, 42, 8, 5, 42, 1, 15, 579, 2], [0, 1, 0, 1, 0, 32, 0, 128, 1, 552]]","[3, 8, 0, 0, 4, 0, 4, 6, 0, 8, 6, 6, 3, 0, 1, 0]","[0, 2, 0, 0, 2, 0, 4, 6, 0, 0, 6, 6, 0, 0, 1, 0]","[[15.  0.  1.  6.  0.  0.  0.  0.  3.  0.]
 [ 0.  1.  0.  0.  0.  0.  0.  0.  1.  0.]
 [ 2.  0.  7.  0.  1.  0.  0.  0.  4.  0.]
 [ 0.  0.  0.  2.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  0.  0.  2.  0.  1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  3.  1.  0.  7.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  6.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]]",64
5,"['0.7736', '0.9162', '0.8725', '0.6197', '0.1657', '0.7818', '0.0171', '0.8303', '0.8634', '0.7664']","['0.6214', '0.8830', '0.3675', '0.6581', '0.5600', '0.8221', '0.2000', '0.6947', '0.8431', '0.8998']","['0.7736', '0.9162', '0.8725', '0.6197', '0.1657', '0.7818', '0.0171', '0.8303', '0.8634', '0.7664']","['0.6892', '0.8993', '0.5172', '0.6383', '0.2557', '0.8014', '0.0315', '0.7564', '0.8531', '0.8278']","['0.7736', '0.9162', '0.8725', '0.6197', '0.1657', '0.7818', '0.0171', '0.8303', '0.8634', '0.7664']","['0.9478', '0.9867', '0.8358', '0.9641', '0.9861', '0.9807', '0.9924', '0.9590', '0.9821', '0.9903']","[[540, 5, 47, 72, 5, 2, 8, 0, 19, 0], [4, 634, 17, 28, 5, 0, 1, 0, 3, 0], [15, 1, 602, 8, 36, 0, 7, 0, 21, 0], [123, 64, 35, 435, 22, 0, 19, 0, 4, 0], [10, 5, 480, 41, 112, 0, 12, 0, 16, 0], [0, 3, 0, 7, 0, 559, 0, 118, 7, 21], [170, 3, 409, 50, 20, 0, 12, 0, 38, 0], [0, 0, 0, 0, 0, 79, 0, 587, 2, 39], [7, 3, 48, 10, 0, 18, 1, 8, 607, 1], [0, 0, 0, 10, 0, 22, 0, 132, 3, 548]]","[4, 4, 1, 6, 2, 8, 2, 8, 2, 6, 8, 2, 3, 6, 8, 2]","[1, 4, 6, 6, 2, 6, 2, 8, 4, 6, 0, 4, 6, 6, 6, 2]","[[15.  0.  1.  6.  0.  0.  0.  0.  4.  0.]
 [ 0.  1.  0.  0.  1.  0.  0.  0.  1.  0.]
 [ 2.  0. 10.  0.  1.  0.  0.  0.  4.  0.]
 [ 0.  0.  0.  2.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  2.  0.  3.  0.  1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0.  4.  1.  0. 10.  0.  2.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  7.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]]",80
6,"['0.7808', '0.9176', '0.9290', '0.5883', '0.1021', '0.7594', '0.0171', '0.8416', '0.8777', '0.8084']","['0.6172', '0.8944', '0.3648', '0.6651', '0.5476', '0.8605', '0.2069', '0.6943', '0.8702', '0.8920']","['0.7808', '0.9176', '0.9290', '0.5883', '0.1021', '0.7594', '0.0171', '0.8416', '0.8777', '0.8084']","['0.6894', '0.9058', '0.5239', '0.6243', '0.1721', '0.8068', '0.0316', '0.7609', '0.8739', '0.8481']","['0.7808', '0.9176', '0.9290', '0.5883', '0.1021', '0.7594', '0.0171', '0.8416', '0.8777', '0.8084']","['0.9464', '0.9881', '0.8231', '0.9670', '0.9910', '0.9860', '0.9927', '0.9584', '0.9854', '0.9889']","[[545, 5, 52, 67, 6, 2, 1, 0, 20, 0], [6, 635, 17, 23, 6, 0, 2, 0, 3, 0], [9, 0, 641, 8, 7, 0, 8, 0, 17, 0], [135, 58, 42, 413, 25, 0, 25, 0, 4, 0], [6, 2, 534, 43, 69, 0, 10, 0, 12, 0], [0, 3, 0, 6, 0, 543, 0, 132, 5, 26], [174, 4, 429, 43, 13, 0, 12, 0, 27, 0], [0, 0, 0, 0, 0, 66, 0, 595, 2, 44], [8, 3, 42, 9, 0, 14, 0, 10, 617, 0], [0, 0, 0, 9, 0, 6, 0, 120, 2, 578]]","[2, 2, 0, 3, 2, 6, 3, 3, 1, 0, 6, 8, 1, 0, 2, 2]","[2, 2, 0, 3, 2, 6, 2, 3, 1, 0, 6, 2, 1, 6, 2, 2]","[[17.  0.  1.  6.  0.  0.  0.  0.  4.  0.]
 [ 0.  3.  0.  0.  1.  0.  0.  0.  1.  0.]
 [ 2.  0. 15.  1.  1.  0.  0.  0.  5.  0.]
 [ 0.  0.  0.  4.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  2.  0.  3.  0.  1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 1.  1.  0.  4.  1.  0. 12.  0.  2.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  7.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]]",96
7,"['0.6934', '0.9581', '0.0812', '0.3376', '0.7456', '0.7399', '0.2137', '0.8402', '0.8876', '0.8476']","['0.7458', '0.5516', '0.5714', '0.4979', '0.4242', '0.8951', '0.3055', '0.6988', '0.8331', '0.8584']","['0.6934', '0.9581', '0.0812', '0.3376', '0.7456', '0.7399', '0.2137', '0.8402', '0.8876', '0.8476']","['0.7186', '0.7001', '0.1421', '0.4024', '0.5408', '0.8101', '0.2515', '0.7630', '0.8595', '0.8529']","['0.6934', '0.9581', '0.0812', '0.3376', '0.7456', '0.7399', '0.2137', '0.8402', '0.8876', '0.8476']","['0.9738', '0.9146', '0.9933', '0.9621', '0.8918', '0.9901', '0.9459', '0.9593', '0.9801', '0.9841']","[[484, 54, 7, 90, 12, 1, 28, 0, 22, 0], [0, 663, 3, 5, 6, 0, 12, 0, 3, 0], [18, 6, 56, 11, 377, 0, 188, 0, 34, 0], [16, 390, 0, 237, 25, 0, 30, 0, 3, 1], [1, 37, 4, 35, 504, 0, 78, 0, 17, 0], [1, 7, 0, 3, 0, 529, 1, 139, 2, 33], [125, 40, 18, 77, 249, 0, 150, 0, 43, 0], [0, 0, 0, 0, 0, 48, 0, 594, 0, 65], [4, 5, 10, 15, 15, 8, 4, 17, 624, 1], [0, 0, 0, 3, 0, 5, 0, 100, 1, 606]]","[2, 4, 6, 8, 6, 3, 3, 2, 8, 8, 3, 3, 2, 0, 8, 9]","[2, 2, 6, 2, 0, 3, 2, 4, 6, 6, 2, 4, 2, 0, 8, 9]","[[18.  0.  1.  6.  0.  0.  1.  0.  4.  0.]
 [ 0.  3.  0.  0.  1.  0.  0.  0.  1.  0.]
 [ 2.  0. 17.  3.  2.  0.  0.  0.  6.  0.]
 [ 0.  0.  0.  5.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  3.  1.  3.  0.  1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 1.  1.  0.  4.  1.  0. 13.  0.  4.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  8.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  1.]]",112
8,"['0.7521', '0.9104', '0.8870', '0.7650', '0.0059', '0.6713', '0.0598', '0.8161', '0.8492', '0.9371']","['0.7028', '0.9633', '0.3452', '0.6486', '0.5000', '0.9357', '0.2258', '0.7222', '0.9087', '0.8024']","['0.7521', '0.9104', '0.8870', '0.7650', '0.0059', '0.6713', '0.0598', '0.8161', '0.8492', '0.9371']","['0.7266', '0.9361', '0.4970', '0.7020', '0.0117', '0.7818', '0.0946', '0.7663', '0.8779', '0.8645']","['0.7521', '0.9104', '0.8870', '0.7650', '0.0059', '0.6713', '0.0598', '0.8161', '0.8492', '0.9371']","['0.9648', '0.9962', '0.8160', '0.9538', '0.9994', '0.9947', '0.9771', '0.9647', '0.9905', '0.9737']","[[525, 3, 42, 95, 0, 1, 22, 0, 10, 0], [2, 630, 23, 32, 0, 0, 2, 0, 3, 0], [9, 0, 612, 11, 0, 0, 46, 0, 12, 0], [58, 16, 41, 537, 2, 0, 45, 0, 3, 0], [1, 3, 581, 51, 4, 0, 25, 0, 11, 0], [0, 0, 0, 8, 0, 480, 0, 173, 4, 50], [147, 1, 422, 72, 2, 0, 42, 0, 16, 0], [0, 0, 0, 0, 0, 17, 0, 577, 0, 113], [4, 1, 52, 20, 0, 13, 4, 10, 597, 2], [1, 0, 0, 2, 0, 2, 0, 39, 1, 670]]","[9, 5, 9, 8, 5, 5, 1, 5, 3, 3, 2, 3, 5, 3, 8, 3]","[9, 5, 9, 8, 7, 8, 1, 5, 6, 7, 0, 4, 5, 6, 8, 6]","[[18.  0.  2.  6.  0.  0.  1.  0.  4.  0.]
 [ 0.  4.  0.  0.  1.  0.  0.  0.  1.  0.]
 [ 2.  0. 17.  3.  2.  0.  0.  0.  6.  0.]
 [ 0.  0.  0.  5.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  3.  2.  3.  0.  1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  3.  0.  0.  0.  0.]
 [ 1.  1.  0.  7.  1.  0. 13.  0.  4.  0.]
 [ 0.  0.  0.  1.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  0. 10.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  3.]]",128
9,"['0.7822', '0.9335', '0.8638', '0.7578', '0.1346', '0.7818', '0.0028', '0.8713', '0.8834', '0.7790']","['0.6659', '0.8742', '0.3661', '0.6172', '0.6842', '0.8789', '0.2000', '0.7016', '0.9186', '0.9013']","['0.7822', '0.9335', '0.8638', '0.7578', '0.1346', '0.7818', '0.0028', '0.8713', '0.8834', '0.7790']","['0.7194', '0.9029', '0.5142', '0.6803', '0.2250', '0.8275', '0.0056', '0.7773', '0.9007', '0.8357']","['0.7822', '0.9335', '0.8638', '0.7578', '0.1346', '0.7818', '0.0028', '0.8713', '0.8834', '0.7790']","['0.9565', '0.9853', '0.8365', '0.9476', '0.9934', '0.9877', '0.9987', '0.9584', '0.9913', '0.9903']","[[546, 8, 38, 91, 4, 1, 0, 0, 10, 0], [2, 646, 18, 20, 4, 0, 0, 0, 2, 0], [32, 1, 596, 24, 20, 0, 7, 0, 10, 0], [60, 69, 32, 532, 7, 0, 1, 0, 1, 0], [4, 7, 488, 80, 91, 0, 0, 0, 6, 0], [2, 1, 0, 7, 0, 559, 0, 113, 5, 28], [167, 6, 413, 89, 7, 0, 2, 0, 18, 0], [0, 0, 0, 0, 0, 57, 0, 616, 2, 32], [6, 1, 43, 13, 0, 12, 0, 6, 621, 1], [1, 0, 0, 6, 0, 7, 0, 143, 1, 557]]","[8, 8, 3, 8, 6, 2, 6, 0, 5, 6, 0, 2, 5, 2, 3, 0]","[8, 8, 4, 8, 6, 2, 6, 0, 1, 6, 0, 2, 0, 2, 2, 6]","[[20.  0.  2.  6.  0.  1.  1.  0.  4.  0.]
 [ 0.  4.  0.  0.  1.  1.  0.  0.  1.  0.]
 [ 2.  0. 20.  4.  2.  0.  0.  0.  6.  0.]
 [ 0.  0.  0.  5.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  3.  3.  3.  0.  1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  3.  0.  0.  0.  0.]
 [ 2.  1.  0.  7.  1.  0. 16.  0.  4.  0.]
 [ 0.  0.  0.  1.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  0. 13.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  3.]]",144
