cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label,oracle_confusion_matrix,oracle_iterations,training_loss
0,"['0.7928', '1.0000', '0.0215', '0.0714', '0.0997', '0.0000', '0.0975', '0.4856', '0.0953', '0.0115']","['0.7693', '0.1600', '1.0000', '0.3018', '0.7312', '0.0000', '0.5154', '0.4634', '0.3533', '0.6667']","['0.7928', '1.0000', '0.0215', '0.0714', '0.0997', '0.0000', '0.0975', '0.4856', '0.0953', '0.0115']","['0.7809', '0.2759', '0.0420', '0.1155', '0.1755', '0.0000', '0.1640', '0.4742', '0.1501', '0.0226']","['0.7928', '1.0000', '0.0215', '0.0714', '0.0997', '0.0000', '0.0975', '0.4856', '0.0953', '0.0115']","['0.9740', '0.3347', '1.0000', '0.9812', '0.9960', '1.0000', '0.9900', '0.9346', '0.9812', '0.9994']","[[547, 102, 0, 0, 0, 0, 22, 5, 14, 0], [0, 787, 0, 0, 0, 0, 0, 0, 0, 0], [14, 574, 15, 11, 4, 0, 4, 51, 26, 0], [5, 572, 0, 51, 0, 0, 0, 27, 59, 0], [16, 432, 0, 2, 68, 0, 6, 150, 6, 2], [35, 484, 0, 92, 0, 0, 16, 3, 1, 0], [49, 565, 0, 0, 0, 0, 67, 6, 0, 0], [13, 348, 0, 2, 7, 0, 3, 354, 2, 0], [13, 585, 0, 4, 0, 0, 1, 12, 65, 2], [19, 469, 0, 7, 14, 0, 11, 156, 11, 8]]",-1,-1,-1,-1,2.2187371253967285
1,"['0.9304', '0.9911', '0.6681', '0.1513', '0.3812', '0.0063', '0.1834', '0.6612', '0.3314', '0.0129']","['0.3468', '0.4075', '0.4385', '0.8438', '0.6718', '1.0000', '0.7241', '0.4484', '0.6108', '0.3214']","['0.9304', '0.9911', '0.6681', '0.1513', '0.3812', '0.0063', '0.1834', '0.6612', '0.3314', '0.0129']","['0.5053', '0.5776', '0.5295', '0.2565', '0.4864', '0.0126', '0.2927', '0.5344', '0.4297', '0.0249']","['0.9304', '0.9911', '0.6681', '0.1513', '0.3812', '0.0063', '0.1834', '0.6612', '0.3314', '0.0129']","['0.8083', '0.8174', '0.9050', '0.9968', '0.9799', '1.0000', '0.9924', '0.9054', '0.9772', '0.9970']","[[642, 4, 38, 1, 1, 0, 1, 1, 2, 0], [0, 780, 2, 0, 0, 0, 0, 1, 4, 0], [17, 171, 467, 0, 8, 0, 9, 13, 14, 0], [142, 97, 286, 108, 3, 0, 16, 41, 20, 1], [117, 91, 13, 0, 260, 0, 5, 148, 37, 11], [361, 168, 37, 18, 12, 4, 9, 12, 8, 2], [315, 172, 51, 0, 20, 0, 126, 1, 1, 1], [81, 113, 20, 0, 5, 0, 0, 482, 28, 0], [39, 215, 143, 1, 4, 0, 7, 43, 226, 4], [137, 103, 8, 0, 74, 0, 1, 333, 30, 9]]","[2, 2, 8, 2, 8, 2, 4, 8, 2, 2, 8, 0, 2, 2, 9, 8]","[2, 2, 8, 2, 8, 2, 4, 8, 2, 2, 8, 0, 2, 2, 9, 8]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,1.8211978673934937
2,"['0.9188', '0.9682', '0.6810', '0.3123', '0.4516', '0.7686', '0.7351', '0.7229', '0.5264', '0.2201']","['0.7503', '0.5777', '0.7234', '0.8920', '0.6457', '0.4610', '0.8320', '0.5862', '0.6587', '0.4448']","['0.9188', '0.9682', '0.6810', '0.3123', '0.4516', '0.7686', '0.7351', '0.7229', '0.5264', '0.2201']","['0.8261', '0.7236', '0.7015', '0.4627', '0.5315', '0.5764', '0.7805', '0.6474', '0.5852', '0.2945']","['0.9188', '0.9682', '0.6810', '0.3123', '0.4516', '0.7686', '0.7351', '0.7229', '0.5264', '0.2201']","['0.9665', '0.9103', '0.9711', '0.9957', '0.9732', '0.9109', '0.9838', '0.9406', '0.9705', '0.9697']","[[634, 2, 10, 0, 3, 31, 2, 0, 8, 0], [0, 762, 2, 2, 0, 8, 1, 0, 12, 0], [6, 90, 476, 5, 4, 10, 40, 13, 53, 2], [10, 29, 116, 223, 0, 240, 10, 25, 56, 5], [22, 48, 2, 0, 308, 77, 24, 68, 10, 123], [47, 61, 8, 8, 0, 485, 18, 1, 0, 3], [66, 66, 17, 0, 15, 15, 505, 0, 1, 2], [27, 57, 5, 1, 19, 33, 1, 527, 34, 25], [9, 161, 21, 9, 3, 64, 2, 23, 359, 31], [24, 43, 1, 2, 125, 89, 4, 242, 12, 153]]","[5, 5, 8, 5, 5, 5, 5, 8, 5, 5, 5, 5, 5, 3, 5, 5]","[5, 5, 8, 5, 5, 5, 5, 8, 5, 5, 5, 5, 5, 3, 5, 5]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,1.341874361038208
3,"['0.9536', '0.8844', '0.7454', '0.4860', '0.6862', '0.7607', '0.7817', '0.7846', '0.7493', '0.2978']","['0.7861', '0.8582', '0.7422', '0.8184', '0.5728', '0.6770', '0.8443', '0.6582', '0.6510', '0.5099']","['0.9536', '0.8844', '0.7454', '0.4860', '0.6862', '0.7607', '0.7817', '0.7846', '0.7493', '0.2978']","['0.8618', '0.8711', '0.7438', '0.6098', '0.6244', '0.7164', '0.8118', '0.7159', '0.6967', '0.3760']","['0.9536', '0.8844', '0.7454', '0.4860', '0.6862', '0.7607', '0.7817', '0.7846', '0.7493', '0.2978']","['0.9716', '0.9815', '0.9713', '0.9877', '0.9447', '0.9640', '0.9843', '0.9526', '0.9566', '0.9684']","[[658, 0, 1, 0, 9, 10, 2, 0, 10, 0], [0, 696, 3, 26, 0, 13, 4, 0, 45, 0], [10, 10, 521, 9, 18, 12, 45, 14, 60, 0], [22, 6, 124, 347, 6, 93, 3, 31, 77, 5], [8, 9, 2, 1, 468, 16, 20, 33, 14, 111], [53, 20, 9, 22, 11, 480, 19, 4, 7, 6], [51, 9, 12, 0, 48, 25, 537, 0, 4, 1], [11, 15, 17, 1, 30, 6, 0, 572, 40, 37], [10, 39, 13, 14, 7, 30, 4, 15, 511, 39], [14, 7, 0, 4, 220, 24, 2, 200, 17, 207]]","[7, 4, 0, 8, 2, 3, 6, 4, 2, 7, 4, 2, 8, 8, 8, 8]","[7, 4, 0, 8, 2, 3, 6, 4, 2, 7, 4, 2, 8, 8, 8, 8]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,1.0729138851165771
4,"['0.8304', '0.9276', '0.7539', '0.6877', '0.5630', '0.7559', '0.8705', '0.8285', '0.7581', '0.6086']","['0.9455', '0.8469', '0.7961', '0.7744', '0.7273', '0.7098', '0.8519', '0.6991', '0.6977', '0.5834']","['0.8304', '0.9276', '0.7539', '0.6877', '0.5630', '0.7559', '0.8705', '0.8285', '0.7581', '0.6086']","['0.8843', '0.8854', '0.7744', '0.7285', '0.6347', '0.7322', '0.8611', '0.7583', '0.7266', '0.5958']","['0.8304', '0.9276', '0.7539', '0.6877', '0.5630', '0.7559', '0.8705', '0.8285', '0.7581', '0.6086']","['0.9948', '0.9787', '0.9786', '0.9772', '0.9772', '0.9694', '0.9835', '0.9585', '0.9645', '0.9521']","[[573, 0, 5, 4, 7, 84, 6, 0, 11, 0], [0, 730, 4, 19, 0, 5, 4, 5, 19, 1], [4, 10, 527, 11, 12, 5, 44, 19, 66, 1], [0, 6, 70, 491, 3, 38, 3, 25, 72, 6], [3, 10, 3, 0, 384, 8, 23, 57, 9, 185], [1, 19, 8, 83, 8, 477, 18, 3, 10, 4], [11, 8, 17, 2, 28, 18, 598, 0, 4, 1], [5, 17, 15, 2, 7, 7, 0, 604, 18, 54], [0, 49, 9, 15, 4, 20, 3, 15, 517, 50], [9, 13, 4, 7, 75, 10, 3, 136, 15, 423]]","[7, 9, 0, 8, 3, 2, 6, 7, 2, 3, 7, 3, 8, 9, 7, 7]","[7, 9, 0, 8, 3, 2, 6, 7, 2, 3, 7, 3, 8, 9, 7, 7]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,0.87965989112854
5,"['0.9493', '0.9060', '0.7911', '0.7185', '0.7331', '0.7639', '0.8763', '0.8313', '0.7933', '0.5511']","['0.8887', '0.9332', '0.7968', '0.8438', '0.6676', '0.7812', '0.8384', '0.7584', '0.7545', '0.6459']","['0.9493', '0.9060', '0.7911', '0.7185', '0.7331', '0.7639', '0.8763', '0.8313', '0.7933', '0.5511']","['0.9180', '0.9194', '0.7940', '0.7761', '0.6988', '0.7724', '0.8569', '0.7932', '0.7734', '0.5947']","['0.9493', '0.9060', '0.7911', '0.7185', '0.7331', '0.7639', '0.8763', '0.8313', '0.7933', '0.5511']","['0.9870', '0.9918', '0.9776', '0.9849', '0.9606', '0.9788', '0.9816', '0.9692', '0.9721', '0.9667']","[[655, 0, 3, 1, 3, 17, 3, 0, 8, 0], [0, 713, 4, 7, 0, 11, 4, 25, 22, 1], [8, 1, 553, 4, 18, 9, 49, 17, 40, 0], [5, 2, 75, 513, 3, 37, 3, 20, 51, 5], [5, 3, 2, 0, 500, 8, 18, 18, 7, 121], [20, 4, 9, 65, 3, 482, 33, 2, 12, 1], [20, 0, 11, 0, 33, 18, 602, 0, 3, 0], [11, 12, 19, 2, 15, 6, 0, 606, 17, 41], [5, 22, 15, 9, 5, 21, 5, 18, 541, 41], [8, 7, 3, 7, 169, 8, 1, 93, 16, 383]]","[5, 5, 1, 8, 0, 4, 5, 4, 4, 4, 7, 5, 4, 6, 4, 5]","[5, 5, 1, 8, 0, 4, 5, 4, 4, 4, 7, 5, 4, 6, 4, 5]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,0.7711430191993713
6,"['0.9406', '0.9568', '0.7926', '0.7647', '0.7009', '0.8304', '0.8763', '0.8272', '0.7551', '0.7353']","['0.9338', '0.8986', '0.8523', '0.8694', '0.7199', '0.8062', '0.8892', '0.8541', '0.8047', '0.6026']","['0.9406', '0.9568', '0.7926', '0.7647', '0.7009', '0.8304', '0.8763', '0.8272', '0.7551', '0.7353']","['0.9372', '0.9268', '0.8213', '0.8137', '0.7103', '0.8181', '0.8827', '0.8404', '0.7791', '0.6623']","['0.9406', '0.9568', '0.7926', '0.7647', '0.7009', '0.8304', '0.8763', '0.8272', '0.7551', '0.7353']","['0.9927', '0.9863', '0.9848', '0.9869', '0.9705', '0.9802', '0.9881', '0.9836', '0.9802', '0.9465']","[[649, 0, 2, 1, 5, 22, 3, 0, 8, 0], [0, 753, 4, 0, 0, 2, 4, 7, 13, 4], [5, 10, 554, 7, 25, 7, 34, 20, 35, 2], [1, 7, 54, 546, 4, 40, 2, 10, 39, 11], [1, 4, 1, 0, 478, 2, 9, 5, 1, 181], [4, 9, 3, 51, 7, 524, 18, 3, 8, 4], [21, 1, 10, 0, 28, 21, 602, 0, 4, 0], [7, 11, 11, 5, 10, 6, 0, 603, 13, 63], [1, 37, 10, 10, 5, 22, 5, 5, 515, 72], [6, 6, 1, 8, 102, 4, 0, 53, 4, 511]]","[5, 9, 4, 1, 5, 8, 4, 2, 5, 1, 5, 1, 9, 8, 1, 3]","[5, 9, 4, 1, 5, 8, 4, 2, 5, 1, 5, 1, 9, 8, 1, 3]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,0.750734806060791
7,"['0.8493', '0.9708', '0.8870', '0.7619', '0.7566', '0.8320', '0.8006', '0.7572', '0.7654', '0.6532']","['0.9718', '0.8479', '0.6652', '0.8704', '0.6982', '0.7565', '0.9136', '0.9139', '0.8614', '0.6580']","['0.8493', '0.9708', '0.8870', '0.7619', '0.7566', '0.8320', '0.8006', '0.7572', '0.7654', '0.6532']","['0.9064', '0.9052', '0.7603', '0.8125', '0.7262', '0.7925', '0.8534', '0.8282', '0.8106', '0.6556']","['0.8493', '0.9708', '0.8870', '0.7619', '0.7566', '0.8320', '0.8006', '0.7572', '0.7654', '0.6532']","['0.9973', '0.9779', '0.9505', '0.9871', '0.9647', '0.9734', '0.9918', '0.9917', '0.9867', '0.9625']","[[586, 0, 28, 1, 8, 57, 8, 0, 2, 0], [0, 764, 7, 5, 0, 1, 2, 0, 8, 0], [1, 11, 620, 1, 23, 7, 11, 9, 15, 1], [0, 9, 79, 544, 1, 43, 2, 4, 24, 8], [0, 8, 4, 0, 516, 1, 8, 2, 5, 138], [1, 10, 14, 44, 5, 525, 17, 1, 13, 1], [5, 3, 85, 0, 26, 15, 550, 0, 3, 0], [6, 26, 45, 5, 15, 10, 0, 552, 4, 66], [1, 51, 38, 11, 5, 24, 3, 5, 522, 22], [3, 19, 12, 14, 140, 11, 1, 31, 10, 454]]","[1, 1, 8, 1, 3, 2, 4, 5, 2, 3, 2, 0, 2, 8, 3, 7]","[1, 1, 8, 1, 3, 2, 4, 5, 2, 3, 2, 0, 2, 8, 3, 7]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,0.5752016827464104
8,"['0.9275', '0.9555', '0.8469', '0.7465', '0.6173', '0.8653', '0.9185', '0.7915', '0.8768', '0.8360']","['0.9567', '0.9447', '0.8291', '0.9351', '0.8223', '0.8235', '0.9239', '0.8988', '0.7522', '0.6103']","['0.9275', '0.9555', '0.8469', '0.7465', '0.6173', '0.8653', '0.9185', '0.7915', '0.8768', '0.8360']","['0.9419', '0.9501', '0.8379', '0.8302', '0.7052', '0.8439', '0.9212', '0.8417', '0.8097', '0.7055']","['0.9275', '0.9555', '0.8469', '0.7465', '0.6173', '0.8653', '0.9185', '0.7915', '0.8768', '0.8360']","['0.9954', '0.9929', '0.9806', '0.9941', '0.9856', '0.9816', '0.9918', '0.9896', '0.9688', '0.9411']","[[640, 0, 6, 1, 2, 26, 5, 1, 9, 0], [0, 752, 7, 1, 0, 6, 2, 5, 13, 1], [3, 1, 592, 2, 16, 4, 23, 15, 42, 1], [3, 3, 58, 533, 0, 42, 1, 10, 58, 6], [1, 4, 1, 0, 421, 1, 15, 3, 11, 225], [1, 3, 7, 22, 2, 546, 4, 2, 35, 9], [12, 2, 6, 0, 11, 21, 631, 0, 4, 0], [4, 7, 24, 0, 4, 2, 0, 577, 11, 100], [1, 18, 11, 8, 2, 12, 1, 2, 598, 29], [4, 6, 2, 3, 54, 3, 1, 27, 14, 581]]","[8, 9, 5, 0, 9, 5, 3, 3, 9, 4, 5, 8, 9, 1, 5, 0]","[8, 9, 5, 0, 9, 5, 3, 3, 9, 4, 5, 8, 9, 1, 5, 0]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,0.5624390095472336
9,"['0.9319', '0.9797', '0.8383', '0.7899', '0.6774', '0.9128', '0.9098', '0.8971', '0.8402', '0.7842']","['0.9669', '0.9157', '0.8852', '0.9400', '0.8235', '0.8446', '0.9328', '0.8439', '0.8128', '0.6535']","['0.9319', '0.9797', '0.8383', '0.7899', '0.6774', '0.9128', '0.9098', '0.8971', '0.8402', '0.7842']","['0.9491', '0.9466', '0.8611', '0.8584', '0.7434', '0.8774', '0.9211', '0.8697', '0.8262', '0.7129']","['0.9319', '0.9797', '0.8383', '0.7899', '0.6774', '0.9128', '0.9098', '0.8971', '0.8402', '0.7842']","['0.9965', '0.9886', '0.9879', '0.9943', '0.9843', '0.9833', '0.9929', '0.9807', '0.9791', '0.9541']","[[643, 0, 4, 2, 4, 23, 7, 4, 3, 0], [0, 771, 6, 0, 0, 1, 2, 2, 4, 1], [2, 6, 586, 2, 10, 2, 17, 26, 47, 1], [2, 7, 32, 564, 0, 40, 1, 16, 47, 5], [1, 3, 4, 0, 462, 1, 9, 7, 1, 194], [1, 8, 3, 15, 2, 576, 6, 2, 16, 2], [8, 2, 9, 0, 16, 23, 625, 0, 4, 0], [3, 7, 9, 1, 4, 1, 0, 654, 1, 49], [1, 30, 6, 11, 4, 14, 1, 5, 573, 37], [4, 8, 3, 5, 59, 1, 2, 59, 9, 545]]","[2, 1, 2, 0, 3, 2, 7, 2, 9, 5, 2, 9, 5, 3, 7, 2]","[2, 1, 2, 0, 3, 2, 7, 2, 9, 5, 2, 9, 5, 3, 7, 2]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,0.6126773059368134
