cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label,oracle_confusion_matrix,oracle_iterations,training_loss
0,"['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000', '0.0000']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1000', '0.0000']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000', '0.0000']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1818', '0.0000']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000', '0.0000']","['1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.0000', '1.0000']","[[0, 0, 0, 0, 0, 0, 0, 0, 600, 0], [0, 0, 0, 0, 0, 0, 0, 0, 600, 0], [0, 0, 0, 0, 0, 0, 0, 0, 600, 0], [0, 0, 0, 0, 0, 0, 0, 0, 600, 0], [0, 0, 0, 0, 0, 0, 0, 0, 600, 0], [0, 0, 0, 0, 0, 0, 0, 0, 600, 0], [0, 0, 0, 0, 0, 0, 0, 0, 600, 0], [0, 0, 0, 0, 0, 0, 0, 0, 600, 0], [0, 0, 0, 0, 0, 0, 0, 0, 600, 0], [0, 0, 0, 0, 0, 0, 0, 0, 600, 0]]",-1,-1,-1,-1,2.3070614337921143
1,"['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000', '0.0000']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1000', '0.0000']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000', '0.0000']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1819', '0.0000']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000', '0.0000']","['1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.9996', '1.0000', '1.0000', '0.0004', '1.0000']","[[0, 0, 0, 0, 0, 0, 0, 0, 600, 0], [0, 0, 0, 0, 0, 0, 0, 0, 600, 0], [0, 0, 0, 0, 0, 1, 0, 0, 599, 0], [0, 0, 0, 0, 0, 0, 0, 0, 600, 0], [0, 0, 0, 0, 0, 0, 0, 0, 600, 0], [0, 0, 0, 0, 0, 0, 0, 0, 600, 0], [0, 0, 0, 0, 0, 0, 0, 0, 600, 0], [0, 0, 0, 0, 0, 1, 0, 0, 599, 0], [0, 0, 0, 0, 0, 0, 0, 0, 600, 0], [0, 0, 0, 0, 0, 0, 0, 0, 600, 0]]","[3, 3, 5, 3, 1, 9, 5, 7, 0, 7, 8, 3, 5, 5, 8, 0]","[3, 3, 5, 3, 1, 9, 5, 7, 0, 7, 8, 3, 5, 5, 8, 0]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.3028132915496826
2,"['0.0000', '0.0300', '0.0000', '0.0000', '0.0000', '0.0633', '0.0000', '0.0000', '0.9933', '0.0000']","['0.0000', '0.3529', '0.0000', '0.0000', '0.0000', '0.2734', '0.0000', '0.0000', '0.1026', '0.0000']","['0.0000', '0.0300', '0.0000', '0.0000', '0.0000', '0.0633', '0.0000', '0.0000', '0.9933', '0.0000']","['0.0000', '0.0553', '0.0000', '0.0000', '0.0000', '0.1028', '0.0000', '0.0000', '0.1860', '0.0000']","['0.0000', '0.0300', '0.0000', '0.0000', '0.0000', '0.0633', '0.0000', '0.0000', '0.9933', '0.0000']","['1.0000', '0.9939', '1.0000', '1.0000', '1.0000', '0.9813', '1.0000', '1.0000', '0.0344', '1.0000']","[[0, 4, 0, 0, 0, 5, 0, 0, 591, 0], [0, 18, 0, 0, 0, 11, 0, 0, 571, 0], [0, 0, 0, 0, 0, 11, 0, 0, 589, 0], [0, 3, 0, 0, 0, 21, 0, 0, 576, 0], [0, 4, 0, 0, 0, 8, 0, 0, 588, 0], [0, 3, 0, 0, 0, 38, 0, 0, 559, 0], [0, 3, 0, 0, 0, 11, 0, 0, 586, 0], [0, 5, 0, 0, 0, 24, 0, 0, 571, 0], [0, 1, 0, 0, 0, 3, 0, 0, 596, 0], [0, 10, 0, 0, 0, 7, 0, 0, 583, 0]]","[4, 4, 9, 1, 9, 1, 4, 0, 4, 1, 7, 1, 4, 2, 1, 4]","[4, 4, 9, 1, 9, 1, 4, 0, 4, 1, 7, 1, 4, 2, 1, 4]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2988388538360596
3,"['0.0000', '0.6517', '0.0000', '0.0000', '0.0000', '0.0933', '0.0000', '0.0000', '0.6833', '0.0000']","['0.0000', '0.1254', '0.0000', '0.0000', '0.0000', '0.4088', '0.0000', '0.0000', '0.1493', '0.0000']","['0.0000', '0.6517', '0.0000', '0.0000', '0.0000', '0.0933', '0.0000', '0.0000', '0.6833', '0.0000']","['0.0000', '0.2104', '0.0000', '0.0000', '0.0000', '0.1520', '0.0000', '0.0000', '0.2451', '0.0000']","['0.0000', '0.6517', '0.0000', '0.0000', '0.0000', '0.0933', '0.0000', '0.0000', '0.6833', '0.0000']","['1.0000', '0.4952', '1.0000', '1.0000', '1.0000', '0.9850', '1.0000', '1.0000', '0.5674', '1.0000']","[[0, 192, 0, 0, 0, 2, 0, 0, 406, 0], [0, 391, 0, 0, 0, 3, 0, 0, 206, 0], [0, 239, 0, 0, 0, 6, 0, 0, 355, 0], [0, 315, 0, 0, 0, 28, 0, 0, 257, 0], [0, 321, 0, 0, 0, 9, 0, 0, 270, 0], [0, 293, 0, 0, 0, 56, 0, 0, 251, 0], [0, 423, 0, 0, 0, 2, 0, 0, 175, 0], [0, 352, 0, 0, 0, 14, 0, 0, 234, 0], [0, 183, 0, 0, 0, 7, 0, 0, 410, 0], [0, 408, 0, 0, 0, 10, 0, 0, 182, 0]]","[6, 2, 7, 9, 2, 7, 9, 7, 1, 9, 6, 7, 7, 1, 1, 1]","[6, 2, 7, 9, 2, 7, 9, 7, 1, 9, 6, 7, 7, 1, 1, 1]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2990524768829346
4,"['0.0000', '0.9817', '0.0000', '0.0000', '0.0000', '0.0967', '0.0000', '0.0000', '0.1467', '0.0000']","['0.0000', '0.1060', '0.0000', '0.0000', '0.0000', '0.4567', '0.0000', '0.0000', '0.2776', '0.0000']","['0.0000', '0.9817', '0.0000', '0.0000', '0.0000', '0.0967', '0.0000', '0.0000', '0.1467', '0.0000']","['0.0000', '0.1914', '0.0000', '0.0000', '0.0000', '0.1596', '0.0000', '0.0000', '0.1919', '0.0000']","['0.0000', '0.9817', '0.0000', '0.0000', '0.0000', '0.0967', '0.0000', '0.0000', '0.1467', '0.0000']","['1.0000', '0.0802', '1.0000', '1.0000', '1.0000', '0.9872', '1.0000', '1.0000', '0.9576', '1.0000']","[[0, 493, 0, 0, 0, 1, 0, 0, 106, 0], [0, 589, 0, 0, 0, 3, 0, 0, 8, 0], [0, 542, 0, 0, 0, 7, 0, 0, 51, 0], [0, 556, 0, 0, 0, 30, 0, 0, 14, 0], [0, 574, 0, 0, 0, 5, 0, 0, 21, 0], [0, 527, 0, 0, 0, 58, 0, 0, 15, 0], [0, 596, 0, 0, 0, 3, 0, 0, 1, 0], [0, 578, 0, 0, 0, 13, 0, 0, 9, 0], [0, 508, 0, 0, 0, 4, 0, 0, 88, 0], [0, 593, 0, 0, 0, 3, 0, 0, 4, 0]]","[7, 5, 7, 6, 0, 0, 7, 4, 5, 2, 5, 0, 6, 2, 7, 3]","[7, 5, 7, 6, 0, 0, 7, 4, 5, 2, 5, 0, 6, 2, 7, 3]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.295173406600952
5,"['0.0000', '0.9967', '0.0000', '0.0000', '0.0000', '0.0800', '0.0000', '0.0000', '0.0000', '0.0000']","['0.0000', '0.1017', '0.0000', '0.0000', '0.0000', '0.4324', '0.0000', '0.0000', '0.0000', '0.0000']","['0.0000', '0.9967', '0.0000', '0.0000', '0.0000', '0.0800', '0.0000', '0.0000', '0.0000', '0.0000']","['0.0000', '0.1846', '0.0000', '0.0000', '0.0000', '0.1350', '0.0000', '0.0000', '0.0000', '0.0000']","['0.0000', '0.9967', '0.0000', '0.0000', '0.0000', '0.0800', '0.0000', '0.0000', '0.0000', '0.0000']","['1.0000', '0.0219', '1.0000', '1.0000', '1.0000', '0.9883', '1.0000', '1.0000', '0.9983', '1.0000']","[[0, 590, 0, 0, 0, 2, 0, 0, 8, 0], [0, 598, 0, 0, 0, 2, 0, 0, 0, 0], [0, 595, 0, 0, 0, 5, 0, 0, 0, 0], [0, 572, 0, 0, 0, 28, 0, 0, 0, 0], [0, 594, 0, 0, 0, 6, 0, 0, 0, 0], [0, 552, 0, 0, 0, 48, 0, 0, 0, 0], [0, 598, 0, 0, 0, 2, 0, 0, 0, 0], [0, 586, 0, 0, 0, 13, 0, 0, 1, 0], [0, 597, 0, 0, 0, 3, 0, 0, 0, 0], [0, 598, 0, 0, 0, 2, 0, 0, 0, 0]]","[7, 2, 4, 7, 7, 5, 4, 3, 2, 3, 5, 3, 3, 3, 5, 3]","[7, 2, 4, 7, 7, 5, 4, 3, 2, 3, 5, 3, 3, 3, 5, 3]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2919020652770996
6,"['0.0000', '0.9817', '0.0000', '0.0000', '0.0000', '0.1533', '0.0000', '0.0333', '0.0000', '0.0000']","['0.0000', '0.1047', '0.0000', '0.0000', '0.0000', '0.3026', '0.0000', '0.2857', '0.0000', '0.0000']","['0.0000', '0.9817', '0.0000', '0.0000', '0.0000', '0.1533', '0.0000', '0.0333', '0.0000', '0.0000']","['0.0000', '0.1892', '0.0000', '0.0000', '0.0000', '0.2035', '0.0000', '0.0597', '0.0000', '0.0000']","['0.0000', '0.9817', '0.0000', '0.0000', '0.0000', '0.1533', '0.0000', '0.0333', '0.0000', '0.0000']","['1.0000', '0.0674', '1.0000', '1.0000', '1.0000', '0.9607', '1.0000', '0.9907', '0.9998', '1.0000']","[[0, 548, 0, 0, 0, 43, 0, 8, 1, 0], [0, 589, 0, 0, 0, 5, 0, 6, 0, 0], [0, 559, 0, 0, 0, 34, 0, 7, 0, 0], [0, 539, 0, 0, 0, 52, 0, 9, 0, 0], [0, 574, 0, 0, 0, 20, 0, 6, 0, 0], [0, 499, 0, 0, 0, 92, 0, 9, 0, 0], [0, 590, 0, 0, 0, 7, 0, 3, 0, 0], [0, 547, 0, 0, 0, 33, 0, 20, 0, 0], [0, 584, 0, 0, 0, 15, 0, 1, 0, 0], [0, 596, 0, 0, 0, 3, 0, 1, 0, 0]]","[2, 3, 2, 5, 2, 2, 0, 0, 4, 2, 3, 4, 5, 0, 2, 4]","[2, 3, 2, 5, 2, 2, 0, 0, 4, 2, 3, 4, 5, 0, 2, 4]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2917356491088867
7,"['0.0000', '0.9233', '0.0000', '0.0000', '0.0000', '0.2667', '0.0000', '0.3133', '0.0000', '0.0000']","['0.0000', '0.1272', '0.0000', '0.0000', '0.0000', '0.2273', '0.0000', '0.2002', '0.0000', '0.0000']","['0.0000', '0.9233', '0.0000', '0.0000', '0.0000', '0.2667', '0.0000', '0.3133', '0.0000', '0.0000']","['0.0000', '0.2235', '0.0000', '0.0000', '0.0000', '0.2454', '0.0000', '0.2443', '0.0000', '0.0000']","['0.0000', '0.9233', '0.0000', '0.0000', '0.0000', '0.2667', '0.0000', '0.3133', '0.0000', '0.0000']","['1.0000', '0.2957', '1.0000', '1.0000', '1.0000', '0.8993', '1.0000', '0.8609', '1.0000', '1.0000']","[[0, 450, 0, 0, 0, 118, 0, 32, 0, 0], [0, 554, 0, 0, 0, 20, 0, 26, 0, 0], [0, 404, 0, 0, 0, 74, 0, 122, 0, 0], [0, 404, 0, 0, 0, 95, 0, 101, 0, 0], [0, 399, 0, 0, 0, 63, 0, 138, 0, 0], [0, 294, 0, 0, 0, 160, 0, 146, 0, 0], [0, 432, 0, 0, 0, 28, 0, 140, 0, 0], [0, 356, 0, 0, 0, 56, 0, 188, 0, 0], [0, 511, 0, 0, 0, 80, 0, 9, 0, 0], [0, 553, 0, 0, 0, 10, 0, 37, 0, 0]]","[2, 7, 2, 3, 4, 3, 2, 2, 2, 5, 0, 2, 2, 2, 4, 4]","[2, 7, 2, 3, 4, 3, 2, 2, 2, 5, 0, 2, 2, 2, 4, 4]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2926523685455322
8,"['0.0000', '0.8033', '0.0000', '0.0000', '0.0000', '0.2767', '0.0000', '0.5550', '0.0000', '0.0000']","['0.0000', '0.1590', '0.0000', '0.0000', '0.0000', '0.1736', '0.0000', '0.1656', '0.0000', '0.0000']","['0.0000', '0.8033', '0.0000', '0.0000', '0.0000', '0.2767', '0.0000', '0.5550', '0.0000', '0.0000']","['0.0000', '0.2654', '0.0000', '0.0000', '0.0000', '0.2134', '0.0000', '0.2551', '0.0000', '0.0000']","['0.0000', '0.8033', '0.0000', '0.0000', '0.0000', '0.2767', '0.0000', '0.5550', '0.0000', '0.0000']","['1.0000', '0.5278', '1.0000', '1.0000', '0.9998', '0.8537', '1.0000', '0.6893', '1.0000', '1.0000']","[[0, 327, 0, 0, 1, 190, 0, 82, 0, 0], [0, 482, 0, 0, 0, 40, 0, 78, 0, 0], [0, 247, 0, 0, 0, 102, 0, 251, 0, 0], [0, 231, 0, 0, 0, 129, 0, 240, 0, 0], [0, 247, 0, 0, 0, 73, 0, 280, 0, 0], [0, 142, 0, 0, 0, 166, 0, 292, 0, 0], [0, 238, 0, 0, 0, 42, 0, 320, 0, 0], [0, 207, 0, 0, 0, 60, 0, 333, 0, 0], [0, 440, 0, 0, 0, 130, 0, 30, 0, 0], [0, 471, 0, 0, 0, 24, 0, 105, 0, 0]]","[0, 4, 2, 4, 5, 3, 5, 3, 2, 0, 2, 2, 6, 8, 2, 4]","[0, 4, 2, 4, 5, 3, 5, 3, 2, 0, 2, 2, 6, 8, 2, 4]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2929303646087646
9,"['0.0000', '0.5483', '0.0000', '0.0000', '0.0000', '0.2167', '0.0000', '0.8150', '0.0083', '0.0000']","['0.0000', '0.2031', '0.0000', '0.0000', '0.0000', '0.1489', '0.0000', '0.1397', '0.8333', '0.0000']","['0.0000', '0.5483', '0.0000', '0.0000', '0.0000', '0.2167', '0.0000', '0.8150', '0.0083', '0.0000']","['0.0000', '0.2964', '0.0000', '0.0000', '0.0000', '0.1765', '0.0000', '0.2385', '0.0165', '0.0000']","['0.0000', '0.5483', '0.0000', '0.0000', '0.0000', '0.2167', '0.0000', '0.8150', '0.0083', '0.0000']","['1.0000', '0.7609', '1.0000', '1.0000', '1.0000', '0.8624', '1.0000', '0.4422', '0.9998', '1.0000']","[[0, 216, 0, 0, 0, 186, 0, 197, 1, 0], [0, 329, 0, 0, 0, 67, 0, 204, 0, 0], [0, 83, 0, 0, 0, 89, 0, 428, 0, 0], [0, 68, 0, 0, 0, 95, 0, 437, 0, 0], [0, 91, 0, 0, 0, 59, 0, 450, 0, 0], [0, 30, 0, 0, 0, 130, 0, 440, 0, 0], [0, 64, 0, 0, 0, 21, 0, 515, 0, 0], [0, 70, 0, 0, 0, 41, 0, 489, 0, 0], [0, 341, 0, 0, 0, 159, 0, 95, 5, 0], [0, 328, 0, 0, 0, 26, 0, 246, 0, 0]]","[0, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 0, 8, 6, 0, 8]","[0, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 0, 8, 6, 0, 8]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.261896848678589
