cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label,oracle_confusion_matrix,oracle_iterations,training_loss
0,"['0.0000', '1.0000', '0.0000', '0.0000', '0.0000', '0.0014', '0.0000', '0.0000', '0.0000', '0.0000']","['0.0000', '0.1004', '0.0000', '0.0000', '0.0000', '0.0357', '0.0000', '0.0000', '0.0000', '0.0000']","['0.0000', '1.0000', '0.0000', '0.0000', '0.0000', '0.0014', '0.0000', '0.0000', '0.0000', '0.0000']","['0.0000', '0.1825', '0.0000', '0.0000', '0.0000', '0.0027', '0.0000', '0.0000', '0.0000', '0.0000']","['0.0000', '1.0000', '0.0000', '0.0000', '0.0000', '0.0014', '0.0000', '0.0000', '0.0000', '0.0000']","['1.0000', '0.0046', '1.0000', '1.0000', '0.9998', '0.9957', '1.0000', '1.0000', '1.0000', '1.0000']","[[0, 700, 0, 0, 0, 0, 0, 0, 0, 0], [0, 700, 0, 0, 0, 0, 0, 0, 0, 0], [0, 700, 0, 0, 0, 0, 0, 0, 0, 0], [0, 700, 0, 0, 0, 0, 0, 0, 0, 0], [0, 700, 0, 0, 0, 0, 0, 0, 0, 0], [0, 699, 0, 0, 0, 1, 0, 0, 0, 0], [0, 700, 0, 0, 0, 0, 0, 0, 0, 0], [0, 674, 0, 0, 1, 25, 0, 0, 0, 0], [0, 700, 0, 0, 0, 0, 0, 0, 0, 0], [0, 698, 0, 0, 0, 2, 0, 0, 0, 0]]",-1,-1,-1,-1,2.299999713897705
1,"['0.0000', '1.0000', '0.0000', '0.0000', '0.0000', '0.7900', '0.0000', '0.0000', '0.0000', '0.0000']","['0.0000', '0.1355', '0.0000', '0.0000', '0.0000', '0.3155', '0.0000', '0.0000', '0.0000', '0.0000']","['0.0000', '1.0000', '0.0000', '0.0000', '0.0000', '0.7900', '0.0000', '0.0000', '0.0000', '0.0000']","['0.0000', '0.2387', '0.0000', '0.0000', '0.0000', '0.4509', '0.0000', '0.0000', '0.0000', '0.0000']","['0.0000', '1.0000', '0.0000', '0.0000', '0.0000', '0.7900', '0.0000', '0.0000', '0.0000', '0.0000']","['1.0000', '0.2913', '1.0000', '1.0000', '0.9870', '0.8095', '1.0000', '1.0000', '1.0000', '1.0000']","[[0, 697, 0, 0, 0, 3, 0, 0, 0, 0], [0, 700, 0, 0, 0, 0, 0, 0, 0, 0], [0, 692, 0, 0, 0, 8, 0, 0, 0, 0], [0, 700, 0, 0, 0, 0, 0, 0, 0, 0], [0, 695, 0, 0, 0, 5, 0, 0, 0, 0], [0, 147, 0, 0, 0, 553, 0, 0, 0, 0], [0, 688, 0, 0, 1, 11, 0, 0, 0, 0], [0, 10, 0, 0, 0, 690, 0, 0, 0, 0], [0, 508, 0, 0, 81, 111, 0, 0, 0, 0], [0, 328, 0, 0, 0, 372, 0, 0, 0, 0]]","[8, 8, 8, 7, 8, 8, 8, 5, 8, 7, 8, 2, 8, 7, 8, 8]","[8, 8, 8, 7, 8, 8, 8, 5, 8, 7, 8, 2, 8, 7, 8, 8]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.297729969024658
2,"['0.0000', '0.9957', '0.0000', '0.0000', '0.0257', '0.9871', '0.0000', '0.0000', '0.0000', '0.0000']","['0.0000', '0.1740', '0.0000', '0.0000', '0.0608', '0.2571', '0.0000', '0.0000', '0.0000', '0.0000']","['0.0000', '0.9957', '0.0000', '0.0000', '0.0257', '0.9871', '0.0000', '0.0000', '0.0000', '0.0000']","['0.0000', '0.2962', '0.0000', '0.0000', '0.0361', '0.4079', '0.0000', '0.0000', '0.0000', '0.0000']","['0.0000', '0.9957', '0.0000', '0.0000', '0.0257', '0.9871', '0.0000', '0.0000', '0.0000', '0.0000']","['0.9984', '0.4748', '1.0000', '1.0000', '0.9559', '0.6830', '1.0000', '1.0000', '1.0000', '1.0000']","[[0, 647, 0, 0, 5, 48, 0, 0, 0, 0], [0, 697, 0, 0, 0, 3, 0, 0, 0, 0], [1, 606, 0, 0, 8, 85, 0, 0, 0, 0], [0, 676, 0, 0, 0, 24, 0, 0, 0, 0], [0, 652, 0, 0, 18, 30, 0, 0, 0, 0], [0, 9, 0, 0, 0, 691, 0, 0, 0, 0], [0, 584, 0, 0, 9, 107, 0, 0, 0, 0], [0, 0, 0, 0, 0, 700, 0, 0, 0, 0], [4, 78, 0, 0, 256, 362, 0, 0, 0, 0], [5, 57, 0, 0, 0, 638, 0, 0, 0, 0]]","[8, 8, 8, 8, 8, 8, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8]","[8, 8, 8, 8, 8, 8, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.296802043914795
3,"['0.3086', '0.8986', '0.0000', '0.0000', '0.7029', '1.0000', '0.0000', '0.0000', '0.0000', '0.0000']","['0.7013', '0.3576', '0.0000', '0.0000', '0.3410', '0.2006', '0.0000', '0.0000', '0.0000', '0.0000']","['0.3086', '0.8986', '0.0000', '0.0000', '0.7029', '1.0000', '0.0000', '0.0000', '0.0000', '0.0000']","['0.4286', '0.5116', '0.0000', '0.0000', '0.4592', '0.3341', '0.0000', '0.0000', '0.0000', '0.0000']","['0.3086', '0.8986', '0.0000', '0.0000', '0.7029', '1.0000', '0.0000', '0.0000', '0.0000', '0.0000']","['0.9854', '0.8206', '1.0000', '1.0000', '0.8490', '0.5571', '1.0000', '1.0000', '1.0000', '1.0000']","[[216, 300, 0, 0, 37, 147, 0, 0, 0, 0], [0, 629, 0, 0, 6, 65, 0, 0, 0, 0], [20, 64, 0, 0, 399, 217, 0, 0, 0, 0], [1, 506, 0, 0, 34, 159, 0, 0, 0, 0], [3, 91, 0, 0, 492, 114, 0, 0, 0, 0], [0, 0, 0, 0, 0, 700, 0, 0, 0, 0], [58, 164, 0, 0, 258, 220, 0, 0, 0, 0], [0, 0, 0, 0, 0, 700, 0, 0, 0, 0], [10, 5, 0, 0, 217, 468, 0, 0, 0, 0], [0, 0, 0, 0, 0, 700, 0, 0, 0, 0]]","[8, 6, 8, 2, 2, 2, 4, 2, 8, 6, 8, 2, 0, 2, 8, 8]","[8, 6, 8, 2, 2, 2, 4, 2, 8, 6, 8, 2, 0, 2, 8, 8]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2831430435180664
4,"['0.6929', '0.7771', '0.0000', '0.0000', '0.6100', '1.0000', '0.0000', '0.0000', '0.0600', '0.0000']","['0.4163', '0.6650', '0.0000', '0.0000', '0.4215', '0.1767', '0.0000', '0.0000', '0.9767', '0.0000']","['0.6929', '0.7771', '0.0000', '0.0000', '0.6100', '1.0000', '0.0000', '0.0000', '0.0600', '0.0000']","['0.5201', '0.7167', '0.0000', '0.0000', '0.4985', '0.3004', '0.0000', '0.0000', '0.1131', '0.0000']","['0.6929', '0.7771', '0.0000', '0.0000', '0.6100', '1.0000', '0.0000', '0.0000', '0.0600', '0.0000']","['0.8921', '0.9565', '1.0000', '1.0000', '0.9070', '0.4824', '1.0000', '1.0000', '0.9998', '1.0000']","[[485, 38, 0, 0, 18, 158, 0, 0, 1, 0], [14, 544, 0, 0, 2, 140, 0, 0, 0, 0], [125, 1, 0, 0, 299, 275, 0, 0, 0, 0], [184, 212, 0, 0, 23, 281, 0, 0, 0, 0], [88, 7, 0, 0, 427, 178, 0, 0, 0, 0], [0, 0, 0, 0, 0, 700, 0, 0, 0, 0], [250, 15, 0, 0, 185, 250, 0, 0, 0, 0], [0, 0, 0, 0, 0, 700, 0, 0, 0, 0], [16, 1, 0, 0, 59, 582, 0, 0, 42, 0], [3, 0, 0, 0, 0, 697, 0, 0, 0, 0]]","[0, 0, 2, 0, 4, 0, 2, 2, 2, 6, 0, 0, 2, 0, 6, 2]","[0, 0, 2, 0, 4, 0, 2, 2, 2, 6, 0, 0, 2, 0, 6, 2]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2669999599456787
5,"['0.7086', '0.4929', '0.2300', '0.0000', '0.4129', '0.9943', '0.0000', '0.0000', '0.6614', '0.0000']","['0.3866', '0.9583', '0.4835', '0.0000', '0.4707', '0.1835', '0.0000', '0.0000', '0.7504', '0.0000']","['0.7086', '0.4929', '0.2300', '0.0000', '0.4129', '0.9943', '0.0000', '0.0000', '0.6614', '0.0000']","['0.5003', '0.6509', '0.3117', '0.0000', '0.4399', '0.3098', '0.0000', '0.0000', '0.7031', '0.0000']","['0.7086', '0.4929', '0.2300', '0.0000', '0.4129', '0.9943', '0.0000', '0.0000', '0.6614', '0.0000']","['0.8751', '0.9976', '0.9727', '1.0000', '0.9484', '0.5084', '1.0000', '1.0000', '0.9756', '1.0000']","[[496, 2, 17, 0, 7, 160, 0, 0, 18, 0], [50, 345, 4, 0, 2, 299, 0, 0, 0, 0], [84, 0, 161, 0, 156, 270, 0, 0, 29, 0], [338, 13, 0, 0, 13, 327, 0, 0, 9, 0], [80, 0, 88, 0, 289, 180, 0, 0, 63, 0], [0, 0, 0, 0, 0, 696, 0, 0, 4, 0], [225, 0, 49, 0, 137, 276, 0, 0, 13, 0], [0, 0, 0, 0, 0, 695, 0, 0, 5, 0], [9, 0, 14, 0, 10, 204, 0, 0, 463, 0], [1, 0, 0, 0, 0, 686, 0, 0, 13, 0]]","[6, 2, 2, 2, 2, 6, 3, 4, 1, 2, 6, 3, 4, 2, 2, 2]","[6, 2, 2, 2, 2, 6, 3, 4, 1, 2, 6, 3, 4, 2, 2, 2]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2531116008758545
6,"['0.5286', '0.0557', '0.5100', '0.0000', '0.0300', '0.9571', '0.0000', '0.0000', '0.8514', '0.0000']","['0.4660', '1.0000', '0.3577', '0.0000', '0.3962', '0.2060', '0.0000', '0.0000', '0.3199', '0.0000']","['0.5286', '0.0557', '0.5100', '0.0000', '0.0300', '0.9571', '0.0000', '0.0000', '0.8514', '0.0000']","['0.4953', '0.1055', '0.4205', '0.0000', '0.0558', '0.3390', '0.0000', '0.0000', '0.4651', '0.0000']","['0.5286', '0.0557', '0.5100', '0.0000', '0.0300', '0.9571', '0.0000', '0.0000', '0.8514', '0.0000']","['0.9327', '1.0000', '0.8983', '1.0000', '0.9949', '0.5900', '1.0000', '1.0000', '0.7989', '1.0000']","[[370, 0, 99, 0, 2, 169, 0, 0, 60, 0], [87, 39, 14, 0, 0, 547, 0, 0, 13, 0], [1, 0, 357, 0, 10, 173, 0, 0, 159, 0], [205, 0, 13, 0, 6, 336, 0, 0, 140, 0], [14, 0, 260, 0, 21, 92, 0, 0, 313, 0], [0, 0, 0, 0, 0, 670, 0, 0, 30, 0], [116, 0, 226, 0, 14, 216, 0, 0, 128, 0], [0, 0, 0, 0, 0, 593, 0, 0, 107, 0], [1, 0, 29, 0, 0, 74, 0, 0, 596, 0], [0, 0, 0, 0, 0, 383, 0, 0, 317, 0]]","[3, 4, 4, 4, 3, 4, 2, 0, 4, 4, 4, 4, 4, 6, 3, 4]","[3, 4, 4, 4, 3, 4, 2, 0, 4, 4, 4, 4, 4, 6, 3, 4]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.235761880874634
7,"['0.3757', '0.1643', '0.6186', '0.0000', '0.0000', '0.7614', '0.0000', '0.0000', '0.9186', '0.0000']","['0.2893', '1.0000', '0.2908', '0.0000', '0.0000', '0.3186', '0.0000', '0.0000', '0.2285', '0.0000']","['0.3757', '0.1643', '0.6186', '0.0000', '0.0000', '0.7614', '0.0000', '0.0000', '0.9186', '0.0000']","['0.3269', '0.2822', '0.3956', '0.0000', '0.0000', '0.4492', '0.0000', '0.0000', '0.3660', '0.0000']","['0.3757', '0.1643', '0.6186', '0.0000', '0.0000', '0.7614', '0.0000', '0.0000', '0.9186', '0.0000']","['0.8975', '1.0000', '0.8324', '1.0000', '1.0000', '0.8190', '1.0000', '1.0000', '0.6554', '1.0000']","[[263, 0, 235, 0, 0, 124, 0, 0, 78, 0], [301, 115, 24, 0, 0, 242, 0, 0, 18, 0], [1, 0, 433, 0, 0, 70, 0, 0, 196, 0], [245, 0, 66, 0, 0, 163, 0, 0, 226, 0], [9, 0, 394, 0, 0, 44, 0, 0, 253, 0], [0, 0, 0, 0, 0, 533, 0, 0, 167, 0], [89, 0, 304, 0, 0, 131, 0, 0, 176, 0], [0, 0, 0, 0, 0, 253, 0, 0, 447, 0], [0, 0, 33, 0, 0, 24, 0, 0, 643, 0], [1, 0, 0, 0, 0, 89, 0, 0, 610, 0]]","[0, 0, 6, 3, 0, 3, 1, 3, 0, 4, 3, 3, 3, 4, 6, 6]","[0, 0, 6, 3, 0, 3, 1, 3, 0, 4, 3, 3, 3, 4, 6, 6]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2119596004486084
8,"['0.5500', '0.6743', '0.4314', '0.0000', '0.0243', '0.7229', '0.0000', '0.0000', '0.9429', '0.0000']","['0.3789', '0.9692', '0.3516', '0.0000', '0.4250', '0.3691', '0.0000', '0.0000', '0.2045', '0.0000']","['0.5500', '0.6743', '0.4314', '0.0000', '0.0243', '0.7229', '0.0000', '0.0000', '0.9429', '0.0000']","['0.4487', '0.7953', '0.3874', '0.0000', '0.0459', '0.4887', '0.0000', '0.0000', '0.3361', '0.0000']","['0.5500', '0.6743', '0.4314', '0.0000', '0.0243', '0.7229', '0.0000', '0.0000', '0.9429', '0.0000']","['0.8998', '0.9976', '0.9116', '1.0000', '0.9963', '0.8627', '1.0000', '1.0000', '0.5925', '1.0000']","[[385, 0, 126, 0, 5, 114, 0, 0, 70, 0], [101, 472, 15, 0, 0, 92, 0, 0, 20, 0], [1, 0, 302, 0, 0, 67, 0, 0, 330, 0], [376, 15, 35, 0, 13, 146, 0, 0, 115, 0], [27, 0, 163, 0, 17, 43, 0, 0, 450, 0], [0, 0, 0, 0, 0, 506, 0, 0, 194, 0], [125, 0, 200, 0, 4, 133, 0, 0, 238, 0], [0, 0, 0, 0, 0, 189, 0, 0, 511, 0], [0, 0, 18, 0, 1, 21, 0, 0, 660, 0], [1, 0, 0, 0, 0, 60, 0, 0, 639, 0]]","[0, 3, 1, 0, 1, 0, 4, 6, 1, 3, 3, 3, 3, 4, 0, 4]","[0, 3, 1, 0, 1, 0, 4, 6, 1, 3, 3, 3, 3, 4, 0, 4]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2160528898239136
9,"['0.5929', '0.7729', '0.1529', '0.4043', '0.0586', '0.6586', '0.0000', '0.0000', '0.9629', '0.0000']","['0.5149', '0.9296', '0.4053', '0.8348', '0.3254', '0.3971', '0.0000', '0.0000', '0.1811', '0.0000']","['0.5929', '0.7729', '0.1529', '0.4043', '0.0586', '0.6586', '0.0000', '0.0000', '0.9629', '0.0000']","['0.5511', '0.8440', '0.2220', '0.5448', '0.0993', '0.4954', '0.0000', '0.0000', '0.3048', '0.0000']","['0.5929', '0.7729', '0.1529', '0.4043', '0.0586', '0.6586', '0.0000', '0.0000', '0.9629', '0.0000']","['0.9379', '0.9935', '0.9751', '0.9911', '0.9865', '0.8889', '1.0000', '1.0000', '0.5162', '1.0000']","[[415, 3, 73, 12, 10, 114, 0, 0, 73, 0], [39, 541, 12, 37, 4, 53, 0, 0, 14, 0], [5, 0, 107, 0, 3, 72, 0, 0, 513, 0], [183, 36, 1, 283, 50, 85, 0, 0, 62, 0], [30, 1, 16, 5, 41, 44, 0, 0, 563, 0], [0, 0, 0, 0, 0, 461, 0, 0, 239, 0], [133, 1, 51, 2, 17, 134, 0, 0, 362, 0], [0, 0, 0, 0, 0, 137, 0, 0, 563, 0], [0, 0, 4, 0, 1, 21, 0, 0, 674, 0], [1, 0, 0, 0, 0, 40, 0, 0, 659, 0]]","[0, 0, 3, 3, 4, 2, 1, 2, 1, 6, 3, 3, 3, 4, 3, 3]","[0, 0, 3, 3, 4, 2, 1, 2, 1, 6, 3, 3, 3, 4, 3, 3]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.1467843055725098
