cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label,oracle_confusion_matrix,oracle_iterations
0,"['0.0000', '0.9610', '0.0000', '0.0000', '0.0000', '0.9091', '0.0028', '0.0014', '0.0000', '0.9049']","['0.0000', '0.1996', '0.0000', '0.0000', '0.0000', '0.2925', '0.1429', '1.0000', '0.0000', '0.4518']","['0.0000', '0.9610', '0.0000', '0.0000', '0.0000', '0.9091', '0.0028', '0.0014', '0.0000', '0.9049']","['0.0000', '0.3306', '0.0000', '0.0000', '0.0000', '0.4426', '0.0056', '0.0028', '0.0000', '0.6027']","['0.0000', '0.9610', '0.0000', '0.0000', '0.0000', '0.9091', '0.0028', '0.0014', '0.0000', '0.9049']","['1.0000', '0.5774', '1.0000', '1.0000', '1.0000', '0.7499', '0.9981', '1.0000', '1.0000', '0.8751']","[[0, 542, 0, 0, 0, 132, 1, 0, 0, 23], [0, 665, 0, 0, 0, 20, 0, 0, 0, 7], [0, 409, 0, 0, 0, 169, 10, 0, 0, 102], [0, 602, 0, 0, 0, 98, 0, 0, 0, 2], [0, 542, 0, 0, 0, 71, 1, 0, 0, 62], [0, 12, 0, 0, 0, 650, 0, 0, 0, 53], [0, 436, 0, 0, 0, 198, 2, 0, 0, 66], [0, 3, 0, 0, 0, 598, 0, 1, 0, 105], [0, 102, 0, 0, 0, 236, 0, 0, 0, 365], [0, 18, 0, 0, 0, 50, 0, 0, 0, 647]]",-1,-1,-1,-1
1,"['0.0000', '0.9538', '0.6029', '0.0840', '0.0000', '0.7175', '0.0157', '0.5248', '0.5363', '0.9608']","['0.0000', '0.3057', '0.3061', '0.3554', '0.0000', '0.4638', '0.2245', '0.5537', '0.7937', '0.6775']","['0.0000', '0.9538', '0.6029', '0.0840', '0.0000', '0.7175', '0.0157', '0.5248', '0.5363', '0.9608']","['0.0000', '0.4630', '0.4061', '0.1359', '0.0000', '0.5634', '0.0293', '0.5389', '0.6401', '0.7947']","['0.0000', '0.9538', '0.6029', '0.0840', '0.0000', '0.7175', '0.0157', '0.5248', '0.5363', '0.9608']","['1.0000', '0.7624', '0.8506', '0.9830', '0.9997', '0.9056', '0.9940', '0.9525', '0.9844', '0.9480']","[[0, 488, 75, 48, 0, 67, 2, 4, 12, 2], [0, 660, 11, 10, 0, 3, 3, 2, 1, 2], [0, 55, 416, 10, 0, 93, 17, 49, 44, 6], [0, 589, 19, 59, 0, 29, 0, 3, 2, 1], [0, 126, 459, 5, 0, 45, 11, 15, 11, 4], [0, 11, 0, 5, 0, 513, 0, 90, 2, 94], [0, 214, 262, 20, 0, 121, 11, 42, 25, 7], [0, 1, 0, 0, 0, 141, 0, 371, 1, 193], [0, 9, 116, 9, 2, 76, 5, 91, 377, 18], [0, 6, 1, 0, 0, 18, 0, 3, 0, 687]]","[7, 8, 7, 7, 8, 9, 3, 2, 8, 7, 9, 2, 1, 7, 4, 2]","[6, 6, 2, 4, 0, 2, 4, 4, 6, 6, 6, 6, 6, 4, 2, 2]","[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 1. 0. 1. 0. 0. 1. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 1. 1. 0. 0. 0. 2. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 1. 1. 0. 0. 0. 0. 2. 2. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",16
2,"['0.0602', '0.9335', '0.6188', '0.1567', '0.0178', '0.4895', '0.0071', '0.6902', '0.7127', '0.9636']","['0.4286', '0.3631', '0.2824', '0.4247', '0.1481', '0.6387', '0.2273', '0.4578', '0.7198', '0.7338']","['0.0602', '0.9335', '0.6188', '0.1567', '0.0178', '0.4895', '0.0071', '0.6902', '0.7127', '0.9636']","['0.1055', '0.5229', '0.3878', '0.2289', '0.0317', '0.5542', '0.0138', '0.5505', '0.7162', '0.8331']","['0.0602', '0.9335', '0.6188', '0.1567', '0.0178', '0.4895', '0.0071', '0.6902', '0.7127', '0.9636']","['0.9911', '0.8204', '0.8281', '0.9763', '0.9891', '0.9685', '0.9973', '0.9082', '0.9690', '0.9602']","[[42, 375, 163, 61, 2, 24, 1, 11, 17, 2], [0, 646, 21, 18, 0, 0, 2, 2, 2, 1], [17, 23, 427, 6, 19, 22, 8, 71, 93, 4], [9, 522, 47, 110, 0, 3, 0, 7, 3, 1], [6, 62, 509, 11, 12, 12, 6, 37, 19, 2], [0, 7, 0, 9, 0, 350, 0, 254, 5, 90], [23, 142, 307, 29, 14, 46, 5, 81, 52, 3], [0, 0, 0, 1, 0, 70, 0, 488, 3, 145], [1, 0, 37, 12, 34, 15, 0, 101, 501, 2], [0, 2, 1, 2, 0, 6, 0, 14, 1, 689]]","[1, 8, 0, 9, 6, 7, 9, 2, 9, 0, 8, 1, 0, 0, 3, 3]","[4, 4, 4, 4, 6, 6, 2, 4, 6, 6, 2, 2, 2, 2, 2, 6]","[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [2. 1. 1. 1. 1. 0. 0. 1. 1. 2.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 2. 1. 0. 0. 0. 2. 1. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 1. 1. 0. 0. 1. 3. 2. 2.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",32
3,"['0.2249', '0.9566', '0.5942', '0.0826', '0.0000', '0.5580', '0.0043', '0.7256', '0.7667', '0.9608']","['0.5081', '0.3818', '0.2924', '0.2749', '0.0000', '0.5799', '0.2000', '0.5487', '0.6910', '0.7419']","['0.2249', '0.9566', '0.5942', '0.0826', '0.0000', '0.5580', '0.0043', '0.7256', '0.7667', '0.9608']","['0.3118', '0.5458', '0.3920', '0.1271', '0.0000', '0.5688', '0.0084', '0.6248', '0.7269', '0.8373']","['0.2249', '0.9566', '0.5942', '0.0826', '0.0000', '0.5580', '0.0043', '0.7256', '0.7667', '0.9608']","['0.9759', '0.8301', '0.8428', '0.9757', '1.0000', '0.9540', '0.9981', '0.9329', '0.9617', '0.9620']","[[157, 287, 125, 68, 0, 26, 2, 2, 28, 3], [1, 662, 16, 5, 0, 1, 2, 3, 0, 2], [37, 23, 410, 7, 0, 46, 4, 44, 112, 7], [20, 570, 44, 58, 0, 3, 0, 4, 2, 1], [22, 61, 494, 10, 0, 26, 4, 20, 35, 4], [0, 8, 0, 3, 0, 399, 0, 210, 4, 91], [71, 120, 284, 42, 0, 74, 3, 41, 59, 8], [0, 0, 0, 0, 0, 76, 0, 513, 0, 118], [1, 1, 29, 18, 0, 30, 0, 80, 539, 5], [0, 2, 0, 0, 0, 7, 0, 18, 1, 687]]","[9, 0, 7, 5, 7, 9, 3, 8, 3, 4, 7, 0, 1, 7, 4, 6]","[1, 0, 2, 6, 2, 4, 2, 6, 2, 4, 2, 4, 2, 6, 4, 2]","[[1. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
 [2. 2. 1. 3. 1. 0. 1. 4. 1. 2.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [2. 1. 2. 1. 2. 0. 0. 2. 1. 2.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 1. 1. 0. 1. 1. 4. 3. 2.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",48
4,"['0.4542', '0.9090', '0.5797', '0.6781', '0.0192', '0.6895', '0.0541', '0.7044', '0.7767', '0.9259']","['0.4938', '0.7560', '0.3113', '0.5129', '0.4483', '0.5667', '0.4000', '0.6484', '0.7368', '0.8173']","['0.4542', '0.9090', '0.5797', '0.6781', '0.0192', '0.6895', '0.0541', '0.7044', '0.7767', '0.9259']","['0.4731', '0.8255', '0.4051', '0.5840', '0.0369', '0.6221', '0.0954', '0.6753', '0.7562', '0.8682']","['0.4542', '0.9090', '0.5797', '0.6781', '0.0192', '0.6895', '0.0541', '0.7044', '0.7767', '0.9259']","['0.9484', '0.9678', '0.8597', '0.9282', '0.9975', '0.9400', '0.9909', '0.9571', '0.9690', '0.9765']","[[317, 34, 63, 223, 0, 24, 8, 0, 27, 2], [11, 629, 15, 28, 3, 0, 1, 3, 1, 1], [60, 11, 400, 14, 7, 54, 35, 8, 95, 6], [68, 119, 30, 476, 0, 3, 2, 1, 2, 1], [54, 9, 478, 51, 13, 31, 11, 9, 17, 3], [0, 7, 0, 4, 0, 493, 0, 146, 6, 59], [132, 21, 256, 116, 6, 75, 38, 9, 45, 4], [0, 0, 0, 0, 0, 139, 0, 498, 1, 69], [0, 0, 43, 15, 0, 40, 0, 56, 546, 3], [0, 2, 0, 1, 0, 11, 0, 38, 1, 662]]","[8, 1, 4, 5, 3, 8, 4, 0, 1, 9, 1, 6, 1, 4, 6, 1]","[4, 6, 2, 6, 6, 2, 4, 2, 2, 4, 6, 2, 6, 4, 4, 4]","[[1. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
 [3. 3. 1. 3. 2. 0. 2. 4. 2. 2.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [2. 2. 2. 1. 4. 0. 1. 2. 2. 3.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 4. 1. 2. 0. 2. 1. 4. 3. 2.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",64
5,"['0.5172', '0.9176', '0.5000', '0.6695', '0.1154', '0.5804', '0.0969', '0.8006', '0.8265', '0.9455']","['0.5187', '0.7410', '0.3018', '0.6033', '0.5166', '0.6737', '0.3091', '0.6425', '0.7299', '0.7851']","['0.5172', '0.9176', '0.5000', '0.6695', '0.1154', '0.5804', '0.0969', '0.8006', '0.8265', '0.9455']","['0.5179', '0.8199', '0.3764', '0.6347', '0.1886', '0.6236', '0.1475', '0.7128', '0.7752', '0.8579']","['0.5172', '0.9176', '0.5000', '0.6695', '0.1154', '0.5804', '0.0969', '0.8006', '0.8265', '0.9455']","['0.9468', '0.9648', '0.8735', '0.9509', '0.9885', '0.9680', '0.9759', '0.9499', '0.9659', '0.9706']","[[361, 40, 78, 153, 1, 15, 13, 0, 35, 2], [9, 635, 12, 22, 7, 0, 1, 2, 2, 2], [54, 15, 345, 6, 33, 33, 98, 12, 87, 7], [71, 111, 37, 470, 2, 1, 3, 1, 5, 1], [45, 17, 420, 37, 78, 18, 26, 7, 25, 3], [0, 11, 0, 1, 0, 415, 0, 207, 9, 72], [155, 25, 234, 76, 25, 55, 68, 8, 50, 6], [0, 0, 0, 0, 0, 51, 0, 566, 1, 89], [1, 1, 17, 14, 5, 22, 11, 48, 581, 3], [0, 2, 0, 0, 0, 6, 0, 30, 1, 676]]","[0, 0, 3, 3, 0, 7, 6, 6, 6, 1, 9, 3, 4, 5, 1, 4]","[6, 6, 6, 6, 6, 2, 2, 2, 4, 2, 2, 6, 6, 2, 2, 6]","[[1. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
 [3. 5. 1. 3. 2. 1. 4. 5. 2. 3.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [2. 2. 2. 1. 4. 0. 2. 2. 2. 3.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [4. 4. 1. 5. 2. 2. 1. 4. 3. 2.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",80
6,"['0.2765', '0.9061', '0.4957', '0.7991', '0.0666', '0.5469', '0.0926', '0.8331', '0.7923', '0.9357']","['0.4730', '0.7789', '0.3027', '0.4840', '0.4206', '0.6306', '0.2790', '0.6041', '0.7736', '0.7936']","['0.2765', '0.9061', '0.4957', '0.7991', '0.0666', '0.5469', '0.0926', '0.8331', '0.7923', '0.9357']","['0.3490', '0.8377', '0.3758', '0.6029', '0.1149', '0.5858', '0.1390', '0.7004', '0.7829', '0.8588']","['0.2765', '0.9061', '0.4957', '0.7991', '0.0666', '0.5469', '0.0926', '0.8331', '0.7923', '0.9357']","['0.9659', '0.9718', '0.8751', '0.9050', '0.9902', '0.9636', '0.9733', '0.9387', '0.9741', '0.9723']","[[193, 31, 56, 343, 1, 23, 21, 0, 29, 1], [5, 627, 12, 35, 6, 0, 0, 4, 1, 2], [45, 23, 342, 14, 27, 46, 95, 23, 70, 5], [36, 61, 31, 561, 1, 3, 4, 1, 3, 1], [35, 20, 445, 50, 45, 23, 26, 12, 17, 3], [0, 8, 0, 2, 0, 391, 0, 229, 7, 78], [94, 30, 225, 145, 25, 63, 65, 18, 34, 3], [0, 0, 0, 0, 0, 39, 0, 589, 1, 78], [0, 3, 19, 8, 2, 25, 22, 64, 557, 3], [0, 2, 0, 1, 0, 7, 0, 35, 1, 669]]","[5, 0, 6, 1, 2, 3, 1, 0, 0, 7, 7, 2, 8, 3, 7, 8]","[6, 8, 4, 6, 2, 2, 6, 4, 2, 6, 2, 6, 2, 2, 2, 2]","[[1. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
 [4. 5. 2. 5. 2. 1. 4. 7. 4. 3.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [3. 2. 2. 1. 4. 0. 3. 2. 2. 3.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [4. 6. 2. 5. 2. 3. 1. 5. 3. 2.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",96
7,"['0.4771', '0.9292', '0.5681', '0.6937', '0.0577', '0.6070', '0.0570', '0.5686', '0.7226', '0.9385']","['0.4883', '0.7081', '0.2902', '0.5867', '0.3171', '0.6061', '0.2424', '0.5174', '0.8759', '0.7730']","['0.4771', '0.9292', '0.5681', '0.6937', '0.0577', '0.6070', '0.0570', '0.5686', '0.7226', '0.9385']","['0.4826', '0.8037', '0.3841', '0.6358', '0.0976', '0.6066', '0.0923', '0.5418', '0.7919', '0.8478']","['0.4771', '0.9292', '0.5681', '0.6937', '0.0577', '0.6070', '0.0570', '0.5686', '0.7226', '0.9385']","['0.9446', '0.9580', '0.8480', '0.9455', '0.9867', '0.9551', '0.9802', '0.9404', '0.9886', '0.9687']","[[333, 35, 105, 180, 1, 3, 17, 0, 23, 1], [4, 643, 15, 17, 8, 0, 0, 4, 0, 1], [64, 33, 392, 6, 40, 8, 71, 45, 23, 8], [68, 97, 44, 487, 1, 0, 2, 0, 2, 1], [38, 33, 484, 30, 39, 6, 14, 23, 6, 3], [2, 13, 0, 3, 0, 434, 0, 173, 5, 85], [163, 39, 265, 88, 31, 21, 40, 39, 12, 4], [0, 1, 0, 0, 0, 219, 0, 402, 0, 85], [10, 6, 46, 19, 2, 8, 21, 74, 508, 9], [0, 8, 0, 0, 1, 17, 0, 17, 1, 671]]","[3, 2, 6, 6, 1, 6, 6, 3, 0, 4, 9, 4, 0, 3, 2, 6]","[2, 2, 4, 6, 4, 6, 2, 2, 6, 2, 2, 6, 4, 4, 2, 4]","[[1. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
 [4. 5. 4. 7. 3. 1. 5. 7. 4. 4.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [4. 3. 2. 2. 4. 0. 5. 2. 2. 3.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [5. 6. 2. 5. 3. 3. 3. 5. 3. 2.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",112
8,"['0.6275', '0.9277', '0.5058', '0.6595', '0.1080', '0.5329', '0.1681', '0.8656', '0.7511', '0.9371']","['0.5348', '0.7643', '0.3061', '0.6931', '0.3724', '0.7384', '0.3003', '0.6245', '0.8502', '0.8102']","['0.6275', '0.9277', '0.5058', '0.6595', '0.1080', '0.5329', '0.1681', '0.8656', '0.7511', '0.9371']","['0.5775', '0.8381', '0.3814', '0.6759', '0.1674', '0.6190', '0.2155', '0.7255', '0.7976', '0.8690']","['0.6275', '0.9277', '0.5058', '0.6595', '0.1080', '0.5329', '0.1681', '0.8656', '0.7511', '0.9371']","['0.9395', '0.9686', '0.8746', '0.9674', '0.9806', '0.9785', '0.9563', '0.9415', '0.9852', '0.9750']","[[438, 24, 59, 99, 1, 5, 45, 0, 26, 1], [4, 642, 14, 17, 9, 0, 0, 3, 2, 1], [46, 29, 349, 5, 62, 25, 129, 8, 30, 7], [114, 76, 33, 463, 2, 1, 8, 1, 3, 1], [44, 26, 434, 22, 73, 12, 48, 5, 8, 4], [0, 6, 0, 2, 0, 381, 0, 253, 8, 65], [171, 32, 220, 55, 44, 36, 118, 5, 15, 6], [0, 0, 0, 0, 0, 27, 0, 612, 1, 67], [2, 2, 31, 5, 5, 23, 45, 57, 528, 5], [0, 3, 0, 0, 0, 6, 0, 36, 0, 670]]","[9, 9, 1, 0, 2, 3, 7, 4, 0, 9, 5, 4, 6, 1, 1, 1]","[8, 6, 6, 4, 6, 6, 2, 2, 2, 2, 6, 6, 2, 2, 4, 4]","[[1. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
 [5. 6. 4. 7. 4. 1. 6. 8. 4. 5.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [5. 5. 2. 2. 4. 0. 5. 2. 2. 3.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [5. 7. 3. 6. 4. 4. 3. 5. 3. 3.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",128
9,"['0.7235', '0.9133', '0.2130', '0.5541', '0.6553', '0.5818', '0.1054', '0.7921', '0.7326', '0.9552']","['0.4642', '0.8092', '0.3141', '0.8155', '0.4688', '0.7123', '0.2483', '0.6512', '0.8759', '0.7497']","['0.7235', '0.9133', '0.2130', '0.5541', '0.6553', '0.5818', '0.1054', '0.7921', '0.7326', '0.9552']","['0.5655', '0.8581', '0.2539', '0.6599', '0.5466', '0.6405', '0.1480', '0.7147', '0.7978', '0.8401']","['0.7235', '0.9133', '0.2130', '0.5541', '0.6553', '0.5818', '0.1054', '0.7921', '0.7326', '0.9552']","['0.9075', '0.9764', '0.9491', '0.9860', '0.9206', '0.9733', '0.9644', '0.9523', '0.9884', '0.9637']","[[505, 17, 76, 35, 5, 5, 35, 0, 19, 1], [13, 632, 5, 12, 24, 0, 1, 2, 2, 1], [69, 16, 147, 4, 265, 31, 107, 8, 26, 17], [189, 70, 38, 389, 9, 0, 4, 0, 2, 1], [60, 16, 82, 13, 443, 12, 32, 6, 5, 7], [0, 9, 0, 1, 0, 416, 0, 198, 5, 86], [240, 16, 97, 16, 192, 42, 74, 5, 13, 7], [0, 0, 0, 0, 0, 52, 0, 560, 1, 94], [12, 3, 23, 7, 7, 20, 45, 57, 515, 14], [0, 2, 0, 0, 0, 6, 0, 24, 0, 683]]","[3, 9, 3, 0, 9, 5, 5, 9, 7, 2, 9, 7, 9, 2, 6, 2]","[4, 6, 2, 2, 2, 2, 6, 2, 4, 2, 2, 6, 2, 2, 4, 6]","[[1. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
 [6. 6. 6. 8. 4. 2. 6. 8. 4. 9.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [5. 5. 2. 3. 4. 0. 6. 3. 2. 3.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [5. 7. 4. 6. 4. 5. 3. 6. 3. 4.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",144
