cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label,oracle_confusion_matrix,oracle_iterations,training_loss
0,"['0.5600', '0.8686', '0.2000', '0.5571', '0.0929', '0.5629', '0.3586', '0.8171', '0.7029', '0.8986']","['0.5576', '0.7145', '0.5622', '0.6331', '0.2529', '0.3960', '0.2381', '0.5608', '0.9516', '0.8523']","['0.5600', '0.8686', '0.2000', '0.5571', '0.0929', '0.5629', '0.3586', '0.8171', '0.7029', '0.8986']","['0.5588', '0.7840', '0.2950', '0.5927', '0.1358', '0.4649', '0.2862', '0.6651', '0.8085', '0.8748']","['0.5600', '0.8686', '0.2000', '0.5571', '0.0929', '0.5629', '0.3586', '0.8171', '0.7029', '0.8986']","['0.9506', '0.9614', '0.9827', '0.9641', '0.9695', '0.9046', '0.8725', '0.9289', '0.9960', '0.9827']","[[392, 53, 3, 102, 5, 88, 50, 4, 2, 1], [14, 608, 6, 48, 7, 13, 3, 1, 0, 0], [13, 1, 140, 5, 97, 121, 299, 14, 10, 0], [87, 148, 0, 390, 7, 44, 23, 0, 1, 0], [80, 10, 69, 22, 65, 47, 400, 3, 4, 0], [0, 0, 0, 1, 0, 394, 0, 261, 0, 44], [113, 27, 23, 37, 75, 155, 251, 8, 8, 3], [0, 0, 0, 0, 0, 69, 0, 572, 0, 59], [4, 4, 8, 11, 1, 60, 28, 90, 492, 2], [0, 0, 0, 0, 0, 4, 0, 67, 0, 629]]",-1,-1,-1,-1,1.4654135704040527
1,"['0.7457', '0.9414', '0.0886', '0.2671', '0.5400', '0.4671', '0.3186', '0.9414', '0.7700', '0.8071']","['0.5283', '0.5910', '0.5254', '0.6111', '0.4532', '0.7017', '0.2700', '0.6136', '0.9800', '0.7815']","['0.7457', '0.9414', '0.0886', '0.2671', '0.5400', '0.4671', '0.3186', '0.9414', '0.7700', '0.8071']","['0.6185', '0.7262', '0.1516', '0.3718', '0.4928', '0.5609', '0.2923', '0.7430', '0.8624', '0.7941']","['0.7457', '0.9414', '0.0886', '0.2671', '0.5400', '0.4671', '0.3186', '0.9414', '0.7700', '0.8071']","['0.9260', '0.9276', '0.9911', '0.9811', '0.9276', '0.9779', '0.9043', '0.9341', '0.9983', '0.9749']","[[522, 44, 1, 61, 11, 9, 48, 0, 2, 2], [17, 659, 6, 6, 4, 0, 8, 0, 0, 0], [27, 3, 62, 2, 232, 26, 345, 0, 3, 0], [132, 350, 0, 187, 20, 1, 10, 0, 0, 0], [96, 21, 37, 15, 378, 7, 143, 0, 3, 0], [0, 1, 0, 0, 0, 327, 0, 233, 1, 138], [185, 33, 12, 22, 180, 41, 223, 1, 2, 1], [0, 0, 0, 0, 0, 25, 0, 659, 0, 16], [8, 4, 0, 13, 9, 30, 49, 47, 539, 1], [1, 0, 0, 0, 0, 0, 0, 134, 0, 565]]","[0, 0, 3, 8, 2, 0, 8, 2, 8, 2, 6, 0, 3, 6, 0, 3]","[0, 0, 3, 8, 2, 0, 8, 2, 8, 2, 6, 0, 3, 6, 0, 3]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,1.2443218231201172
2,"['0.8086', '0.9329', '0.6371', '0.5743', '0.1100', '0.6814', '0.3171', '0.8100', '0.8757', '0.8414']","['0.6227', '0.7896', '0.4646', '0.6860', '0.7778', '0.7657', '0.2704', '0.7560', '0.9316', '0.7679']","['0.8086', '0.9329', '0.6371', '0.5743', '0.1100', '0.6814', '0.3171', '0.8100', '0.8757', '0.8414']","['0.7035', '0.8553', '0.5373', '0.6252', '0.1927', '0.7211', '0.2919', '0.7821', '0.9028', '0.8030']","['0.8086', '0.9329', '0.6371', '0.5743', '0.1100', '0.6814', '0.3171', '0.8100', '0.8757', '0.8414']","['0.9456', '0.9724', '0.9184', '0.9708', '0.9965', '0.9768', '0.9049', '0.9710', '0.9929', '0.9717']","[[566, 5, 30, 66, 0, 4, 21, 0, 8, 0], [10, 653, 16, 18, 0, 0, 2, 0, 1, 0], [10, 0, 446, 5, 15, 3, 216, 0, 5, 0], [84, 155, 3, 402, 5, 1, 46, 0, 4, 0], [30, 4, 213, 62, 77, 2, 302, 0, 10, 0], [0, 1, 1, 0, 0, 477, 1, 68, 5, 147], [196, 6, 227, 28, 2, 11, 222, 0, 7, 1], [0, 0, 0, 0, 0, 101, 0, 567, 5, 27], [12, 3, 23, 5, 0, 24, 10, 7, 613, 3], [1, 0, 1, 0, 0, 0, 1, 108, 0, 589]]","[2, 2, 6, 8, 8, 2, 6, 4, 2, 2, 6, 6, 6, 6, 0, 6]","[2, 2, 6, 8, 8, 2, 6, 4, 2, 2, 6, 6, 6, 6, 0, 6]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,1.0114901065826416
3,"['0.8214', '0.9300', '0.5643', '0.5100', '0.6643', '0.8000', '0.1757', '0.8257', '0.8443', '0.8271']","['0.6403', '0.7732', '0.5374', '0.6648', '0.5219', '0.7619', '0.3892', '0.8017', '0.9471', '0.8260']","['0.8214', '0.9300', '0.5643', '0.5100', '0.6643', '0.8000', '0.1757', '0.8257', '0.8443', '0.8271']","['0.7196', '0.8444', '0.5505', '0.5772', '0.5845', '0.7805', '0.2421', '0.8135', '0.8927', '0.8266']","['0.8214', '0.9300', '0.5643', '0.5100', '0.6643', '0.8000', '0.1757', '0.8257', '0.8443', '0.8271']","['0.9487', '0.9697', '0.9460', '0.9714', '0.9324', '0.9722', '0.9694', '0.9773', '0.9948', '0.9806']","[[575, 5, 35, 57, 11, 1, 8, 0, 7, 1], [10, 651, 16, 17, 2, 0, 4, 0, 0, 0], [9, 0, 395, 6, 200, 1, 85, 0, 4, 0], [92, 173, 7, 357, 52, 0, 15, 0, 3, 1], [7, 3, 90, 61, 465, 2, 68, 0, 4, 0], [0, 1, 0, 0, 0, 560, 0, 37, 2, 100], [192, 6, 177, 35, 158, 1, 123, 0, 6, 2], [0, 0, 0, 0, 0, 97, 0, 578, 7, 18], [13, 3, 15, 4, 3, 56, 12, 3, 591, 0], [0, 0, 0, 0, 0, 17, 1, 103, 0, 579]]","[8, 0, 5, 8, 2, 4, 2, 2, 2, 0, 0, 5, 8, 4, 8, 5]","[8, 0, 5, 8, 2, 4, 2, 2, 2, 0, 0, 5, 8, 4, 8, 5]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,0.9154685139656067
4,"['0.8800', '0.9314', '0.5300', '0.4200', '0.6486', '0.8900', '0.1657', '0.7771', '0.9114', '0.7800']","['0.5555', '0.8556', '0.5369', '0.8122', '0.5329', '0.7846', '0.3249', '0.7514', '0.8740', '0.8821']","['0.8800', '0.9314', '0.5300', '0.4200', '0.6486', '0.8900', '0.1657', '0.7771', '0.9114', '0.7800']","['0.6810', '0.8919', '0.5334', '0.5537', '0.5851', '0.8340', '0.2195', '0.7640', '0.8923', '0.8279']","['0.8800', '0.9314', '0.5300', '0.4200', '0.6486', '0.8900', '0.1657', '0.7771', '0.9114', '0.7800']","['0.9217', '0.9825', '0.9492', '0.9892', '0.9368', '0.9729', '0.9617', '0.9714', '0.9854', '0.9884']","[[616, 3, 31, 14, 6, 1, 9, 0, 20, 0], [18, 652, 18, 6, 2, 1, 1, 0, 1, 1], [14, 0, 371, 2, 192, 2, 112, 0, 7, 0], [188, 100, 18, 294, 43, 2, 13, 0, 24, 18], [32, 1, 76, 35, 454, 2, 92, 0, 8, 0], [0, 0, 0, 0, 0, 623, 0, 31, 9, 37], [225, 4, 173, 9, 155, 4, 116, 1, 12, 1], [0, 0, 0, 0, 0, 131, 0, 544, 10, 15], [16, 2, 2, 2, 0, 22, 14, 3, 638, 1], [0, 0, 2, 0, 0, 6, 0, 145, 1, 546]]","[4, 2, 8, 0, 2, 0, 8, 2, 5, 8, 8, 2, 8, 8, 2, 8]","[4, 2, 8, 0, 2, 0, 8, 2, 5, 8, 8, 2, 8, 8, 2, 8]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,0.701621413230896
5,"['0.8200', '0.9143', '0.4371', '0.8443', '0.6014', '0.8971', '0.2571', '0.5700', '0.8557', '0.8800']","['0.6958', '0.9453', '0.5784', '0.6801', '0.5128', '0.6638', '0.3364', '0.8244', '0.9553', '0.8967']","['0.8200', '0.9143', '0.4371', '0.8443', '0.6014', '0.8971', '0.2571', '0.5700', '0.8557', '0.8800']","['0.7528', '0.9296', '0.4980', '0.7533', '0.5536', '0.7631', '0.2915', '0.6740', '0.9028', '0.8882']","['0.8200', '0.9143', '0.4371', '0.8443', '0.6014', '0.8971', '0.2571', '0.5700', '0.8557', '0.8800']","['0.9602', '0.9941', '0.9646', '0.9559', '0.9365', '0.9495', '0.9437', '0.9865', '0.9956', '0.9887']","[[574, 3, 28, 67, 4, 0, 15, 0, 9, 0], [1, 640, 14, 42, 1, 0, 2, 0, 0, 0], [3, 0, 306, 8, 208, 0, 174, 0, 1, 0], [37, 24, 5, 591, 22, 0, 19, 0, 2, 0], [5, 2, 37, 109, 421, 0, 122, 0, 4, 0], [1, 1, 13, 0, 0, 628, 0, 10, 8, 39], [194, 4, 113, 41, 165, 0, 180, 0, 2, 1], [0, 0, 0, 0, 0, 269, 0, 399, 2, 30], [10, 3, 11, 11, 0, 41, 21, 3, 599, 1], [0, 0, 2, 0, 0, 8, 2, 72, 0, 616]]","[1, 6, 6, 0, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 1, 3]","[1, 6, 6, 0, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 1, 3]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,0.609990119934082
6,"['0.8557', '0.9329', '0.3414', '0.7600', '0.2943', '0.9029', '0.4514', '0.7114', '0.8929', '0.8443']","['0.6163', '0.9450', '0.5815', '0.7258', '0.5869', '0.7488', '0.3036', '0.8164', '0.9084', '0.8968']","['0.8557', '0.9329', '0.3414', '0.7600', '0.2943', '0.9029', '0.4514', '0.7114', '0.8929', '0.8443']","['0.7165', '0.9389', '0.4302', '0.7425', '0.3920', '0.8187', '0.3630', '0.7603', '0.9006', '0.8698']","['0.8557', '0.9329', '0.3414', '0.7600', '0.2943', '0.9029', '0.4514', '0.7114', '0.8929', '0.8443']","['0.9408', '0.9940', '0.9727', '0.9681', '0.9770', '0.9663', '0.8849', '0.9822', '0.9900', '0.9892']","[[599, 0, 23, 43, 2, 3, 21, 0, 9, 0], [11, 653, 10, 18, 1, 1, 6, 0, 0, 0], [14, 0, 239, 6, 88, 0, 346, 0, 7, 0], [99, 31, 3, 532, 3, 2, 20, 0, 10, 0], [25, 1, 37, 105, 206, 3, 316, 0, 7, 0], [3, 0, 2, 0, 0, 632, 1, 16, 10, 36], [213, 4, 79, 23, 51, 2, 316, 0, 10, 2], [0, 0, 0, 0, 0, 164, 0, 498, 9, 29], [7, 2, 18, 6, 0, 22, 15, 4, 625, 1], [1, 0, 0, 0, 0, 15, 0, 92, 1, 591]]","[8, 8, 8, 3, 0, 8, 3, 0, 4, 6, 2, 6, 3, 0, 0, 0]","[8, 8, 8, 3, 0, 8, 3, 0, 4, 6, 2, 6, 3, 0, 0, 0]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,0.8769271969795227
7,"['0.7343', '0.8757', '0.3171', '0.8500', '0.7914', '0.5971', '0.2157', '0.9043', '0.9086', '0.8543']","['0.7229', '0.9839', '0.6325', '0.6611', '0.4644', '0.9227', '0.3674', '0.7536', '0.8143', '0.8114']","['0.7343', '0.8757', '0.3171', '0.8500', '0.7914', '0.5971', '0.2157', '0.9043', '0.9086', '0.8543']","['0.7286', '0.9267', '0.4225', '0.7438', '0.5853', '0.7251', '0.2718', '0.8221', '0.8589', '0.8323']","['0.7343', '0.8757', '0.3171', '0.8500', '0.7914', '0.5971', '0.2157', '0.9043', '0.9086', '0.8543']","['0.9687', '0.9984', '0.9795', '0.9516', '0.8986', '0.9944', '0.9587', '0.9671', '0.9770', '0.9779']","[[514, 1, 15, 110, 14, 0, 25, 0, 20, 1], [0, 613, 11, 66, 3, 0, 7, 0, 0, 0], [5, 0, 222, 6, 311, 0, 143, 0, 12, 1], [22, 8, 1, 595, 54, 0, 11, 0, 9, 0], [2, 0, 33, 47, 554, 1, 58, 0, 5, 0], [1, 0, 3, 10, 1, 418, 2, 102, 62, 101], [163, 1, 62, 53, 249, 1, 151, 1, 18, 1], [0, 0, 0, 2, 0, 17, 0, 633, 14, 34], [4, 0, 4, 11, 7, 16, 13, 8, 636, 1], [0, 0, 0, 0, 0, 0, 1, 96, 5, 598]]","[8, 3, 2, 2, 2, 8, 2, 0, 0, 4, 6, 0, 8, 8, 4, 4]","[8, 3, 2, 2, 2, 8, 2, 0, 0, 4, 6, 0, 8, 8, 4, 4]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,1.3552892208099365
8,"['0.8429', '0.8629', '0.3386', '0.8543', '0.4986', '0.7800', '0.2843', '0.9086', '0.8343', '0.9086']","['0.6230', '0.9711', '0.6286', '0.6486', '0.4697', '0.8864', '0.3105', '0.8081', '0.9733', '0.8537']","['0.8429', '0.8629', '0.3386', '0.8543', '0.4986', '0.7800', '0.2843', '0.9086', '0.8343', '0.9086']","['0.7165', '0.9138', '0.4401', '0.7374', '0.4837', '0.8298', '0.2968', '0.8554', '0.8985', '0.8803']","['0.8429', '0.8629', '0.3386', '0.8543', '0.4986', '0.7800', '0.2843', '0.9086', '0.8343', '0.9086']","['0.9433', '0.9971', '0.9778', '0.9486', '0.9375', '0.9889', '0.9298', '0.9760', '0.9975', '0.9827']","[[590, 0, 16, 65, 2, 1, 20, 0, 6, 0], [3, 604, 12, 74, 3, 0, 4, 0, 0, 0], [12, 0, 237, 13, 201, 0, 236, 0, 1, 0], [67, 13, 2, 598, 13, 0, 7, 0, 0, 0], [8, 0, 48, 131, 349, 2, 161, 0, 1, 0], [5, 0, 0, 1, 0, 546, 0, 81, 2, 65], [225, 4, 61, 31, 174, 1, 199, 0, 4, 1], [0, 0, 0, 0, 0, 20, 0, 636, 1, 43], [37, 1, 1, 8, 1, 46, 13, 9, 584, 0], [0, 0, 0, 1, 0, 0, 1, 61, 1, 636]]","[5, 0, 0, 0, 5, 6, 5, 0, 0, 6, 7, 6, 0, 0, 0, 7]","[5, 0, 0, 0, 5, 6, 5, 0, 0, 6, 7, 6, 0, 0, 0, 7]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,0.7913594543933868
9,"['0.8071', '0.9271', '0.4629', '0.7986', '0.2357', '0.7871', '0.4443', '0.9100', '0.9300', '0.7900']","['0.7045', '0.8735', '0.5625', '0.6825', '0.6157', '0.9107', '0.3157', '0.7647', '0.8845', '0.8736']","['0.8071', '0.9271', '0.4629', '0.7986', '0.2357', '0.7871', '0.4443', '0.9100', '0.9300', '0.7900']","['0.7523', '0.8995', '0.5078', '0.7360', '0.3409', '0.8444', '0.3691', '0.8311', '0.9067', '0.8297']","['0.8071', '0.9271', '0.4629', '0.7986', '0.2357', '0.7871', '0.4443', '0.9100', '0.9300', '0.7900']","['0.9624', '0.9851', '0.9600', '0.9587', '0.9837', '0.9914', '0.8930', '0.9689', '0.9865', '0.9873']","[[565, 7, 28, 64, 1, 0, 22, 0, 13, 0], [0, 649, 12, 32, 0, 0, 7, 0, 0, 0], [2, 0, 324, 6, 66, 0, 298, 0, 4, 0], [32, 75, 4, 559, 4, 0, 21, 0, 5, 0], [5, 2, 92, 115, 165, 0, 315, 0, 6, 0], [0, 1, 1, 0, 0, 551, 0, 54, 33, 60], [191, 6, 110, 36, 32, 1, 311, 0, 12, 1], [0, 0, 0, 0, 0, 40, 0, 637, 5, 18], [7, 3, 4, 6, 0, 13, 11, 4, 651, 1], [0, 0, 1, 1, 0, 0, 0, 138, 7, 553]]","[4, 8, 3, 8, 8, 4, 8, 0, 0, 6, 8, 4, 2, 3, 4, 3]","[4, 8, 3, 8, 8, 4, 8, 0, 0, 6, 8, 4, 2, 3, 4, 3]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,0.6678367257118225
