cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label,oracle_confusion_matrix,oracle_iterations,training_loss
0,"['1.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000']","['0.0987', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000']","['1.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000']","['0.1796', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000']","['1.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000']","['0.0006', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.9994', '1.0000']","[[690, 0, 0, 0, 0, 0, 0, 0, 0, 0], [783, 0, 0, 0, 0, 0, 0, 0, 4, 0], [699, 0, 0, 0, 0, 0, 0, 0, 0, 0], [714, 0, 0, 0, 0, 0, 0, 0, 0, 0], [682, 0, 0, 0, 0, 0, 0, 0, 0, 0], [631, 0, 0, 0, 0, 0, 0, 0, 0, 0], [687, 0, 0, 0, 0, 0, 0, 0, 0, 0], [729, 0, 0, 0, 0, 0, 0, 0, 0, 0], [682, 0, 0, 0, 0, 0, 0, 0, 0, 0], [695, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",-1,-1,-1,-1,2.3077008724212646
1,"['1.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0909', '0.0000']","['0.1119', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0745', '0.0000']","['1.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0909', '0.0000']","['0.2013', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0819', '0.0000']","['1.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0909', '0.0000']","['0.1319', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.8780', '1.0000']","[[690, 0, 0, 0, 0, 0, 0, 0, 0, 0], [332, 0, 0, 0, 0, 0, 0, 0, 455, 0], [605, 0, 0, 0, 0, 0, 0, 0, 94, 0], [696, 0, 0, 0, 0, 0, 0, 0, 18, 0], [604, 0, 0, 0, 0, 0, 0, 0, 78, 0], [592, 0, 0, 0, 0, 0, 0, 0, 39, 0], [658, 0, 0, 0, 0, 0, 0, 0, 29, 0], [684, 0, 0, 0, 0, 0, 0, 0, 45, 0], [620, 0, 0, 0, 0, 0, 0, 0, 62, 0], [683, 0, 0, 0, 0, 0, 0, 0, 12, 0]]","[6, 6, 6, 6, 6, 6, 2, 2, 2, 2, 2, 6, 6, 6, 6, 2]","[6, 6, 6, 6, 6, 6, 2, 2, 2, 2, 2, 6, 6, 6, 6, 2]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.3077175617218018
2,"['0.9986', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.4047', '0.0000']","['0.1300', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1628', '0.0000']","['0.9986', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.4047', '0.0000']","['0.2300', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.2322', '0.0000']","['0.9986', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.4047', '0.0000']","['0.2686', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.7753', '1.0000']","[[689, 0, 0, 0, 0, 0, 0, 0, 1, 0], [195, 0, 0, 0, 0, 0, 0, 0, 592, 0], [480, 0, 0, 0, 0, 0, 0, 0, 219, 0], [654, 0, 0, 0, 0, 0, 0, 0, 60, 0], [499, 0, 0, 0, 0, 0, 0, 0, 183, 0], [537, 0, 0, 0, 0, 0, 0, 0, 94, 0], [603, 0, 0, 0, 0, 0, 0, 0, 84, 0], [605, 0, 0, 0, 0, 0, 0, 0, 124, 0], [406, 0, 0, 0, 0, 0, 0, 0, 276, 0], [633, 0, 0, 0, 0, 0, 0, 0, 62, 0]]","[6, 5, 6, 1, 5, 5, 5, 5, 5, 8, 1, 6, 5, 6, 6, 5]","[6, 5, 6, 1, 5, 5, 5, 5, 5, 8, 1, 6, 5, 6, 6, 5]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.300387144088745
3,"['0.9899', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.7243', '0.0000']","['0.1587', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1834', '0.0000']","['0.9899', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.7243', '0.0000']","['0.2736', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.2927', '0.0000']","['0.9899', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.7243', '0.0000']","['0.4259', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.6517', '1.0000']","[[683, 0, 0, 0, 0, 0, 0, 0, 7, 0], [92, 0, 0, 0, 0, 0, 0, 0, 695, 0], [375, 0, 0, 0, 0, 0, 0, 0, 324, 0], [581, 0, 0, 0, 0, 0, 0, 0, 133, 0], [406, 0, 0, 0, 0, 0, 0, 0, 276, 0], [465, 0, 0, 0, 0, 0, 0, 0, 166, 0], [418, 0, 0, 0, 0, 0, 0, 0, 269, 0], [548, 0, 0, 0, 0, 0, 0, 0, 181, 0], [188, 0, 0, 0, 0, 0, 0, 0, 494, 0], [547, 0, 0, 0, 0, 0, 0, 0, 148, 0]]","[6, 6, 5, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[6, 6, 5, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2911550998687744
4,"['0.9667', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.8486', '0.0000', '0.6730', '0.0000']","['0.2109', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.3202', '0.0000', '0.2280', '0.0000']","['0.9667', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.8486', '0.0000', '0.6730', '0.0000']","['0.3463', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.4649', '0.0000', '0.3406', '0.0000']","['0.9667', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.8486', '0.0000', '0.6730', '0.0000']","['0.6043', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.8038', '1.0000', '0.7539', '1.0000']","[[667, 0, 0, 0, 0, 0, 20, 0, 3, 0], [4, 0, 0, 0, 0, 0, 477, 0, 306, 0], [226, 0, 0, 0, 0, 0, 303, 0, 170, 0], [427, 0, 0, 0, 0, 0, 76, 0, 211, 0], [317, 0, 0, 0, 0, 0, 79, 0, 286, 0], [340, 0, 0, 0, 0, 0, 129, 0, 162, 0], [95, 0, 0, 0, 0, 0, 583, 0, 9, 0], [495, 0, 0, 0, 0, 0, 8, 0, 226, 0], [121, 0, 0, 0, 0, 0, 102, 0, 459, 0], [470, 0, 0, 0, 0, 0, 44, 0, 181, 0]]","[4, 6, 4, 4, 6, 4, 4, 1, 6, 6, 4, 1, 6, 4, 6, 4]","[4, 6, 4, 4, 6, 4, 4, 1, 6, 6, 4, 1, 6, 4, 6, 4]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2840023040771484
5,"['0.6551', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.9913', '0.0000', '0.0132', '0.0000']","['0.3559', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1197', '0.0000', '0.2368', '0.0000']","['0.6551', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.9913', '0.0000', '0.0132', '0.0000']","['0.4612', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.2136', '0.0000', '0.0250', '0.0000']","['0.6551', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.9913', '0.0000', '0.0132', '0.0000']","['0.8703', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.2064', '1.0000', '0.9954', '1.0000']","[[452, 0, 0, 0, 0, 0, 238, 0, 0, 0], [0, 0, 0, 0, 0, 0, 787, 0, 0, 0], [25, 0, 0, 0, 0, 0, 671, 0, 3, 0], [149, 0, 0, 0, 0, 0, 563, 0, 2, 0], [35, 0, 0, 0, 0, 0, 646, 0, 1, 0], [78, 0, 0, 0, 0, 0, 552, 0, 1, 0], [6, 0, 0, 0, 0, 0, 681, 0, 0, 0], [330, 0, 0, 0, 0, 0, 377, 0, 22, 0], [50, 0, 0, 0, 0, 0, 623, 0, 9, 0], [145, 0, 0, 0, 0, 0, 550, 0, 0, 0]]","[9, 9, 2, 9, 3, 9, 9, 9, 7, 4, 1, 9, 7, 7, 9, 3]","[9, 9, 2, 9, 3, 9, 9, 9, 7, 4, 1, 9, 7, 7, 9, 3]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2746777534484863
6,"['0.1870', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000', '0.0000', '0.0015', '0.0043']","['0.6684', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1016', '0.0000', '1.0000', '0.0750']","['0.1870', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000', '0.0000', '0.0015', '0.0043']","['0.2922', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1845', '0.0000', '0.0029', '0.0082']","['0.1870', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000', '0.0000', '0.0015', '0.0043']","['0.9899', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.0371', '1.0000', '1.0000', '0.9941']","[[129, 0, 0, 0, 0, 0, 561, 0, 0, 0], [0, 0, 0, 0, 0, 0, 787, 0, 0, 0], [0, 0, 0, 0, 0, 0, 699, 0, 0, 0], [11, 0, 0, 0, 0, 0, 703, 0, 0, 0], [3, 0, 0, 0, 0, 0, 679, 0, 0, 0], [7, 0, 0, 0, 0, 0, 624, 0, 0, 0], [0, 0, 0, 0, 0, 0, 687, 0, 0, 0], [25, 0, 0, 0, 0, 0, 667, 0, 0, 37], [11, 0, 0, 0, 0, 0, 670, 0, 1, 0], [7, 0, 0, 0, 0, 0, 685, 0, 0, 3]]","[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]","[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2676072120666504
7,"['0.2449', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000', '0.0041', '0.0000', '0.0719']","['0.7071', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1062', '1.0000', '0.0000', '0.1767']","['0.2449', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000', '0.0041', '0.0000', '0.0719']","['0.3638', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1920', '0.0082', '0.0000', '0.1022']","['0.2449', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000', '0.0041', '0.0000', '0.0719']","['0.9889', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.0832', '1.0000', '1.0000', '0.9630']","[[169, 0, 0, 0, 0, 0, 521, 0, 0, 0], [0, 0, 0, 0, 0, 0, 787, 0, 0, 0], [0, 0, 0, 0, 0, 0, 699, 0, 0, 0], [21, 0, 0, 0, 0, 0, 689, 0, 0, 4], [2, 0, 0, 0, 0, 0, 670, 0, 0, 10], [17, 0, 0, 0, 0, 0, 612, 0, 0, 2], [0, 0, 0, 0, 0, 0, 687, 0, 0, 0], [13, 0, 0, 0, 0, 0, 497, 3, 0, 216], [13, 0, 0, 0, 0, 0, 668, 0, 0, 1], [4, 0, 0, 0, 0, 0, 641, 0, 0, 50]]","[7, 7, 7, 3, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]","[7, 7, 7, 3, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.3199830055236816
8,"['0.1565', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.9985', '0.8244', '0.0000', '0.1137']","['0.9153', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1181', '0.6340', '0.0000', '0.6475']","['0.1565', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.9985', '0.8244', '0.0000', '0.1137']","['0.2673', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.2112', '0.7168', '0.0000', '0.1934']","['0.1565', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.9985', '0.8244', '0.0000', '0.1137']","['0.9984', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.1881', '0.9446', '1.0000', '0.9932']","[[108, 0, 0, 0, 0, 0, 541, 41, 0, 0], [0, 0, 0, 0, 0, 0, 786, 1, 0, 0], [0, 0, 0, 0, 0, 0, 676, 23, 0, 0], [0, 0, 0, 0, 0, 0, 616, 98, 0, 0], [1, 0, 0, 0, 0, 0, 638, 6, 0, 37], [1, 0, 0, 0, 0, 0, 591, 38, 0, 1], [0, 0, 0, 0, 0, 0, 686, 1, 0, 0], [0, 0, 0, 0, 0, 0, 123, 601, 0, 5], [8, 0, 0, 0, 0, 0, 656, 18, 0, 0], [0, 0, 0, 0, 0, 0, 495, 121, 0, 79]]","[7, 3, 3, 3, 3, 7, 3, 7, 7, 7, 7, 3, 7, 3, 3, 3]","[7, 3, 3, 3, 3, 7, 3, 7, 7, 7, 7, 3, 7, 3, 3, 3]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2311038970947266
9,"['0.0116', '0.0000', '0.0000', '0.0476', '0.0000', '0.0000', '0.9985', '0.9328', '0.0000', '0.0058']","['1.0000', '0.0000', '0.0000', '0.9444', '0.0000', '0.0000', '0.1319', '0.3904', '0.0000', '0.4444']","['0.0116', '0.0000', '0.0000', '0.0476', '0.0000', '0.0000', '0.9985', '0.9328', '0.0000', '0.0058']","['0.0229', '0.0000', '0.0000', '0.0907', '0.0000', '0.0000', '0.2330', '0.5504', '0.0000', '0.0114']","['0.0116', '0.0000', '0.0000', '0.0476', '0.0000', '0.0000', '0.9985', '0.9328', '0.0000', '0.0058']","['1.0000', '1.0000', '1.0000', '0.9997', '1.0000', '1.0000', '0.2844', '0.8305', '1.0000', '0.9992']","[[8, 0, 0, 0, 0, 0, 500, 182, 0, 0], [0, 0, 0, 1, 0, 0, 782, 4, 0, 0], [0, 0, 0, 0, 0, 0, 635, 64, 0, 0], [0, 0, 0, 34, 0, 0, 446, 234, 0, 0], [0, 0, 0, 0, 0, 0, 610, 67, 0, 5], [0, 0, 0, 0, 0, 0, 539, 92, 0, 0], [0, 0, 0, 0, 0, 0, 686, 1, 0, 0], [0, 0, 0, 0, 0, 0, 49, 680, 0, 0], [0, 0, 0, 1, 0, 0, 615, 66, 0, 0], [0, 0, 0, 0, 0, 0, 339, 352, 0, 4]]","[3, 3, 3, 3, 3, 3, 8, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 8, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.194791555404663
