cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label
0,"['0.4517', '0.1893', '0.0016', '0.4022', '0.0000', '0.1630', '0.4525', '0.3582', '0.3434', '0.3284']","['0.3555', '0.3729', '0.2500', '0.1767', '0.0000', '0.3467', '0.2686', '0.2041', '0.3394', '0.3300']","['0.4517', '0.1893', '0.0016', '0.4022', '0.0000', '0.1630', '0.4525', '0.3582', '0.3434', '0.3284']","['0.3978', '0.2511', '0.0033', '0.2455', '0.0000', '0.2217', '0.3371', '0.2600', '0.3414', '0.3292']","['0.4517', '0.1893', '0.0016', '0.4022', '0.0000', '0.1630', '0.4525', '0.3582', '0.3434', '0.3284']","['0.9142', '0.9659', '0.9994', '0.7746', '1.0000', '0.9670', '0.8656', '0.8479', '0.9266', '0.9243']","[[257, 20, 0, 35, 0, 7, 19, 79, 109, 43], [45, 110, 1, 86, 0, 6, 42, 54, 119, 118], [76, 13, 1, 165, 0, 19, 147, 144, 16, 28], [31, 11, 0, 259, 0, 75, 101, 136, 6, 25], [40, 11, 0, 218, 0, 9, 212, 96, 16, 27], [27, 17, 1, 213, 0, 95, 84, 127, 6, 13], [14, 9, 0, 198, 0, 12, 267, 75, 1, 14], [21, 19, 0, 184, 0, 20, 80, 211, 11, 43], [168, 35, 0, 38, 0, 24, 7, 21, 204, 97], [44, 50, 1, 70, 0, 7, 35, 91, 113, 201]]",-1,-1
1,"['0.4833', '0.4682', '0.0345', '0.0109', '0.1367', '0.4185', '0.5814', '0.4143', '0.3064', '0.5049']","['0.3846', '0.3815', '0.3043', '0.1795', '0.3233', '0.2714', '0.2917', '0.3112', '0.4272', '0.3384']","['0.4833', '0.4682', '0.0345', '0.0109', '0.1367', '0.4185', '0.5814', '0.4143', '0.3064', '0.5049']","['0.4283', '0.4204', '0.0619', '0.0205', '0.1922', '0.3293', '0.3884', '0.3554', '0.3569', '0.4052']","['0.4833', '0.4682', '0.0345', '0.0109', '0.1367', '0.4185', '0.5814', '0.4143', '0.3064', '0.5049']","['0.9190', '0.9186', '0.9911', '0.9940', '0.9665', '0.8791', '0.8460', '0.9002', '0.9549', '0.8879']","[[275, 47, 3, 2, 4, 19, 18, 52, 76, 73], [33, 272, 2, 1, 3, 20, 19, 16, 63, 152], [83, 35, 21, 4, 63, 77, 187, 99, 8, 32], [30, 45, 14, 7, 27, 228, 142, 99, 8, 44], [44, 27, 5, 7, 86, 73, 258, 78, 9, 42], [23, 26, 12, 3, 27, 244, 115, 101, 6, 26], [19, 30, 5, 7, 27, 77, 343, 51, 0, 31], [26, 34, 3, 5, 29, 110, 63, 244, 5, 70], [151, 77, 3, 1, 0, 26, 8, 12, 182, 134], [31, 120, 1, 2, 0, 25, 23, 32, 69, 309]]","[2, 4, 1, 5, 9, 2, 0, 6, 6, 1, 1, 2, 5, 7, 9, 7, 6, 3, 3, 5, 5, 5, 6, 1, 8, 7, 6, 1, 3, 9, 3, 0]","[7, 5, 9, 2, 7, 5, 4, 7, 8, 5, 5, 5, 5, 3, 5, 5, 5, 3, 4, 7, 8, 8, 0, 3, 6, 8, 0, 8, 5, 2, 3, 5]"
2,"['0.4394', '0.5387', '0.1396', '0.1413', '0.1749', '0.4580', '0.5644', '0.4109', '0.3586', '0.3725']","['0.4195', '0.4039', '0.2769', '0.2578', '0.3514', '0.2934', '0.3294', '0.3954', '0.4073', '0.3800']","['0.4394', '0.5387', '0.1396', '0.1413', '0.1749', '0.4580', '0.5644', '0.4109', '0.3586', '0.3725']","['0.4292', '0.4617', '0.1856', '0.1825', '0.2335', '0.3577', '0.4160', '0.4030', '0.3814', '0.3762']","['0.4394', '0.5387', '0.1396', '0.1413', '0.1749', '0.4580', '0.5644', '0.4109', '0.3586', '0.3725']","['0.9363', '0.9147', '0.9588', '0.9511', '0.9622', '0.8813', '0.8747', '0.9316', '0.9427', '0.9310']","[[250, 58, 22, 7, 7, 18, 14, 50, 102, 41], [24, 313, 1, 17, 4, 15, 17, 13, 80, 97], [63, 31, 85, 29, 80, 80, 151, 62, 10, 18], [18, 30, 57, 91, 19, 230, 127, 44, 2, 26], [33, 20, 39, 28, 110, 74, 212, 74, 13, 26], [14, 19, 40, 52, 34, 267, 89, 49, 6, 13], [14, 15, 39, 61, 25, 51, 333, 32, 1, 19], [16, 24, 13, 39, 32, 134, 37, 242, 8, 44], [142, 89, 5, 8, 0, 23, 8, 18, 213, 88], [22, 176, 6, 21, 2, 18, 23, 28, 88, 228]]","[3, 1, 1, 3, 4, 4, 4, 4, 2, 9, 1, 0, 4, 3, 3, 9, 3, 0, 0, 9, 4, 4, 2, 5, 9, 7, 2, 4, 8, 6, 2, 2]","[7, 2, 4, 8, 3, 4, 9, 0, 5, 0, 4, 5, 7, 0, 7, 2, 4, 3, 2, 5, 4, 0, 1, 5, 5, 5, 2, 2, 9, 6, 2, 8]"
3,"['0.4446', '0.5800', '0.1905', '0.3059', '0.2464', '0.3019', '0.5407', '0.4550', '0.3199', '0.4183']","['0.4295', '0.4405', '0.3187', '0.2822', '0.3229', '0.3506', '0.3584', '0.4129', '0.4545', '0.3969']","['0.4446', '0.5800', '0.1905', '0.3059', '0.2464', '0.3019', '0.5407', '0.4550', '0.3199', '0.4183']","['0.4370', '0.5007', '0.2384', '0.2936', '0.2795', '0.3244', '0.4311', '0.4330', '0.3755', '0.4073']","['0.4446', '0.5800', '0.1905', '0.3059', '0.2464', '0.3019', '0.5407', '0.4550', '0.3199', '0.4183']","['0.9381', '0.9210', '0.9540', '0.9065', '0.9395', '0.9398', '0.8945', '0.9296', '0.9578', '0.9278']","[[253, 52, 30, 16, 13, 9, 10, 45, 95, 46], [26, 337, 5, 20, 6, 9, 13, 12, 46, 107], [56, 27, 116, 64, 99, 40, 123, 59, 6, 19], [16, 15, 51, 197, 46, 120, 123, 46, 2, 28], [32, 16, 50, 44, 155, 30, 171, 95, 9, 27], [14, 19, 35, 137, 59, 176, 74, 55, 5, 9], [10, 12, 43, 87, 50, 18, 319, 33, 2, 16], [15, 19, 14, 77, 48, 70, 32, 268, 4, 42], [144, 100, 12, 16, 0, 16, 7, 14, 190, 95], [23, 168, 8, 40, 4, 14, 18, 22, 59, 256]]","[6, 1, 2, 9, 6, 5, 3, 1, 9, 0, 8, 3, 6, 2, 2, 1, 1, 4, 0, 5, 6, 7, 8, 0, 2, 1, 7, 8, 5, 0, 1, 9]","[3, 0, 9, 8, 6, 0, 1, 4, 3, 3, 8, 2, 0, 5, 0, 0, 7, 8, 4, 5, 2, 5, 2, 2, 9, 3, 4, 9, 3, 5, 3, 3]"
4,"['0.4394', '0.5370', '0.1839', '0.2888', '0.2385', '0.3688', '0.5559', '0.4720', '0.4293', '0.3791']","['0.4333', '0.4778', '0.3094', '0.2981', '0.3233', '0.3303', '0.3690', '0.4317', '0.4208', '0.4377']","['0.4394', '0.5370', '0.1839', '0.2888', '0.2385', '0.3688', '0.5559', '0.4720', '0.4293', '0.3791']","['0.4363', '0.5057', '0.2307', '0.2934', '0.2745', '0.3485', '0.4435', '0.4509', '0.4250', '0.4063']","['0.4394', '0.5370', '0.1839', '0.2888', '0.2385', '0.3688', '0.5559', '0.4720', '0.4293', '0.3791']","['0.9398', '0.9371', '0.9536', '0.9182', '0.9415', '0.9195', '0.8963', '0.9324', '0.9351', '0.9447']","[[250, 41, 30, 15, 20, 13, 11, 35, 124, 30], [23, 312, 6, 18, 2, 13, 20, 16, 75, 96], [62, 21, 112, 47, 108, 61, 119, 53, 8, 18], [17, 6, 48, 186, 35, 163, 121, 42, 5, 21], [35, 14, 58, 44, 150, 37, 168, 90, 16, 17], [9, 12, 38, 113, 51, 215, 69, 61, 8, 7], [11, 7, 42, 91, 39, 28, 328, 28, 3, 13], [17, 15, 10, 61, 53, 85, 26, 278, 9, 35], [134, 77, 12, 14, 4, 16, 7, 14, 255, 61], [19, 148, 6, 35, 2, 20, 20, 27, 103, 232]]","[1, 1, 5, 4, 1, 4, 0, 0, 3, 3, 8, 8, 0, 2, 0, 8, 2, 4, 2, 6, 4, 1, 6, 1, 3, 3, 3, 3, 1, 4, 2, 8]","[9, 8, 9, 0, 3, 4, 4, 7, 0, 3, 7, 1, 0, 8, 5, 3, 4, 0, 4, 8, 0, 8, 6, 0, 5, 8, 0, 8, 4, 7, 2, 8]"
5,"['0.4200', '0.6059', '0.2529', '0.2065', '0.2051', '0.4580', '0.5339', '0.4329', '0.4731', '0.3595']","['0.4418', '0.4411', '0.3476', '0.2759', '0.3981', '0.3108', '0.3889', '0.5000', '0.4157', '0.3950']","['0.4200', '0.6059', '0.2529', '0.2065', '0.2051', '0.4580', '0.5339', '0.4329', '0.4731', '0.3595']","['0.4306', '0.5105', '0.2928', '0.2362', '0.2707', '0.3703', '0.4500', '0.4641', '0.4425', '0.3764']","['0.4200', '0.6059', '0.2529', '0.2065', '0.2051', '0.4580', '0.5339', '0.4329', '0.4731', '0.3595']","['0.9444', '0.9177', '0.9464', '0.9348', '0.9637', '0.8907', '0.9085', '0.9529', '0.9269', '0.9375']","[[239, 56, 32, 12, 12, 14, 11, 26, 140, 27], [15, 352, 6, 10, 2, 14, 14, 8, 74, 86], [64, 28, 154, 44, 60, 94, 100, 35, 9, 21], [17, 13, 47, 133, 20, 225, 113, 29, 11, 36], [40, 18, 80, 36, 129, 64, 152, 67, 19, 24], [10, 18, 43, 82, 31, 267, 62, 47, 11, 12], [10, 18, 47, 82, 27, 44, 315, 19, 4, 24], [20, 19, 16, 53, 39, 108, 26, 255, 10, 43], [110, 93, 10, 8, 3, 12, 6, 7, 281, 64], [16, 183, 8, 22, 1, 17, 11, 17, 117, 220]]","[6, 2, 1, 7, 7, 0, 2, 3, 4, 6, 1, 4, 3, 5, 9, 4, 2, 1, 0, 4, 0, 6, 5, 4, 6, 7, 1, 1, 9, 7, 3, 0]","[0, 8, 5, 6, 6, 3, 0, 3, 5, 4, 3, 9, 0, 4, 2, 4, 8, 7, 5, 0, 7, 6, 4, 2, 3, 9, 8, 1, 3, 9, 5, 0]"
6,"['0.4429', '0.6110', '0.1806', '0.2314', '0.2639', '0.3722', '0.5661', '0.4856', '0.4394', '0.3693']","['0.4452', '0.4653', '0.3481', '0.3066', '0.3402', '0.3220', '0.3584', '0.4407', '0.4328', '0.4321']","['0.4429', '0.6110', '0.1806', '0.2314', '0.2639', '0.3722', '0.5661', '0.4856', '0.4394', '0.3693']","['0.4441', '0.5283', '0.2378', '0.2637', '0.2972', '0.3453', '0.4389', '0.4620', '0.4361', '0.3982']","['0.4429', '0.6110', '0.1806', '0.2314', '0.2639', '0.3722', '0.5661', '0.4856', '0.4394', '0.3693']","['0.9422', '0.9247', '0.9618', '0.9371', '0.9400', '0.9156', '0.8895', '0.9329', '0.9367', '0.9449']","[[252, 49, 26, 9, 23, 7, 10, 35, 130, 28], [20, 355, 7, 10, 2, 15, 20, 14, 63, 75], [62, 25, 110, 42, 95, 65, 131, 54, 5, 20], [19, 14, 32, 149, 38, 174, 141, 46, 7, 24], [38, 15, 53, 34, 166, 42, 167, 78, 12, 24], [8, 15, 28, 92, 48, 217, 82, 76, 7, 10], [10, 12, 30, 65, 51, 38, 334, 28, 4, 18], [16, 16, 10, 47, 56, 89, 24, 286, 6, 39], [123, 94, 11, 9, 7, 12, 7, 11, 261, 59], [18, 168, 9, 29, 2, 15, 16, 21, 108, 226]]","[8, 1, 8, 9, 5, 0, 2, 4, 4, 9, 1, 0, 0, 3, 3, 9, 6, 9, 1, 9, 5, 4, 7, 0, 2, 9, 6, 8, 6, 6, 4, 0]","[8, 3, 2, 8, 3, 7, 5, 6, 3, 4, 2, 8, 6, 3, 6, 2, 5, 8, 0, 9, 1, 3, 4, 2, 6, 9, 2, 3, 2, 4, 0, 4]"
7,"['0.4148', '0.5766', '0.1708', '0.2686', '0.3052', '0.3756', '0.5458', '0.4482', '0.5000', '0.3807']","['0.4395', '0.4712', '0.3180', '0.2967', '0.3472', '0.3179', '0.3820', '0.4889', '0.4413', '0.4283']","['0.4148', '0.5766', '0.1708', '0.2686', '0.3052', '0.3756', '0.5458', '0.4482', '0.5000', '0.3807']","['0.4268', '0.5186', '0.2222', '0.2820', '0.3249', '0.3443', '0.4494', '0.4677', '0.4688', '0.4031']","['0.4148', '0.5766', '0.1708', '0.2686', '0.3052', '0.3756', '0.5458', '0.4482', '0.5000', '0.3807']","['0.9446', '0.9306', '0.9586', '0.9235', '0.9328', '0.9132', '0.9037', '0.9490', '0.9304', '0.9423']","[[236, 46, 22, 15, 22, 10, 15, 28, 149, 26], [22, 335, 6, 9, 3, 18, 22, 9, 70, 87], [67, 19, 104, 55, 105, 77, 109, 42, 9, 22], [14, 14, 43, 173, 45, 169, 121, 34, 9, 22], [38, 12, 52, 47, 192, 49, 137, 63, 14, 25], [11, 17, 39, 100, 55, 219, 70, 54, 6, 12], [9, 15, 31, 82, 60, 31, 322, 17, 3, 20], [18, 17, 10, 61, 64, 88, 21, 264, 7, 39], [103, 77, 11, 13, 5, 13, 6, 11, 297, 58], [19, 159, 9, 28, 2, 15, 20, 18, 109, 233]]","[7, 1, 9, 7, 5, 3, 3, 4, 7, 5, 6, 3, 9, 0, 5, 2, 1, 5, 0, 1, 7, 3, 8, 2, 4, 0, 2, 5, 5, 8, 2, 0]","[5, 2, 0, 3, 5, 7, 6, 4, 3, 4, 1, 0, 2, 7, 6, 0, 3, 8, 2, 7, 8, 2, 0, 2, 0, 5, 7, 7, 3, 8, 9, 7]"
8,"['0.4534', '0.5818', '0.2775', '0.2981', '0.2862', '0.3448', '0.5424', '0.4465', '0.4411', '0.3840']","['0.4534', '0.4801', '0.3256', '0.3052', '0.3390', '0.3484', '0.3687', '0.5229', '0.4426', '0.4626']","['0.4534', '0.5818', '0.2775', '0.2981', '0.2862', '0.3448', '0.5424', '0.4465', '0.4411', '0.3840']","['0.4534', '0.5261', '0.2996', '0.3016', '0.3103', '0.3466', '0.4390', '0.4817', '0.4418', '0.4196']","['0.4534', '0.5818', '0.2775', '0.2981', '0.2862', '0.3448', '0.5424', '0.4465', '0.4411', '0.3840']","['0.9427', '0.9325', '0.9351', '0.9184', '0.9346', '0.9306', '0.8987', '0.9556', '0.9390', '0.9493']","[[258, 50, 36, 13, 28, 10, 9, 24, 118, 23], [26, 338, 10, 11, 4, 14, 24, 9, 66, 79], [49, 23, 169, 62, 94, 46, 108, 32, 7, 19], [17, 14, 53, 192, 40, 143, 130, 26, 9, 20], [34, 10, 88, 52, 180, 33, 141, 58, 12, 21], [10, 12, 57, 111, 55, 201, 71, 49, 9, 8], [9, 13, 54, 86, 50, 25, 320, 13, 5, 15], [12, 18, 18, 61, 69, 79, 32, 263, 8, 29], [126, 76, 18, 9, 9, 15, 10, 10, 262, 59], [28, 150, 16, 32, 2, 11, 23, 19, 96, 235]]","[3, 6, 8, 7, 3, 6, 6, 8, 4, 8, 9, 4, 9, 1, 7, 4, 5, 2, 7, 3, 7, 2, 5, 5, 8, 2, 8, 1, 4, 0, 8, 3]","[8, 2, 1, 5, 4, 8, 6, 4, 6, 8, 9, 8, 4, 5, 3, 2, 1, 7, 6, 3, 9, 7, 4, 8, 5, 8, 4, 7, 7, 3, 4, 9]"
9,"['0.4552', '0.5783', '0.2956', '0.2298', '0.3148', '0.3722', '0.4949', '0.4839', '0.4848', '0.3350']","['0.4317', '0.4773', '0.3175', '0.3052', '0.3653', '0.3263', '0.4011', '0.4822', '0.4242', '0.4670']","['0.4552', '0.5783', '0.2956', '0.2298', '0.3148', '0.3722', '0.4949', '0.4839', '0.4848', '0.3350']","['0.4431', '0.5230', '0.3061', '0.2622', '0.3382', '0.3478', '0.4431', '0.4831', '0.4525', '0.3901']","['0.4552', '0.5783', '0.2956', '0.2298', '0.3148', '0.3722', '0.4949', '0.4839', '0.4848', '0.3350']","['0.9372', '0.9321', '0.9282', '0.9371', '0.9360', '0.9173', '0.9194', '0.9434', '0.9277', '0.9566']","[[259, 43, 45, 6, 19, 12, 9, 30, 130, 16], [26, 336, 12, 8, 5, 13, 22, 11, 80, 68], [56, 19, 180, 49, 85, 65, 88, 40, 12, 15], [22, 15, 69, 148, 47, 169, 109, 39, 9, 17], [39, 13, 84, 45, 198, 40, 110, 68, 16, 16], [11, 15, 68, 83, 57, 217, 53, 58, 11, 10], [13, 14, 55, 69, 60, 41, 292, 22, 9, 15], [20, 15, 26, 43, 60, 85, 19, 285, 8, 28], [125, 73, 15, 7, 9, 13, 5, 10, 288, 49], [29, 161, 13, 27, 2, 10, 21, 28, 116, 205]]","[5, 6, 3, 8, 8, 4, 7, 2, 2, 2, 4, 0, 9, 1, 2, 5, 4, 3, 5, 1, 2, 4, 4, 1, 2, 4, 1, 7, 0, 8, 0, 7]","[8, 8, 8, 6, 1, 8, 0, 8, 6, 4, 3, 7, 3, 7, 1, 3, 0, 9, 7, 2, 6, 5, 5, 0, 1, 3, 9, 2, 6, 9, 7, 0]"
